pindolol	ピンドロール
peptone	ペプトン(たんぱく質がペプシンによって加水分解したもの)
exhume	(死体)を墓から掘り出す|を明るみに出す|を復活させる
codefendant	共同被告人
adiposity	肥満
gitano	a Spanish male Gypsy
laryngectomy	喉頭切除
collectivization	the organization of a nation or economy on the basis of collectivism
corroborative	(信念などを)強固にする|(人･証拠など)確証的な
oddment	残り物|はんぱ物;がらくた
conspectus	概観|概説|要約|摘要
antimetabolite	an antineoplastic drug that inhibits the utilization of a metabolite
disabuse	の迷いを解く|捨てさせる
tufa	トゥファ(温泉などに沈殿した炭酸石灰から成る多孔質の石灰石)
sanitarian	[公衆]衛生の|公衆衛生学者
nadolol	ナドロール
eukaryote	真核生物(=eucaryote)|動物|植物|菌類|原生生物など|身体を構成する細胞の中に細胞核を有する生物|真核生物以外の生物は原核生物(prokaryote)と呼ばれる
photomicrograph	顕微鏡写真
hilar	of or relating to or located near a hilum
nonperformance	失着|不行き届き|不行届き|不注意|等閑|怠慢|過怠|無視|仮初め|不始末
diorite	閃緑岩
hardihood	大胆(boldness);ずぶとさ|厚かましさ
advective	of or relating to advection
roustabout	波止場人夫;油田人夫;サーカス小屋の人夫
hyaluronidase	ヒアルロニダーゼ
grapheme	文字記号|キャラクター|書記素|文字
onside	(フットボールなどで選手が)正規の位置にいる|オンサイドにいる|正規の位置に|オンサイドに
greenness	濃緑|翠|翠色|翠緑|緑|若緑
bedstraw	any of several plants of the genus Galium
psychically	from a psychic point of view; "he was psychically blind"|from a psychic point of view
recrimination	非難し返すこと|逆襲|責め合い
misbranded	branded or labeled falsely and in violation of statutory requirements; "confiscated the misbranded drugs"|branded or labeled falsely and in violation of statutory requirements
sphenoid	蝶形骨
thyrotoxicosis	甲状腺機能亢進症
aureole	(聖者・殉教者などの絵に見られる)光の輪|輪光|後光|(太陽・月にかかる)かさ
deodorize	eliminate the odor from; "This stick will deodorize your armpits"|eliminate the odor from
mediatrix	a woman who is a mediator
cloaca	下水|便所
iridescence	(シャボン玉などの)にじ色|玉虫色
unsanctioned	without explicit official permission; "unsanctioned use of company cars"|without explicit official permission
physostigmine	フィゾスチグミン
cognisance	意識|意識すること|認識
trainman	列車乗務員
ballplayer	野球選手
quadruped	四つ脚|4つ脚|4つ足|四肢動物|四つ足|四足獣
asphyxiate	〜'を'窒息[死]させる|窒息[死]する
loir	ロアール川
embouchure	〈C〉(吹奏楽器の)吹口(すいこう)|〈U〉(吹口への)くちびるの当て方
overtop	〜‘の'上にそびえる|〜‘より'高い|〜‘より'すぐれる
evolutionism	進化論|進化主義
thoughtlessly	不親切に|無慈悲に|軽率に|不注意に|よく考えないで|考えなしに
symbolist	記号学者|記号使用者
pyromaniac	放火狂
lumpen	ルンペン|浮浪者(の)
plasticine	a synthetic material resembling clay but remaining soft; used as a substitute for clay or wax in modeling (especially in schools)|a synthetic material resembling clay but remaining soft|used as a substitute for clay or wax in modeling (especially in schools)
metathesis	複分解
mansard	(またmansard roof)マンサード屋根|二重こう配屋根|マンサード屋根下|屋根裏部屋
demagoguery	民衆扇動
periodontist	a dentist specializing in diseases of the gums and other structure surrounding the teeth
bucko	若者 (my ～)|若いの|君|(俗)いばりちらす(やつ)|筏師
uria	murres
forthrightly	まともに
whacker	とてつもなく大きいもの|大うそ|大ぼら
scouser	a native or resident of Liverpool
unfaithfulness	背信|不義|不誠実
globalise	make world-wide in scope or application; "Markets are being increasingly globalized"|make world-wide in scope or application
skeptically	懐疑的に
disorient	向きを狂わせる|混乱させる
mezzotint	〈U〉メゾチント彫刻(あらくした銅版面の所々をならして明暗をつける法)|〈C〉メゾチント版
guanaco	グアナコ
starless	星(星明かり)のない
noesis	了知|ナレッジ|知識|認識|認知|ノレッジ|ノリッジ
bedraggle	引く
hamamelis	deciduous shrubs or small trees: witch hazel
mercaptopurine	メルカプトプリン
ineradicable	根絶できない|根深い
glucotrol	an oral antidiabetic drug (trade name Glucotrol) that stimulates the release of insulin from the pancreas
trapezium	《米》不等辺四辺形|《英》台形
fontanelle	泉門
anencephaly	無脳症
unimaginably	もっての外
ravenously	がつがつ
goitre	甲状腺腫
ionize	イオン化する|電離する
plutocracy	〈U〉金権政治|(政治を左右する)富豪階級|財閥
dispassionately	冷静に
sundew	モウセンゴケ(食虫植物)
weighbridge	橋ばかり(車両と積荷を同時に計る計器)
tomatillo	Mexican annual naturalized in eastern North America having yellow to purple edible fruit resembling small tomatoes|annual of Mexico and southern United States having edible purplish viscid fruit resembling small tomatoes|small edible yellow to purple tomato-like fruit enclosed in a bladderlike husk
hyperbilirubinemia	高ビリルビン血症
diazo	ジアゾ
cincinnatus	キンキナトゥス
teagarden	屋外軽食堂|茶畑
yack	ヤク|おしゃべり
booboo	《俗》ばかげたあやまち|どじ|へま
heterosexism	discrimination in favor of heterosexual and against homosexual people
agranulocytosis	顆粒球減少症
trouper	旅芸人
attainder	(死刑などの判決後の)私権剥奪(はくだつ)
cadi	(イスラム教国の)裁判官
funfair	移動式遊園地|=amusement park
petrography	岩石分類学|記載岩石学
patronymic	父の名を取った名|父称|姓|名字の
homozygote	ホモ接合体
hotpot	ホットポット(羊肉・じゃがいも・玉ねぎなどを煮こんだ料理)
pome	梨果
preterist	a theologian who believes that the Scripture prophecies of the Apocalypse (the Book of Revelation) have already been fulfilled
mischievously	in a disobedient or naughty way; "he behaved badly in school"; "he mischievously looked for a chance to embarrass his sister"; "behaved naughtily when they had guests and was sent to his room"|in a disobedient or naughty way
mousy	おとなしい|おどおどした|ネズミ色の|ネズミの|ネズミの多い|ネズミ臭い|内気な
communistic	共産主義[者]の|共産主義的な
illicitly	違法|不法
colly	穢す|汚す
blepharitis	眼瞼(けん)炎(まぶたの炎症)
immunofluorescent	免疫
dyestuff	染料
metacarpal	中手骨
trustor	(law) a person who creates a trust by giving real or personal property in trust to a trustee for the benefit of a beneficiary; a person who gives such property is said to settle it on the trustee|a person who creates a trust by giving real or personal property in trust to a trustee for the benefit of a beneficiary|a person who gives such property is said to settle it on the trustee
appropriator	専有する人|盗用(横領)する人|《英》教会禄(ろく)の設定を受けた宗教法人
derisively	にったり
provisioner	a supplier of victuals or supplies to an army
footpad	追いはぎ
kohlrabi	カブラタマナ;キャベツの一種
doubler	合糸機
oligarch	one of the rulers in an oligarchy
spoliation	強奪|略奪
unsentimental	facing facts or difficulties realistically and with determination
bedding	寝具類|bedclothes|(牛馬の)敷き藁
pleasantness	心地よさ|楽しさ
pennywhistle	笛|ティン・ホイッスル
sandfly	スナバエ
terminable	終わらせることのできる;(契約などが)期限のある|有期の
phosphorescence	リン光[を出すこと];青光り
balladeer	バラｰド歌手|ポピュラー歌手|民謡歌手
dirigible	操縦できる
geriatrician	老人病専門医
dominical	of or relating to or coming from Jesus Christ|of or relating to Sunday as the Lord's Day
unaired	lacking fresh air; "a dusty airless attic"; "the dreadfully close atmosphere"; "hot and stuffy and the air was blue with smoke"|lacking fresh air
salvelinus	イワナ
mugging	強盗|暴力スリ
lustily	in a healthy manner; "the young plants grew lustily"|in a healthy manner
bakehouse	ベーカリー|パン屋
skinfold	皮下脂肪
luxuria	情欲|性慾|欲情|淫欲|愛欲|肉慾|色情|婬情|獣欲|愛慾
neptunium	ネプトニウム(放射性元素;化学記号は『Np』)
opencast	露天掘りの
bimetal	バイメタル
sixfold	6倍の|6重の|6倍に|6重に
panchromatic	(写真のフイルムなどが)全整色の|全色の|パンクロの
pedagogically	in a didactic manner; "this is a didactically sound method"|in a didactic manner
camptothecin	カンプトテシン(CPT)は細胞毒性のあるアルカロイド(Alkaloid)|DNA酵素の働きを阻害する|抗がん剤として中国原生のカンレンボクの樹皮と幹から単離された
wineglass	ワイングラス
dyscalculia	impaired ability to learn grade-appropriate mathematics
clubfoot	内反足|えび足|〈U〉内反足である状態
lacer	a workman who laces shoes or footballs or books (during binding)
unchain	〜‘の'鎖を解く|‘を'自由にする
antediluvian	大昔の|時代遅れの(人)
acetabulum	寛骨臼
ritualize	make or evolve into a ritual; "The growing up of children has become ritualized in many cultures"|make or evolve into a ritual
maleness	雄性|男らしさ
irreligious	無宗教の
debriefing	教書
bondholder	公債証書(社債券)所有者
dingus	なんとかいう物(人)
chorion	絨毛膜
vaulter	an athlete who jumps over a high crossbar with the aid of a long pole
sakti	シャクティー
oenology	the art of wine making
laggard	遅れる人
beany	a small skullcap; formerly worn by schoolboys and college freshmen|a small skullcap|formerly worn by schoolboys and college freshmen
sial	the granitelike rocks that form the outermost layer of the earth's crust; rich in silicon and aluminum|the granitelike rocks that form the outermost layer of the earth's crust|rich in silicon and aluminum
tractive	exerting traction and serving to pull
numismatist	古銭学者
hindbrain	菱脳
greengrocer	青物商人|やお屋
scholasticism	(中世の)スコラ哲学
comptrollership	the position of comptroller
adjunction	別れ目|分かれ目|分点|ジャンクション|分岐駅
effeminacy	男らしくないこと|優柔不断
unmindful	(〜を)気にかけない|(〜に)むとんじゃくな《+of+名(wh-節)》
magnetohydrodynamics	磁気流体力学
coppery	銅の[ような]|銅を含んだ|銅色の
cercopithecus	オナガザル
waterwheel	水車
pallium	大脳皮質|外套|外套膜|外套|外套
ceramist	陶器製造者|陶工|陶芸家
cabala	カバラ|カバラ
cannibalistic	人食いの;共食いの
indescribably	言語道断
gimpy	不自由
lineout	(ラグビーで)ラインアウト
unruffled	平静な
noncombustible	不燃性
horrify	ぞっとさせる
emendation	〈U〉(〜の)校正《+『of』+『名』》|〈C〉《しばしば複数形で》訂正[箇所]
coppersmith	銅細工師
orudis	ケトプロフェン
anaesthetize	麻酔
acerola	アセロラ
cytometer	血球計算器
cowslip	キバナノクリンザクラ|リュウキンカ
polygyny	一夫多妻|(植物の)多雌ずい性
intoxicant	酔わせる;心を浮き立たせる|酔わせるもの;(特に)アルコール飲料
palaeoecology	古生態学
supernaturally	超自然
enfranchisement	選挙権(公民権|自治権)の賦与|解放|釈放
ramekin	ラミキン(チーズやパン・卵などを混ぜて1人前ずつ焼いた料理)|ラミキン料理用の皿
gravitationally	with respect to gravitation; "gravitationally strong forces"|with respect to gravitation
scarily	in an alarming manner; "the disturbing thing about the Minister's behavior is that far from being artificial, it too often rings frighteningly true"|in an alarming manner
craftiness	ずるさ|悪がしこさ
marketing	マーケティング|市場取引|市場で売買すること|買い物
jaffar	ジャアファル
perceptibly	知覚できるように|目立って
reflectometer	反射率計
wizen	lean and wrinkled by shrinkage as from age or illness; "the old woman's shriveled skin"; "he looked shriveled and ill"; "a shrunken old man"; "a lanky scarecrow of a man with withered face and lantern jaws"-W.F.Starkie; "he did well despite his withered arm"; "a wizened little man with frizzy grey hair"|lean and wrinkled by shrinkage as from age or illness
gametophyte	配偶体
yanker	someone who gives a strong sudden pull
numerate	〜‘を'数える|数え上げる|《おもに英》足(た)し算引き算の能力のある|数学の分かる
townsman	都会人|町内の人
polymerize	重合|重合
scratching	キーキー
phacelia	any plant of the genus Phacelia
playsuit	プレースーツ(婦人・小供用スポーツ着);(小供の)遊び着
ligustrum	genus of Old World shrubs: privet
principalship	the post of principal
prophase	前期|前期
mildness	柔和さ|温和な性質|適度な状態|おだやかさ
horsebox	馬運搬用貨車(トレイラー)
luckless	不幸な|不運な
arabis	annual to perennial woody herbs of temperate North America, Europe and Asia: rockcress
cucumis	cucumbers; muskmelons|cucumbers|muskmelons
cavalryman	(1人の)騎兵
ossuary	any receptacle for the burial of human bones
hypotonia	低圧
housetop	屋根(roof)
falloff	減少|衰退
procurer	(男性の)売春婦周旋屋
agonize	苦しむ|悶える|苦闘する|苦しめる
indigestible	消化しにくい|不消化の
sorbus	a genus of shrubs or trees of the family Rosaceae having feathery leaves
lordosis	an abnormal inward (forward) curvature of the vertebral column
counterargument	反論
kingmaker	(政党の)実力者|有力者|国王擁立者(Henry6世とEdward4世を擁立したEarl of Warwickを指す)
kenaf	インド大麻
fanatically	in a passionately fanatic manner; "he followed the teachings of his guru fanatically"|in a passionately fanatic manner
sidelight	サイドランプ|横からの光線|付随的な情報|わき窓
clerking	簿記|帳付け|帳合
astilbe	アスチルベ
flashover	フラッシュオーバー
troglodyte	穴居人|隠者|世事にうとい人
schlep	(持ち)運ぶ|引っ張って行く|のろのろ動きまわる|ぶらぶらする|無能なやつ|面倒な仕事|大変な苦労
inclosure	=enclosure
voluptuousness	豊富|曲線美
flashbulb	フラッシュバルブ|閃光電球
cassowary	ヒクイドリ(ニューギニア・オーストラリア産)
petrolatum	ワセリン
panga	刃が長く広い刀|大なた
seraglio	(イスラム教国の)後宮|ハレム
underexpose	〈写真のフィルム〉‘を'露出不足にする
carious	カリエス(caries)性の|カリエスにかかった
noncitizen	非市民
souvlaki	スブラキ
thwack	ピシャリと打つこと|バシッと叩くこと|試み|分け前|をピシャリと打つ
triggerfish	any of numerous compressed deep-bodied tropical fishes with sandpapery skin and erectile spines in the first dorsal fin
warehouseman	a workman who manages or works in a warehouse
pueraria	genus of woody Asiatic vines: kudzu
micropayment	ネット上のコンテンツを利用する際にかかる少額の料金
stablemate	a horse stabled with another or one of several horses owned by the same person
theoretician	理論家
modernistic	現美主義[者]の;現代的な|新しい
grotty	きたない|不潔な|不快な
fissionable	(原子が)核分裂を起こす|核分裂性の
inappropriateness	不適|不穏当|不適|不穏当
squamata	diapsid reptiles: snakes and lizards
guiltily	罪を犯して|やましい気持ちで|気まずそうな顔をして
turncoat	変節者|裏切り者
nard	甘松(かんしょう)香(古代人が用いた香油)
treater	取り扱う人|処理する人|人におごってやる人
longsuffering	しんぼう強い|我慢強い
aurally	耳から|耳で|聴覚的に|聴覚で
hankie	汗ふき|ハンケチ|鼻拭|ハンカチ|汗拭|汗手拭い|汗拭き|ハンカチーフ|ハンケチーフ|手巾
weigher	an official who weighs and records the weight
shitless	extremely frightened; "he was scared shitless"|extremely frightened
hypercapnia	the physical condition of having the presence of an abnormally high level of carbon dioxide in the circulating blood
dinesen	ディネーセン
shrive	(司祭が)〜‘の'ざんげを聞いて罪の許しを与える|司祭にざんげする;〈司祭が〉ざんげを聞く
admiringly	with admiration; "he looked at his wife admiringly"|with admiration
saiga	goat-like antelope of central Eurasia having a stubby nose like a proboscis
saleswoman	女店員|女性販売員
awfulness	ひどく不愉快なこと
hobnob	懇談|親しくつきあう|親しく話をする
photophobia	羞明|羞明
movingly	ぐんと
encamp	〈兵士・部隊など〉‘を'野営させる|(テントで)〈部隊などが〉野営する
henceforward	=henceforth
bmdo	an agency in the Department of Defense that is responsible for making ballistic missile defense a reality
frustum	円錐(すい)台(円錐の上部を切り取った形)
viroid	ウイロイド
monthlong	1カ月
womanize	女三昧|女性化
tautological	(同じ意味の言葉が)重複した|類語反復の
