deputy	代理人|副～|代理|副|代理の
tunnel	トンネル|地下道|坑道|穴|巣
anchor	錨|しんがり|定着させる|固定させる
companion	対の片方|仲間|相手|伴侶|話し相手|気の合った友
grave	刻みつける|重大な|厳粛な|くすんだ|墓穴|墓所
survivor	生き残った人|生存者|遺族|遺物|測量士|検査官|鑑定士
coin	鋳造する|貨幣|小銭
photoshop	フォトショップ
possession	所有|所持|占有|所有権|財産|領地
logical	道理にかなった|論理的な|当然な|論理学の
retrieve	検索する|引き出す|取り戻す|償う|回収する|回復する
phenomenon	現象|驚くべき物(事)|(複数形phenomena)
mathematical	数学的|数学(上)の|全く正確な|非常に正確な
authorization	権限の委任|承認
medal	メダル|勲章|記章|メダルを授与する
frequent	しばしば起こる|多い|頻繁な|たびたびの
diagnostic	診断の
offense	違反|罪･攻撃|侮辱|立腹|不快なもの
horizon	地平線|水平線|視野|展望
butterfly	蝶|チョウ|バタフライ(水泳)
confidential	信用のできる|機密の
statutory	法令の|法定の
align	並べる|一直線にする|提携させる|一列に並べる
northeast	北東部|北東へ|北東|北東の
filename	ファイル名|ファイルネーム
metric	メートルの|メートル法の|測定基準|距離関数|韻律学
painting	塗る|絵(を描くこと)|画法|ペンキを塗ること|塗装|水彩画|油絵
assign	を割り当てる|指定する|任命する|当てがう
cloth	ラシャ|布|織物|布地|幕|服地
smell	匂いがする|を匂う|香り|匂い
testimony	証言|証明|立証|証明書
deployment	展開
termination	終了|接尾辞
hawk	タカ|鷹|タカ派|強硬論者|他人を食い物にする人
neutral	えこひいきしない|中立の|はっきりしない|中立者|ニュートラル|灰色っぽい
protective	保護の|保護用の
slope	傾斜する|坂|傾斜(する)|に勾配をつける
tattoo	帰営らっぱ(太鼓)|ドンドン(コツコツ)たたき続ける音|入れ墨(をする)|彫り物
afraid	心配して|怖がって
royalty	王室の人々|王族|王の身分|王位|王権|荘厳|著作権使用料|管轄権|採掘権|印税
initially	初めに|はじめ(のうち)は
indicator	メーター|指示薬|ウィンカー|方向指示灯
queue	行列して待つ|待行列|列|おさげ髪
cave	陥没する|ほら穴|横穴を掘る
priest	聖職者|司祭|祭司|奉仕者
geek	(生きたヘビや鶏の首を食いちぎってみせる)奇態な見せ物師|(俗)変態|異常者|酔っぱらい
preference	好み|好物
civic	市民の|市の
heel	のすぐ後に続く|かかと|かかと状のもの
compression	圧縮
separation	分離|離脱|分類
railroad	鉄道
flu	インフルエンザ
coupon	クーポン|回数券|利札
reject	(提案など)を断る|拒絶する|turn down
activation	アクティベーション|活性化
astronomy	天文学
complain	苦情を言う|不満を言う
ribbon	インクリボン|リボン|飾りひも|ひも状のもの
litigation	訴訟|起訴
paste	をのりではる|ねり物|ペースト|のり|練り粉
scroll	スクロールする|巻き物|渦巻模様
spice	スパイス|香辛料|薬味|趣|に香辛料を加える
abortion	人工中絶|堕胎|流産|早産|(器官の)発育不全
seasonal	季節の
amplifier	増幅器
mixture	混合体|混合物|混合|交錯
burner	バーナー
poet	詩人|歌人
spectacular	見ものの|見せ物の|壮観な|あっといわせる|はなばなしい|豪華ショー
farmer	農場主
junction	連絡駅|連結|接合(部)|ジャンクション|はね橋|接合器|接点|多重ノード
constitutional	保健のための|構成上の|体格の|体質の|生まれつきの|憲法上の|合法的な
comp	植字工|伴奏(者)|無料招待客|植字工として働く|の伴奏をする|組む|無料招待にする
mobility	流動性|機動力|機動性|移動性
perfectly	完全に|申し分なく|まったく
borrow	を借りる
instantly	ただちに
gen	generalの省略形
prospective	見込みのあった|将来の|期待される
horizontal	地平線の|水平の
gem	宝石|逸品|珠玉|〜を飾る
unlock	の錠をあける|を開く|打ち明ける|鍵が開く
breath	息|呼吸
volt	ボルト(電圧の単位)
ordinance	法令|布告|儀式|しきたり|条例
galaxy	(銀河系外の)星雲|(貴人･美人などの)華やかな集まり
olive	(色)オリーブ|薄緑色|オリーブ色|薄緑
informational	情報の
ethical	倫理の
friendship	友情
organizer	組織者|創立委員|世話人|まとめ役|(興行などの)主催者|(労働組合などの)オルグ
coordination	(文法)同格関係
pickup	集めること|便乗者|かりそめの知り合い|好転|実況放送|間に合わせの
bunch	仲間|一団|群|(果物などの)房
freeze	凍る|凍らせる|氷結→凍ったようにピタッと動きを止める
ultimately	最後に|ついに|最終的に|究極に
predict	を予言する|を予報する
tackle	取組む|タックル(する)|道具|ろくろ
procurement	斡旋|獲得|入手|周旋|達成
equally	同等に
artificial	人工の|不自然な|模造の|人為的な|人造の|人工的な
intend	(～する)つもりだ|意図する
turner	とんぼ返りをする人|フライ返し
playlist	プレイリスト
herbal	ハーブの|(薬)草の|草本の|植物標本集
arrest	逮捕する|引き止める|阻止する|逮捕(=apprehend)
guilty	罪の意識がある|有罪の|罪を犯した|犯罪的な
passport	パスポート|旅券
scream	鋭い叫び声をあげる|叫び|悲鳴をあげる|金切り声をだす
naturally	生まれつきに|自然(天然)に|生来|もちろん
strand	座礁する(させる)|岸に上がる|立ち往生する|取り残す(される)|より糸|房
underwear	下着|はだ着
overcome	に打ち勝つ|を克服する|(受け身で)参っている
cod	タラ|鱈
hdtv	高精細度テレビジョン放送|高品位テレビ|高精細度テレビ|高精細度テレビ放送|ハイビジョン放送|ハイビジョン|HDTV
bracket	ひとまとめにする|括弧でくくる|腕木|腕金|張出し棚受け|電灯受け
joke	からかい|冗談
violent	乱暴な|強烈な|暴力的な|暴力による|こじつけの
potentially	潜在的に
mold	形作る|(に基づいて)作る|土|沃土|肥土|型|鋳型|流し型|骨組み|鋳物|性質|カビ
inclusive	包括的な
dimensional	次元の
considerable	少なくない|かなりの|相当の|重要な
compiler	コンパイラー|編集者|編者|編纂者
byte	情報量の単位|1バイトは2進数の8桁|即ち8ビット(bit)を意味する
latex	乳液|ラテックス
surgeon	外科医|(海軍の)軍医|船医
anymore	(否定･疑問･条件節で)もはや|これ以上
holding	続く|保有の
sender	送り手
bullet	弾丸
pantyhose	パンティストッキング
rebuild	再建する
bust	(女性の)胸部|破裂させる|破産させる|追っ払う|飲みすぎ|強打|失敗
quilt	掛け布団|キルト|キルトを編む
rocket	のろしを上げる|暴騰する|ロケット|ロケット弾|のろし|打ち上げ花火
honey	はちみつ
snowboard	スノーボード
cookbook	料理の本|詳しい解説書
therapeutic	治療の|療法の|心の健康に良い
airfare	航空運賃
mart	市場|商業中心地|競売室
velocity	速さ|速力|速度|迅速さ
sculpture	彫刻をする|彫刻する|彫刻|彫刻作品
addiction	熱中すること|夢中になること|-中毒
constantly	絶えず
nursery	子ども部屋|育児室|苗床|養成所|(悪の)温床|託児所
microwave	マイクロウェーブ|電子レンジ
presidential	大統領の
rocky	ふらふらの|グロッキーの|岩のような|頑固な
dock	ドックに入れる|ドッキングする|(植物)スカンポの類
authentic	信頼できる|信憑性のある|本物の
deer	シカ|鹿
butter	バター
thru	(米略式)through
vaccine	ワクチン(の)|痘苗(の)
loud	大声の|大声で
divide	割る|分割する
lobby	ロビーに出入りする|議員に働きかける|の通過運動をする|圧力団体|ロビー|大廊下
silence	沈黙|静けさ|黙祷|を沈黙させる|を静める
cv	履歴書
hospitality	親切なもてなし|歓待|心優しい
anybody	だれでも|全ての人|誰か
untitled	無題(の)
frog	カエル|フランス人
prerequisite	前提条件の|必須の|あらかじめ必要な|必須要件|前提条件
transexual	トランス系|トランス系
enforce	押しつける|実行する|執行する|を強制する|強化する
plaintiff	原告|起訴人|民事訴訟の原告
surveillance	(容疑者や敵の)監視|見張り|見渡す|調査する|監督
theoretical	理論的な
civilian	一般市民の|一般人|文民の
genealogy	系図(学)|家系|血筋|系統|系譜|血統|系統学
tray	盆|受け皿|料理をもった皿
exotic	異国(風)の|外国(産)の|外来の|異国情緒の|風変わりな|魅惑的な|外来の物|外人(ｲｸﾞザﾃｨｯｸ)
omega	(第24ギリシア文字)オメガ|Ω|ω|最後(のもの)
optimal	最良の|最適の
distinct	はっきりした|全く異なる
brilliant	きらきら輝く|すばらしい|才気のある|きらめく|みごとな|立派な
arrange	手はずを整える|手配する|を配列する|整理する
brick	れんがを敷く|れんが
enzyme	酵素
myth	作り事|神話|誤った社会通念|根拠のない説
knock	たたく(音)|酷評する|トントン叩く|強打する|(野球)ノック
hopefully	希望をもって
flip	はじく|軽く打つ|弾く|ポンと打つ|宙返り|(アザラシ等の)ひれ足
helmet	ヘルメット
raid	急襲(する)|引き抜き|襲撃(する)|侵略|奇襲|手入れ|かき乱す|attack
accommodate	便宜を計る|親切にする|に金を融通する|供給する|適応させる|和解させる
snake	陰険な人|くねる|ヘビ|くねって歩く|をくねらせる
correspondence	文通|通信|交通
turbo	turbochargerターボチャージャー|内燃機関の熱効率を高めるために利用される過給機の一方式
um	えーと|うーん|ほー|ふむ|いや|へー
dialog	(UK英)dialogue|対話|問答
punch	に穴をあける|を殴る|一撃|パンチ|穴開け器|穿孔機
thereof	その|それの
pillow	枕|まくら(をする)
rebel	謀反|反逆者|謀反を起こす|調和しない
consist	構成されている|存在する
intensity	緊張|強烈にする
dale	(広い)谷|盆地|人名
repository	貯蔵所|倉庫|納骨堂|埋葬所|(知識などの)宝庫
traveller	旅行者|(US英)traveler
comparative	匹敵する|比較の|(文法)比較級
reunion	再結合|再会|親睦(しんぼく)会
wanna	したい|(=want to 口語)
architectural	建築の|建築学の
bronze	青銅|ブロンズ
rim	リム|へり|枠|ふち
invention	発明品|発明|創案|考案
closure	締切り|閉店|閉鎖|締め切り
virtually	事実上|実質的には
maple	カエデ|楓
tale	物語|話|作り話
depot	バス停|空港|倉庫|貯蔵物|補給所
formerly	以前は
deviant	外れた|逸脱した|変質者
strictly	厳密に(言えば)|厳しく|きっちりと
psychological	心理的|心理学の|心理学的な|精神的な|心理的な
mason	石工|石で建てる|れんが職人
slice	ひと切れ|一枚|を薄く切る|薄切り1枚|部分|を薄く1枚切り取る
emphasize	を強調する
elegant	気品のある
connectivity	接続性
indie	インディー|音楽の一つのジャンル|独立プロダクション|自営の
microphone	マイク|マイクロフォン
correlation	関連|相関|相互関係
soldier	軍人|軍人になる|兵士|兵役につく
illustrate	を明らかにする|説明する|例証する|挿絵を入れる|図解する
depart	規則から逸脱する|立ち去る|出発する|軌道からそれる|この世を去る
allergy	アレルギー
similarly	同様に|類似して|同じく
ted	広げて干す
solely	ひとりだけ|ただ一人で|たんに
radical	過激な|急進的な|すぐれた|根本の|急進党員|過激論者
cab	タクシー
backpack	バックパック(を背負って自然に親しむ)(枠付きリュック)
reminder	思い出させる人･物|記念物|注意|助言|催促状
cargo	船荷
collaborative	共同の|共同作業の|合作の
chuck	軽くたたく|捨てる|放棄する
atomic	原子の
declare	を宣言する|を明言する|を申告する
cancellation	取り消し
mandate	の統治を委任する|命令|為政権|指図|委任統治
demographic	人口統計学の
cylinder	シリンダー|円筒
hammer	たたく|を槌で打つ|槌|金槌|ハンマー
rover	立ち見の人|漂流者|流浪者|海賊|歩き回る人
suggestion	提案|暗示
uncertainty	不確実さ|疑い|半信半疑|不確定|不安
intensive	強い|強調の|集約的な|(文法)強意の|強意語
spark	火花を出す|スパーク|火花(を散らす)
worm	虫|寄生虫|虫けら|苦悩|徐々に進む|寄生虫を取り除く
fragment	破片|断片|かけら|小部分|断章
sensitivity	思いやり|神経のこまやかさ|感度|感性
significance	意義|重要性
tri	3を意味する接頭語
syndication	シンジケーション
tutor	家庭教師|個人指導教授|に教える
identifier	識別子
cedar	ヒマラヤスギ|(cedarは日本のスギとは違い|ヒマラヤ杉などマツ科のもの
anxiety	心配
drawing	引く|製図|素描|鉛筆で描く絵
approx	約
duplicate	複写する|写し
blanket	一面に覆う(もの)|毛布(で覆う)|全体的な|包括的な
supervision	管理|監督|指揮|監視
foam	泡|あぶく|泡を出す|あわ消化剤
performer	行為者|役者|行う人|演奏者|俳優|曲芸師
noon	正午
sweep	さっと通過する|を一掃する|掃除する|(～を)掃く|を掃いて集める|圧勝する|大勝する
dividend	公債利息|(株の)配当金|配当(金)|分け前
elder	年長者|年上の 2|ニワトコ
sandy	砂(色)の|砂色の|砂のような|砂だらけの
imperial	荘厳なる|皇帝の|帝国の|皇室の|壮麗な|皇帝(皇后)(の)
disagree	意見を異にする|と一致しない|相違する|口論する
mandatory	強制的な|命令の|統治を委任された|委任の
rope	投げなわ|ロープ|なわ|一連
disable	身体的障害のある|injured
crucial	決定的な|きわめて重要な|ゆゆしい|致命的な|十字形の
cop	警官|ポリ公
adjacent	隣接した|付近の|近接した|直前の
indication	指示|暗示|兆候
tuition	授業料
lemon	レモン|(俗)欠陥品|不良品|きずもの
merit	長所|手柄|に値する
offensive	不快な|いやな|攻撃|攻勢|無礼な|攻撃的な
notion	心に思うこと|概念|観念|意向|意志|考え
salmon	サケ|鮭|鮭肉(の)|鮭肉色(の)
alt	アルト(の)|中高音(の)
surgical	外科手術の|外科医の
timer	タイマー
calm	落ち着いた|静める|冷静な|平穏な|静かな|無風の|穏やかな
dare	あえて～する|に立ち向かう|挑戦|あえてすること
glen	谷間|(G-)グレン(人名)
yo	やあ
swim	泳ぐ
lotus	ロータス|蓮|ハス(の実)|ロートス(伝説の木)
biotechnology	生命工学|生物工学|バイオテクノロジー|人間工学|ergonomics
brunette	(女)ブルネットの
daddy	お父さん
bless	を神聖にする|感謝する|祝福する|恩恵を与える|清める|恵む|賛美する|十字を切る|祈る
pledge	誓約|質入|乾杯|を誓う|人質|保証する
actress	女優
toxic	有毒な|中毒の
weapon	対抗手段|武器|兵器
boom	にわか景気|オイルフェンス|とどろく音|ドカーン|ブンブン
luggage	(UK英)(集合的)手荷物|旅行かばん
squad	班|隊|団|分隊|チーム
honour	honorの英国綴り
exempt	免れさせる|免れた|免除する|免疫の|免属の|免税者
stimulate	を刺激する|を元気づける
stylish	流行の|上品な
divine	神聖な|神の
customise	カスタマイズ|カスタマイズ
autumn	秋(=fall)
reel	リール|糸巻き|動揺する|よろめく|ふらつき歩く
miniature	模型|小模型|ミニチュア|細密画|小型の
victor	勝利者|征服者
offshore	沖合い|沖で|(風など)沖に向かう|海外の
bolt	稲妻|かんぬきで締まる|ふるいわける|ボルトで締める|かんぬきをかける|(B-)人名
occasionally	たまに|時折
jail	刑務所|投獄する
emission	排出|放出|排気|放射|発射
spec	思惑|投機|演芸|仕様明細書
fountain	泉
realty	不動産
apparent	明らかな(叙述用法:apparent to, apparent thatなど)|外見上の(限定用法:be apparent)
instructional	教育の
outreach	奉仕活動
traveling	移動
graduation	卒業
gig	ジャズ演奏の仕事|競漕用ボート
integral	完全な|欠くことのできない|総体
parade	行列|見せびらかし|を行進する|を見せびらかす
exterior	外側の|外の|外観|外部の
roller	(地ならし･印刷･圧延用)ローラー|大波|ヘアカーラー|ローラーカナリア
shed	(血や涙を)流す|を脱ぐ|(動・植物が)葉・角・皮・毛・羽などを(自然に)落とす|生えかえる|脱皮する|(体重)を落とす|倉庫|小屋|車庫
canal	運河
excuse	言い訳
fraction	破片|一部分|端数|比|割合|分数
sandwich	サンドイッチ
sunny	晴れわたった|陽気な|日当たりのいい
poison	毒|毒薬|毒物|弊害|に毒を盛る|を毒する
fancy	空想する|空想(力)|錯覚|気まぐれ|思いつき|好み|嗜好(しこう)
baseline	ベースライン(基線)
chrome	=chromium|クロムまたはクロム合金をめっきした材料|クロム染料など
collar	首飾り(colorとは発音異なる)|えり|首飾|首章
refresh	元気づける|さわやかな気分にする|を生き生きさせる|を新たにする|補給する
relocation	(米語)(第二次大戦中の日系人)強制収容|再配置|移転
settle	を置く|を落ち着かせる|を清算する|定住する|据える
leak	を漏らす|情報漏れ|漏電
timely	適時の|時期を得た|折りの良い|折りよく
explicit	率直な|明白な|あからさまな|(反義語)implicit
cuisine	料理|料理法|料理場|厨房
radius	飛行半径|半径|輻射線|区域|範囲
sept	7の意味(Septemberは9月に転じた)
exceptional	例外の|異常な|例外的な|異例の|特別に優れた
jar	かめ|びん|きしむ|がたがた揺れる
cube	3乗する|立方体
exemption	免税|課税控除
translator	翻訳者|通訳|翻訳機|翻訳家
bingo	当たり|ビンゴ
whilst	一方(=while)
spatial	空間的な|空間の
uv	紫外線
unto	の方へ(=toの古い用法)|〜まで|〜に
coral	珊瑚の
snapshot	スナップ写真
precious	気取った|貴重な|高価な|尊い|大事な|こりすぎた
