outermost	最も外側の|最も遠くの
buccaneer	海賊(を働く)
peachy	すばらしい|好い|素適|素晴しい|素晴らしい|かっこ良い|優等|いい|すてき|良い
myopia	近視眼|近眼
reexamine	再調|調べ直す|再審|再検|見直す|再検討|再吟味|再検査|見直し|見直
ranting	獅子吼
capacitive	容量性
naturopathy	自然療法医|食餌(しょくじ)療法医
cartouche	カルトゥーシュ
beanbag	お手玉
enthalpy	エンタルピー
flagrant	言語道断の|極悪の|目に余る|はなはだしい|紛れもない|名うての
outgrow	より大きくなる|(衣服などを)着られないほど大きくなる|成長して～を脱する
trachea	気管
uneventful	波乱のない|平穏無事な
rasp	石目やすりをかける
distraught	ひどく取り乱して|気の狂った
unwavering	動揺しない|確固とした|しっかりしている
astronautics	宇宙航法|宇宙飛行学
confidentially	内内|ないしょで|こっそりと|内密に|内々
piecemeal	ひとつずつ|少しずつ|漸次に|ばらばらの|切れ切れに
glial	of or relating to neuroglia
bilirubin	ビリルビン|古くなった赤血球が破壊されて生成される黄色い色素|ビリルビンは血液で肝臓に運ばれ|胆汁中に廃棄される
flirty	いちゃつく|軽薄な
rifleman	ライフル銃兵;ライフルの名手
armature	よろいかぶと(armor)|(電気モーター・発電機の)発電子|電動子;(電磁石の)接極子|(動・植物の)防護器官(歯・とげ・殻など)
haplotype	haploid genotypeハプロタイプ|HT(半数体の遺伝子型)|男性のY染色体のHT(ペアがなく乗換えがなく父から息子へ伝承)は父系の調査に|ミトコンドリアDNAのHTは母系の推定に使用
codification	成文化
inferiority	劣等
actuation	推進
acidosis	(医)酸血症|酸性症|酸性血症|酸中毒|アシドーシス|酸毒症
unroll	繰り広げる|解く|開く|広げる|展開する|示す|明らかにする|解ける|開ける
osmotic	(ɑzmάṭɪk)|浸透圧の|浸透性の|(osmotic pressure浸透圧)
clothe	に衣服を着せる|着せる|衣服を着せる
gentleness	優しさ
rigidly	堅く
oyez	聞け|静粛に(Hear ye!)(開廷の際|廷吏が通例3回叫ぶ)
roundhouse	(中央に転車台がある)円形機関車庫|後甲板|大ぶりの(パンチ)|(野球)大きく曲る(スローカーブ)
homologue	同族体|相同遺伝子(=homolog)|直系遺伝子と側系遺伝子を含め|配列がすべて似ている遺伝子
overstate	大げさに話す|誇張する|通す|貫く|浸透する
glucagon	グルカゴン
dispensary	調剤室|薬局|《おもに英》(学校などの)診療所
ambivalence	反対感情両立|愛憎併存
loudness	けばけばしさ|大声
intertidal	(海岸の)干潮線と高潮線との間の
showerhead	a perforated nozzle that showers water on a bather
bream	ブリーム(ヨーロッパ産のコイ科の淡水魚|うろこは模造真珠の塗料になる)|タイ科の海産魚
leaning	傾き|傾くこと|傾向|好み|性癖|偏愛
umber	アンバー(黄褐色の天然鉱物顔料)|こげ茶色|こげ茶色の
doorman	(ホテルなどの)送迎係|ドアマン
meaningfully	有意義に
embellishment	装飾
