wyvern	(紋章で)飛竜(2本足で翼を持ち|蛇の尾の架空の竜)
thatch	わら|屋根をわら(草)でふく
shyness	内気|はにかみ|臆病
angelus	お告げの祈り
ampersand	(ˈæmpɚs`ænd)アンパサンド(&の記号)
unsightly	見苦しい|醜い
plumage	羽毛|羽|凝った服装|羽衣|美服|羽飾り
linoleum	リノリウム(床材)
criminality	犯罪行為
bide	とどまる|住む|待つ|こらえる|我慢する
overcoat	オーバーコート
monad	一価元素
cedi	セディ
spunky	活気のある|勇敢な|魅力的な|美人の|セクシーな
razz	酷評|舌と両唇で出す音|非難|嘲笑|あざける|あざ笑う|からかう|いじめる|冷やかす
shrapnel	爆弾の金属片|榴散弾
deuterium	重水素(化学記号は『D』)
totalitarianism	全体主義|国家統制主義
trigonometric	三角法の|三角法による
verbosity	くどいこと|冗漫|冗長
larder	〈C〉肉貯蔵室|食料品室(pantry)|〈U〉貯蔵食料
ganges	ガンジス川
jumpsuit	ジャンプスーツ
purl	〈小川などが〉さらさらと流れる|さらさらと流れる音
nonstandard	規格外の
truthfulness	信実|信義|誠実
atrocious	残虐な|極悪な|たちの悪い|ひどい|不愉快な
protectorate	保護国|保護領|(大国と小国の)保護関係
ebola	エボラ出血熱|エボラ
mallow	アオイ科の植物|(特に)ゼニアオイ
consecration	〈D〉神聖にすること;神にささげること|奉献|〈U〉(ローマカトリック教会でミサ聖祭中の)聖変化|〈C〉聖職への就忍式|〈U〉(一般に)奉仕|献身
forbearance	辛抱|自制
chromatographic	of or relating to chromatography
carbonyl	(化学)カルボニル基|木材保存剤等に利用される
golly	(驚き･困惑などを表して)おや|まあ
flay	剥ぐ|こきおろす
ligature	縛ること|ひも|帯|リガチャー
sloop	(1本マストの)スループ型帆船|スループ型砲艦
posy	花束
outrun	～より遠く(速く)走る|追い越す|を上回る
agave	リュウゼツラン
symbolically	象徴的に
unsubstantiated	証拠立てられない|確証のない
overrule	を却下する
voluminous	著書の多い|多作の|巻数が多い|かさばる
barrette	後ろ髪を留めるピン
cholinergic	コリン作用性の
abbe	神父|師
coachman	(馬車の)御者
univariate	一変量の|単変量の
normandie	ノルマンディー
resiliency	反発力|弾性|弾力性|弾力|フレキシビリティー|反発力
astrobiology	宇宙生物学(exobiology)
inhumane	薄情な
inadequately	不十分に
overshoot	(目標を)射越す|度を越す
carriageway	車道
crump	make a noise typical of an engine lacking lubricants|bombard with heavy shells|explode heavily or with a loud dull noise
randomization	ランダム化
photojournalist	フォトジャーナリスト|写真報道家
wipeout	壊滅|打毀し|撃滅|絶滅|取り潰し|粉砕|打毀|毀し|取潰し|打壊し
ionosphere	電離層(地上約80‐400kmのイオン圏;無線電波が反射され|遠方との交信を可能にする)
trotsky	トロツキー
airworthiness	fitness to fly; "the plane received a certificate of airworthiness"|fitness to fly
retroviral	逆転写酵素を有するRNAウイルスの|レトロウイルスの
amgen	アムジェンinc|ロサンゼルス郊外に本社を置く世界最大の独立バイオテクノロジー企業
carnivorous	肉食性の
orangutan	オランウータン
coot	オオバン(短い翼の水鳥)|《俗》(特に年取った)まぬけ|とんま
exhortation	勧告|熱心な勧め
conceit	自負心|うぬぼれ|想像する
tidbit	おもしろいニュースの一片|豆記事|(うまい物などの)ひと口|一片
engulf	飲み込む
teriyaki	照り焼き
adornment	装飾品
fluor	蛍石
pergola	パーゴラ(つる草などをまといつかせたあずま屋・たな)
inoperable	手術不能の|実施不可能の(an inoperable plan|実施できない計画)|作動不能|操作不可能
cyclonic	熱帯(温帯)性低気圧の;大たつまきの
scalper	(株などの売買で)利ざやかせぎをする人|だふ屋
eugenics	優生学
sandpaper	紙やすり(で磨く)|を紙やすりで磨く
diehard	最後まで抵抗する(人)|片意地な保守主義者(政治家)
perdition	魂の破滅|魂の永遠の滅亡|地獄|破滅|全滅
hardiness	逞しさ|頑健さ|強壮|大胆|厚顔
phew	あーあ|(驚き)ほー|(疲れ)ああ|ちぇっ
pungent	刺激する|辛辣な
discontinuance	中断|中止|断絶|廃止
wraparound	端を重ね合わせて着る衣類(巻きスカートなど)
macaque	サル科マカク属のサル
unbridle	remove the bridle from (a horse or mule)|remove the bridle from (a horse or mule) 
loner	一人で居たい人|孤独が好きな人
laney	レーニー
situate	を(ある場所に)置く
subprogram	手続|プロシージャ|関数|サブルーチン|ルーティン|プロシジャ|手続き|ファンクション|ルーチン
purportedly	うわさによれば
urinate	小便をする
antigenic	抗原性の
locum	(医師・牧師などの)代行|代理
diatribe	痛烈な非難|酷評|こきおろし
chairwoman	女性の議長|女性の会長
woodcraft	(狩猟・キャンプなどの)森林技術|木彫術
manifestly	明白に|はっきりと
emphatic	断固たる
conceptualization	概念化|構想
vole	ハタネズミ(小型のネズミ族の総称)
riv	river
homeward	復路|帰路
vireo	モズモドキ(アメリカ産の小型の鳴鳥)
fluorine	フッ素(化学記号はF)
refutation	論駁|論破
slovene	a native of Slovenia|the Slavic language of Slovenes
gunslinger	(特に米国西部開拓時代の)ガンマン|ガンファイター
troubleshooter	問題解決者|故障発見者|紛争調停者
caboose	乗務員車(貨物列車の最後尾につき調理・宿泊設備がある;《英》guard's van)
artistically	美術的に|芸術的に見れば
gulag	強制収容所
ampicillin	アンピシリン(ペニシリンに似た抗生物質)
fizzle	(最初はうまくいくが)失敗に終わる|しくじる|弱く消えてしまうようにシューシューと音を出す
wasn	wasn'tの略(俗語)
cezanne	セザンヌ
dissect	分析する|解剖する|切り裂く
thymidine	a nucleoside component of DNA; composed of thymine and deoxyribose|a nucleoside component of DNA|composed of thymine and deoxyribose
sanctum	私室|書斎|神聖な場所
unconstrained	拘束されない
osteopathy	整骨治療法
viceroy	総督
materialistic	唯物論(者)的な
boater	ボートに乗る人|かんかん帽
congresswoman	婦人国会(下院)議員
generalisation	概論|一般論|概括|抽象|抽象化|普遍化|一般化
inaugurate	の開館式|開通式を行う|を開始する|始める
hessian	ウェリントン
eucharistic	of or relating to the sacrament of the Eucharist; "the Eucharistic cup"|of or relating to the sacrament of the Eucharist
oncoming	近づいて来る|接近する|接近
wooly	羊毛の
beachcomber	(‐kòʊmɚ)|大波|波止場ごろ|(金属検知器などで)浜辺の落とし物を拾って歩く人
clydesdale	heavy feathered-legged breed of draft horse originally from Scotland
nebulizer	噴霧器|スプレー
butternut	バターナッツ(クルミの一種);その木
theocracy	神権政治|神権政体|神政国家
sputter	ぱちぱちいう|早口で言う|口ごもる|パチパチという音を立てる
cockroach	ゴキブリ(roachも)
goer	(映画･コンサートなどに)よく行く人|常連客|(新しいことなどに)積極的な人|活動的な人|足の速い馬|高速に走る車
computable	計算可能な
disorganize	remove the organization from
crafter	クラフトマン|名工|職人
littoral	海岸の|沿海の|海岸地方|沿海州
renegotiate	再交渉する
anise	アニス(セリ科の一年草)|地中海原産|種のような果実はアニシードaniseedと呼ぶ香辛料
riverbed	川底|河床
grainy	粒状の|(壁紙･合板など)木目模様のある|(音声が)ざらざらした|(写真が)粒子の荒い
pepperoni	ペパロニ
consummation	達成|完全|成就|終焉
refreshingly	さわやかに
sculptural	彫刻の
neurophysiology	神経生理学
outhouse	納屋
biopic	伝記映画
unfaithful	不誠実な
trill	震え声で歌う|トリル|歌を震え声で歌う|を巻き舌で発音する
linguistically	言語的に
criminalize	(人･行為を)有罪とする|(行為を)犯罪とみなす
reconstitution	再構成
interviewee	面接|インタビューを受ける人
hematologic	血液学的
titular	名だけの|名義上の|有名無実の|肩書の
diminutive	小形の|小さい|小型の|小柄の|ちっぽけな|(文法)指小の|指小(接尾)辞
transcendence	超越|超絶|(神の)超絶性
ponytail	ポニーテール
lilangeni	the basic unit of money in Swaziland; equal to 100 cents|the basic unit of money in Swaziland|equal to 100 cents
cellophane	セロファン(cellophane)はパルプから作ったセルロースを加工して作る透明な膜状の物質
skiff	スキフ(一人でこぐ|または帆走させる小さな舟)
scalpel	外科用のメス
porpoise	ネズミイルカ|(広く数種の)イルカ|でぶ|ふとっちょ
sorrel	スイバ|カタバミ(植物)
matrimony	結婚式|結婚|夫婦関係|結婚生活
hyperbaric	(医療などで)高圧酸素を使った
ailment	(軽い)病気|不快
homely	器量の悪い
subprime	上位に次ぐ位の|最高クラスに次ぐ|サブプライムの
sharpie	詐欺師|抜け目のない人|粋に着こなした人|スイング愛好者|三角帆の1～2本マスト平底船
stepfather	継父
currier	ナサニエル・カリアー|カリアー
taproot	(植物の)直根|主根
peal	響き|轟き|鳴り響く|轟く|(peel|皮をむく|は別語)
hotshot	やり手|腕利き|うまい選手|急行貨車|有能な(ぶる)人|(スポーツの)名人
dinero	お金|銭|現なま|金
underarm	腋(わき)の下|腋の下の;(野球などの)下手投げの|下手投げで
incurable	不治の
menthol	メントール|ハッカ脳(薬・香料に用いる)
propranolol	プロプラノロール(薬品名)
inescapable	逃げられない
brier	〈C〉イバラ|野バラ|〈U〉ブライア(シャクナゲ科の植物)|〈C〉(2の根で作った)パイプ
absorbance	吸光度
minx	おてんば娘|生意気娘|あばずれ女
eclipsis	省略法
cornbread	とうもろこしパン
innuendo	風刺|諷刺|あてこすり
supremely	最高に
mensch	りっぱな人間|あれー|おやおや
decarboxylase	デカルボキシラーゼ|脱炭酸酵素(Carboxy-lyases)|アミノ酸|α及びβケト酸等の有機化合物の脱炭酸を触媒する
bagpipe	バグパイプ(Scotlandの高地人などの用いる皮袋で作った吹奏楽器)
excitatory	興奮性の
provisionally	仮に
litigate	訴訟を起こす
fireproof	耐火|防火
singularly	際立って|とくに
elam	エラム
underpinning	支柱|ささえ|土台|支持|応援
preposterous	非常識な|バカげた|ばかげた
glean	落ち穂を拾う|拾い集める|収穫する
phot	フォト
gape	裂け目|ひび割れ(る)
dissuade	思いとどまらせる|思い切らせる
pyramidal	ピラミッド形の
umbra	本影(日食・月食で太陽光線がさえぎられてできる地球または月の影の部分)|(一般に)影にかった部分|影
poppin	ポッピン(ダンスの名)
trebuchet	トレビュシェット
kidder	だます人;からかう人
phosphoric	リンの|リンを含む
parquet	寄木細工の床|一階
confide	に打ち明ける|委託する|信任する|信頼する
reparation	賠償金|補償|回復
amply	十分に
saxophonist	サクスホーン奏者
spinnaker	(ヨットの主帆の前に張って追い風を受ける)大三角帆
damask	ダマスコ織り|どんす;(食卓用の)あや織り布|ダマスコ鋼(刀剣の刃に用いられる)|《詩》淡紅色|ダマスコ織りの|ダマスコ鋼の|《詩》淡紅色の
impotent	無力な|老衰した|力のない|無能な|虚弱な
emotive	感情に訴える|感情の|感情を表す|感情表出の|感動的な|激しい感情を起こす
papacy	教皇の位(任期)|教皇権
chemokine	ケモカイン|塩基性タンパク質でサイトカインの一群|白血球などの遊走を引き起こし炎症の形成に関与
ablaze	燃え立った|燃え立って|輝いて|興奮して
gramophone	蓄音機|畜音機
spotty	斑点のある
lech	(létʃ)好色な男|好色家 2|人名(レフ)
tannoy	拡声器(loudspeaker)による宣伝　（商標）タノイ　タンノイ　スピーカーの一種
internationalisation	国際化
senatorial	上院(議員)の
unexplored	未踏
sweeten	を甘くする|を清める|を和らげる
beechwood	wood of any of various beech trees; used for flooring and containers and plywood and tool handles|wood of any of various beech trees|used for flooring and containers and plywood and tool handles
lipopolysaccharide	リポ多糖(LPS)|グラム陰性菌細胞壁外膜の構成成分で|脂質と多糖からなる糖脂質である|LPSは内毒素(エンドトキシン|Endotoxin)で|他生物の細胞に影響を与える
epistemological	of or relating to epistemology; "epistemic modal"|of or relating to epistemology
unannounced	予告なしの
deactivation	breaking up a military unit (by transfers or discharges)|the act of deactivating or making ineffective (as a bomb)
exalt	昇進させる|高める|賞賛する
loafer	のらくら者(idler)|浮浪人(tramp)
skydive	スカイダイビング
grating	格子|フェンス|耳障り
retinol	レチノール
insurmountable	克服できない
reciprocate	やり取りする|報いる
invisibility	隠れていること|不可視性|目に見えないこと
guppy	グッピー(観賞用のメダカ科の淡水熱帯魚)
loony	頭がおかしい
mrd	電子辞書
etching	銅版画
emigrate	移住する
cornice	コーニス|コルニス|軒じゃばら(屋根が外壁に接する部分で軒|庇状に張り出した装飾)|雪庇
impenetrable	突き通せない|通過できない|理解の及ばない|(思想や影響を)受けつけない
gymnastic	体操(体育)の
triglyceride	トリグリセリド|中性脂肪|血清脂質の一種
epidemiologist	流行病学(疫学)者
undistributed	(of investments) not distributed among a variety of securities
nigra	ニガー|黒ん坊
retransmit	再送
outlander	異人|毛唐人|よそ人|余所者|彼方者|他国人|外人|夷|異邦人|毛唐
airstrike	空爆|空からの攻撃|航空ストライキ
luminescent	冷光を発する
percolation	ろ過|浸透;伝播(でんぱ)|普及
sockeye	紅鮭|sockeye salmon
budgie	《話》セキセイインコ
wheelbarrow	手押し一輪車|ねこ車|手押し車
beluga	ベルーガ(黒海･カスピ海産の大型のチョウザメ･卵はキャビアとして珍重される)|シロイルカ(北氷洋産)
inane	空の|空虚な|うつろな|ばかげた|無意味な|空虚
ibsen	イプセン
becket	(Roman Catholic Church) archbishop of Canterbury from 1162 to 1170; murdered following his opposition to Henry II's attempts to control the clergy (1118-1170)|archbishop of Canterbury from 1162 to 1170|murdered following his opposition to Henry II's attempts to control the clergy (1118-1170)|(nautical) a short line with an eye at one end and a knot at the other; used to secure loose items on a ship|a short line with an eye at one end and a knot at the other|used to secure loose items on a ship
euphemism	婉曲語法|婉曲語句
bluntly	無作法に|ぶっきらぼうに|無下に
harlot	《古》売春婦(prostitute)・みだらな女・あばずれ女
scull	両手に1本づつ持って漕ぐオール|その競技名
corky	コルクの[ような]|《俗》元気のよい|浮かれた
defensible	防御できる
tach	tachometer|タコメーター
vagrant	浮浪者|宿無し|放浪の|流浪の|転々とする|《おもに文》(考えなどが)気まぐれな|取り留めのない
clonal	of or relating to a clone
augmentin	アモキシシリン
anticancer	抗がん物質
digoxin	ジゴキシン
marianas	マリアナ
noninvasive	非侵襲
geometrically	with respect to geometry; "this shape is geometrically interesting"|with respect to geometry|in a geometric fashion; "it grew geometrically"|in a geometric fashion
segue	次の楽章･楽曲へ切れ目なく続く|セグエ(の楽曲)|(から~に)変身する(from to)|前の番組に途切れなく続く番組
undamaged	not harmed or spoiled; sound|not harmed or spoiled|sound
fie	えーい!|ちぇっ!
abut	(建物など)が隣接する|境を接する|接触する|沿う
olden	昔の
confound	混同する|困らせる|混乱させる
underwrite	(海上)保険を引き受ける|(ある危険を)保険する|(発行株式･社債)引き受ける
unending	果てしのない|絶え間のない|永久の
denunciation	非難|弾劾|告発|公然の非難
skewer	くしに刺す|くし
headquarter	《通例~s》本社|本部|本部を設ける
grimace	顔をしかめる|渋面|しかめっ面|顔を歪めること
spiffy	きちんとした|気のきいた|スマートな|しゃれた
gummy	ゴムの|粘着性の|ねばつく|ゴムの付いた|ゴム液を出す
abominable	忌まわしい|言語道断な|実に不快な|全くひどい
coinsurance	共同保険
airgun	空気銃|エアガン
venomous	有毒の|毒液を出す
impressively	印象的に
addressable	アドレス可能
patriarchy	族長制度|父主制|教長の管区
intervenor	(law) a party who interposes in a pending proceeding|a party who interposes in a pending proceeding
inextricably	表裏一体
surrealist	超現実主義(者)
roaster	ロースター|ロースター|ロースター|ロースター
barman	バーテンダー
erector	建設作業員
luminescence	(熱を伴わない)白光|冷光
interdepartmental	各部(局・省)間の|(大学などの)学部間の
persimmon	柿
unjustly	不当に|不公平に
redevelop	再開発する|再現像する|最発展する
sinbad	in the Arabian Nights a hero who tells of the fantastic adventures he had in his voyages
yuk	気持ち悪いもの･こと|オエッ (=yuck)
unknowingly	知らないで
ido	an artificial language that is a revision and simplification of Esperanto
slog	せっせと働く
reedy	アシの 多い|アシのような|アシ笛のような鋭い音の
vasectomy	精管切除[術]|パイプカット
fearsome	恐ろしい
bruckner	ブルックナー
likeable	好ましい
bullfrog	ウシガエル|食用ガエル
defection	亡命|国外逃亡|離脱|離反
millstone	ひきうす|重荷;やっかい者
shrike	モズ
expressionism	表現主義
penultimate	最後から2番目の
outnumber	数で勝る
shakti	シャクティー
morphogenesis	形態形成
ghb	a club drug available in liquid or powder form is taken orally (frequently combined with alcohol); used to incapacitate individuals for the commission of sexual assault and rape|a club drug available in liquid or powder form is taken orally (frequently combined with alcohol)|used to incapacitate individuals for the commission of sexual assault and rape
irregularity	でこぼこ|不揃い|反則|不規則|不規則なもの(こと)|不身持ち|不整|不正行為|不正事件|不品行|不法|変則|便秘
grayling	カワヒメマス
repossession	所有権を取り戻すこと|再所有
pompous	尊大な|大げさな|堂々とした|豪華な
propagator	繁(増)殖する物|植物の培養家|伝道者|宣伝者
possessive	所有の|所有欲の強い|所有格の|所有格|所有代名詞(形容詞)
ellipsoid	楕円体 (the Earth is an ellipsoid 地球は楕円体である)
summative	of or relating to a summation or produced by summation
advil	イブプロフェン
seder	セーデル
abhor	ひどく嫌う|ぞっとするほど嫌う|拒否する
impassioned	深く感動した|情熱的な
productively	生産的に
thumbsucker	親指しゃぶりする幼児のような人(サムサッカー)|(俗)誌上エッセー|随想(家)
nephropathy	腎症
taking	魅力的な|伝染性の|獲得|捕獲|所得|収入|売上高|悩み|困惑
triplex	3倍の|3重の|《米》(各戸独立の)3階建てアパート|〈U〉《しばしばT-》《英》《商標名》(自動車用の)3重ガラス
mouton	(仏語)ムートン|羊の毛皮
callisto	カリスト
contagion	伝染|伝染病|接触伝染
aum	オウム|オウム真理教
better	よりよい
casing	包装|枠
desecration	(神聖の)冒涜|神聖冒涜
lackluster	つやのない|パッとしない|活気のない
gunmetal	ガンメタル(鎖・ファスナーなどに用いる銅・すず・鉛・亜鉛から成る金属)|(また gunmetal gray)砲金色(青味がかった暗灰色)
leper	らい病患者
slammer	ドア|戸口|刑務所|ブタ箱
croak	不吉な予言をする|ガァガァ|ケロケロ|カエルの鳴き声
sparkly	キラキラ光る
automaker	自動車メーカー
sputum	喀痰
ornithology	鳥類学
collard	コラード(米国南部で栽培されるケールの一種で食用)|ちりめんキャベツ
audacious	大胆な|(法律などを)軽視した
forefoot	(四足動物の)前足
ferrule	(つえ・こうもりがさなどの先につける)石突き;(接合部補強の)金環
soreness	痛み|苦痛
boldness	大胆さ
confrontational	対立的な
chattel	動産|所持品|家財|奴隷
entrapment	おとり捜査|罠(にかけること)|絞扼(こうやく|(医)締め付け感)
advection	移流
underclassman	(大学・高校の)下級生
minimisation	最小化
foetus	妊娠3か月以後の胎児|Cf|embryo 2ヶ月以内の胎児(胚子という)
cassius	prime mover in the conspiracy against Julius Caesar (died in 42 BC)
nebo	Babylonian god of wisdom and agriculture and patron of scribes and schools
powdery	粉末状の
detonate	(猛烈な音と勢いで)爆発させる|大爆発を起こす
uncharted	海図(地図)に(載って)ない|未踏の|未知の
amass	集める|(財産)を蓄積する|積む
concatenate	〜'を'連結する|鎖状につなぐ
genotyping	遺伝子型判定
virility	(成年)男子であること|男らしさ|男盛り
inalienable	(権利など)譲渡できない|奪うことのできない
kylix	a shallow drinking cup with two handles; used in ancient Greece|a shallow drinking cup with two handles|used in ancient Greece
slippage	滑り|滑ること|滑り量|漏れ|減少|差|損失|ずれ|遅れ|低下|不履行
leche	レチェ|練乳
untamed	飼い慣らされていない|言うことをきかない
washcloth	洗面タオル(小型のタオル)(《英》face flannel)
painstakingly	きめ細かに
backroom	the meeting place of a group of leaders who make their decisions via private negotiations
