petite	(女性が)小柄な|小柄でこぎれいな|小柄で均整のとれた
tremendous	ものすごい|途方もない|途方もなく大きい|ばかでかい
convertible	変えられる|転換可能な
continuity	連続性
validity	有効期間|正当性|妥当性|有効性|効力|有効|合法性
trustee	受託会社|受託者|被信託人|管財人
psi	(第23ギリシア文字)プサイ|Ψ|ψ
swift	迅速な|迅速に|敏速な|非常に速い
gossip	うわさ話をする|うわさばなし|陰口|悪口|噂
postcard	郵便はがき
melody	メロディー|旋律|美しい音楽|音調
transparency	透明度|透明性
cathedral	大聖堂|司教座にある
copier	複写器|模倣者
softball	ソフトボール
scholar	学者|奨学生
brook	小川
smash	スマッシュ|粉々にする|強打する|強打|破壊|破産|バリッ|ガチャン|木が裂ける音
internationally	国際的に
geology	地質学|地質
armor	よろいかぶと|よろい|防護具
torrent	ほとばしり|急流|激流|奔流|豪雨|土砂ぶり|連発
intranet	イントラネット
carpenter	船大工|大工|木工
vegetation	(集合的に)植物|植生|植物の発育|無為の生活
controversy	論争|討論
crow	からす|鳴く
insulin	インスリン(糖尿病薬)
compute	算定する
mileage	総マイル数|マイル表示距離|マイル当たり料金|利益
specially	特に|特別に
covenant	契約する|(二国間または多国間の)契約|盟約|誓約|約款
feat	偉業|功績|際だった行い|achievement|妙技|離れ業
xerox	コピー|ゼロックス|コピー
steak	ステーキ
being	生き物|存在|実在|生存|生命
plaque	額|飾り版|斑|歯垢|血小板|(金属･陶器の)飾り板|(記念の)銘板|ブローチ
cannon	大砲
reliance	依存|信頼
whisper	ささやく|内緒話(をする)|ざわめく|ささやき声|さわさわという音(をたてる)
simplify	単純化する|を単純にする
cone	円錐|円すい形|火山すい|松かさ|(アイスクリームの)コーン
elective	(米語)選挙で選ばれた|選択科目
multiply	掛ける|増加させる|増やす|増える|増す
infectious	うつりやすい
prostate	前立腺(の)
behave	ふるまう
bypass	迂回する|バイパス
hostel	簡易宿泊所|ホステル|宿泊所|合宿所
explosive	爆発しやすい|爆発性の|爆発物
economist	経済学者
biblical	聖書の|聖書にある|聖書のような
conscious	自覚している|気付いている|慎重な|意識のある
substrate	基板|(生化学)基質(酵素の作用で化学反応を起こす物質)
nitrogen	窒素|元素記号N
saddle	課す|サドル|負わせる|鞍|に鞍をつける
referee	(特に決定･解決を)委託された人|調停者|審判|レフェリー
ambient	周囲の|ぐるりを取り巻く
predator	食肉動物|略奪者|捕食者
auburn	赤褐色(の)
navigator	ナビゲーター|航海長|操縦者|海洋探検家
willow	ヤナギ|柳|やなぎば色
widget	規格品|小型装置|部品
differently	異なって|異なるように
fatty	脂肪質の|油っこい|脂肪性の|脂肪の|デブ
assay	含有量(率)を示す|試金(含有量の検査)する|評価する|検定する
garment	衣服の一品|衣服
musician	音楽家
override	覆す|無効にする
operative	働く|活動する|(法律が)効力のある|(薬が)ききめのある|有効な|職人|スパイ
retrieval	取り返し|挽回|回復|修正|検索
sally	出撃する|突撃|小旅行|打って出る|反撃する
scary	おどろきやすい|恐ろしい|驚きやすい|臆病な
tendency	傾向|癖
terrain	(自然地理･軍事上から見た)地域|地勢|地形
charitable	慈悲深い
remainder	(算数)余り|残余|残留者|残り物|遺跡|継承権
opening	開いている|開始|始め|広場|穴|空き|開始の|すきま|開き
pork	豚肉|(US俗語)援助金|職務|利権
peel	皮|をはがす|むける|はがれる|皮をむく|オレンジなどの皮
researcher	研究者
transplant	移植|移住|移住者|移植された植物|を移植する|移住させる|移住する
nominee	任命された人
safeguard	予防手段|防護手段(対策)|緊急輸入制限
prejudice	先入観|害|偏見|先入主|偏愛|ひがみ|損害|被害|迷惑
granny	おばあちゃん(=nan, nana, nanny, granny, grandma, granma, gran)
sperm	精子
violin	バイオリン|バイオリン奏者
emerge	現れる|台頭する
viral	ウイルスの|ウイルス起因の
gale	強風|疾風|突発
competency	有能さ|コンピテンシー
realtor	不動産業者
champagne	シャンパン酒
recognise	認識する
chassis	(人･動物の)胴体|シャーシ|車台
stationery	文房具|便箋
serum	血清
pediatric	小児科の
alot	たくさん
jade	ヒスイ|痩せ馬|疲れ果てさせる
redhead	赤毛の人|大学1年生
subset	部分集合
corpus	文章の収集|集成|死体
daisy	(植物)ヒナギク|すばらしい物(人)|ホモ
herb	草本|草|香料(薬用)植物|(俗)マリファナ
dependence	依存|従属
destiny	運命
unauthorized	許可されていない|権限のない|独断の
competent	有能な|合法的な
lazy	怠惰な|のろのろした|眠気を誘う
lick	打つ|負かす|全速力で進む|(舌で)なめる|なめること|一なめ分|(a lick)少し|少量
apparatus	装置|器具|機構|機関|組織
spine	脊椎|脊柱|背骨|針|とげ
contributor	寄付者
grateful	ありがたくおもう|感謝して|楽しい
gradually	ゆっくりと|だんだんと|徐々に
desirable	魅力がある|価値のある|望ましい|好ましい
journalist	ジャーナリスト|新聞記者
memorandum	備忘録|覚え書き|メモ|摘要|規約|定款
lend	貸す
pharmacist	薬剤師
mime	物まね師|パントマイム|真似る|パントマイムで演じる
polyester	ポリエステル|ポリエステル樹脂|ポリエステル繊維
afterwards	のちほど|後で|逐って|後程|後ほど|おって|あと|追って
garlic	ニンニク
interfere	利害が衝突する|相容れない|妨害する|邪魔する|仲裁する
advancement	傷心|進歩|促進
vineyard	ぶどう園|(特に高度の精神的な)仕事場
confront	に立ち向かう|直面させる|直面する|立ち向かう
marry	結婚する
sewer	下水道|下水管
bark	howl遠ぼえする|whineクンクンなく|yelp|yapキャンキャン吠える|growl怒って唸る|snarl歯をむき出して唸る)|樹皮
hotspot	ホットスポット
turnover	(商品などの)回転率|離職率|売り上げ
sticky	ねばねばする|粘着性の|べとべとする|どろりとした|蒸し暑い
ozone	(化)オゾン|新鮮な空気
contour	等高線|輪郭|外形|外観
bloody	血なまぐさい|ひどく
samba	サンバ
irrigation	潅がい|潅漑|洗浄
sexuality	性的要素|性別|性欲|性機能
arbitration	仲裁|調停
redistribute	再配分する|再分配する|分配し直す
retire	退職する|引退する
inbox	受信トレイ
focal	焦点の
bibliographic	書誌の
distant	時間が隔たった|かすかな|遠い|離れた|敬遠した
hardwood	堅木|堅材
milestone	マイル標石|画期的事件
choir	聖歌隊|合唱団|chorus|合唱隊
bucket	バケツ
magical	魔法の|魔法の力による|不思議な|魅惑的な
swan	白鳥|きわだって美しい人|(俗)美人
manually	手動で
diaper	おむつ|ひし形模様(のある布)
antigen	抗原
lance	切開する|槍
blah	不快な|憂鬱な|つまらない(こと)|blah-blah-blah などなど, かくかくしかじか|Blah! ちぇ!, くだらない!
peso	ペソ(通貨, 複数形pesos)
vine	つる|ぶどうの木|つる植物|つる草
casualty	死傷者|戦争犠牲者|被害者
appellant	上訴人|控訴人
yearly	毎年の|例年の|年1度の|その年だけの|毎年|年1度
numeric	数|番号
manipulate	操作する|ごまかす
hollow	くぼんだ|中がからの|空の|うつろな|くぼみ|穴|中空の
writing	書く|執筆|筆跡|書くこと|書かれた物|書き方
characterization	特性づけ|性格描写
discrete	個々の|分離した|別々の|別個の|不連続の
yen	円(日本の通貨単位)|熱望|あこがれ|切望する
usher	受付|(結婚式の)先導役|座席案内係|誘導する|案内する
mpg	miles per gallon 1ガロンあたりの走行マイル数
cork	コルク製品|コルク
rotary	回る
chevy	悩ます|煩わす|嫌がらせ|責めさいなむ|責める|いたぶる|責苛む|煩わせる|苛む|苦しめる
importantly	もったいぶって|重要で
crawford	クロフォード|クロフォード
lecturer	講演者|講師
empirical	経験的な|経験によって立証できる|経験主義の|実験に基づいた
beginner	初心者
pedal	ペダル(の)|のペダルを踏む|足の
