taxon	分類群
jumpy	イラ立つ(nervous)|ビクビクする(afraid)
untested	テストされていない
reproachful	しかるような|責めるような非難に満ちた
mestizo	(スペイン語)メスティーソ|混血の人
stockholder	株主
dioxin	ダイオキシン
dour	陰気な|むっつりした|気むずかしい|きびしい|頑固な
colophon	出版社の標識マーク|奥付
kilo	キロ|1000の
figurehead	船首像|名目上の頭首|表看板|名目上の頭主
cudgel	棍棒(こんぼう)
indecisive	決断力のない|優柔不断な|不明確な|決定的でない
sprightly	元気な|快活な|活発(陽気)な|活発(陽気)に
secessionist	脱退(党)論者;《しばしばSecessionist》(米国南北戦争当時の)分離論者|脱退の|脱退(党)賛成の;脱退主義の|脱党論の
seer	見る人|千里眼の人|予言者
nadir	天底|どん底
feeding	摂食
preserver	保存(保護)者|缶(瓶)詰め業者
emancipate	(〜から)〜‘を'解放する|自由にする《+『from』+『名』(do『ing』)》
pretension	気取ること|自負|権利|資格|言い分|てらい|気取り|うぬぼれ
entertainer	芸能人
mystique	神秘性|奥義
bedclothes	寝具|夜具(マットまたは敷きぶとん以外のシーツ|毛布|掛けぶとんなど)
bloodstained	血痕のついた
mauve	ふじ色|モーブ色(の)|フジ色|藤色
satirist	風刺作家|皮肉屋
proteomic	プロテオーム解析またはプロテオミクスは|構造と機能を対象としたタンパク質の研究
biotin	ビオチン|ビタミンB群に分類される水溶性ビタミンの一種で|ビタミンB7(VitaminB7)と呼ばれる
pubis	恥骨|陰部|陰毛
underprivileged	恵まれない
rupee	ルピー(インドなどの通貨単位)
behemoth	《しばしば『B-』》旧約聖書「ヨブ記」の中のカバと思われる巨獣|(一般に)巨大でグロテスクな人(動物)
swastika	(サンスクリット語由来)かぎ十字マーク|かぎ十字章|まんじ
phosphorous	リンの|(特に)3価のリンを含む
pacification	なだめること|和解すること|平和|講和;講和条約
hangman	絞首刑執行人
electrophysiological	電気生理学的な
veggie	野菜
multifarious	多種多様の|さまざまの
ary	ary|(接尾辞)|…の|(人|場所)の意味の形容詞･名詞を作る
beauteous	(気候･景色など)うるわしい
chevalier	騎士|義侠的な人|勲爵士|最下位の貴族
infraction	違反|違反行為
manufactory	工場|製作所
paparazzi	パパラッチ(ゴシップメディア)
avow	率直に言う|(率直に|公然と)認める
accumulator	蓄財家|ためる人|《英》蓄電池(storage battery)|(電子計算機の)累算器
parka	パーカ|毛皮ジャケット
flout	侮辱(する)|馬鹿にする
coo	くうくうと鳴く|(赤ん坊が)クックといって喜ぶ|優しい声で言う|優しくささやく
subcategory	下位範疇
adjunctive	付属的な
insubstantial	実体のない
unalterable	変えられない|不変の
inoculum	接種材料
parsimonious	けちな|倹約な
fealty	(fíː(ə)lti)|忠誠|忠義
faeces	=feces
phonemic	音素の
gearbox	変速装置|ギアボックス
shrivel	縮む|縮んでしわが寄る(wrinkle)|しぼむ|しなびる|をしぼませる|をだめにする
simpleton	だまされやすい人|ばか
egotistical	=egotistic
infallibility	絶対無謬性
sinew	腱|筋肉|力
ingenuous	無邪気な|率直な|淡白な|純真な|あどけない
ungainly	ぶかっこうな|見苦しい|ぶざまな
deport	国外追放する|追放する|運ぶ|処する|ふるまう
dogmatism	ドグマティズム|教条主義|独断主義|独断的態度|独断論
goatee	ヤギひげ
ovoid	卵形の
booking	予約|簿記
brimstone	硫黄(=sulfur)
damask	ダマスコ織り|どんす;(食卓用の)あや織り布|ダマスコ鋼(刀剣の刃に用いられる)|《詩》淡紅色|ダマスコ織りの|ダマスコ鋼の|《詩》淡紅色の
intertidal	(海岸の)干潮線と高潮線との間の
whistleblower	内部告発
spurn	を踏みつける|を拒絶する|拒否する
hermitage	隠者のすみか･生活
hotline	ホットライン
methylated	メチル化された
prospectively	将来に向かって
soldiery	《集合的に》軍人|兵隊|軍事教練
excavate	掘る|掘削する|穴を掘る
upriver	川上の
magnolia	モクレン(花)
immunohistochemistry	免疫組織化学
tailgate	(トラック)尾板|後部開閉板|(他の車の)直後を進む
quash	取り消す|破棄する
twill	綾織
galleon	ガリオン船(15-18世紀スペインの三(四)層甲板大帆船
spiritualism	精神的特質|降神術
oversize	特大サイズ|網上|大き過ぎる|特大の|必要以上に大きい
unmitigated	やわらげられない|軽減されない|純然たる|全くの
vamp	継ぎはぎ|継ぎを当てる|ボランティアの消防士|即興伴奏|男たらし|不当な攻撃をする|しょっぴく|徒歩で行く|逮捕する
paralyze	を麻痺させる|無効にする|追い出す|駆逐する|奪う
angioplasty	血管形成術
foreknowledge	先見|予知
donna	イタリアの貴婦人
nucleoside	ヌクレオシド|塩基と糖が結合した化合物|アデノシン|チミジン|グアノシン|シチジン|ウリジンが主なヌクレオシド|リン酸と結合しデオキシリボ核酸(DNA)やリボ核酸(RNA)を作るヌクレオチドとなる
mete	を割り当てる|分け与える|計測|計量
blitz	電撃戦|電撃的猛攻撃
commutation	〈U〉交換|代替|〈U〉(支払い方法の)振替|〈C〉〈U〉減刑|〈U〉(電気の)整流|〈U〉《米》(主として定期券による)長距離通勤
silkworm	カイコ|蚕
downtrodden	踏みにじられた
polyp	ポリープ|ポリプ(サンゴなど群生体を構成する個体)
manmade	人造の|人工の
paralytic	麻痺した
covariate	共変量
punctuality	時間厳守
earner	儲かる仕事|儲けになる仕事|稼ぎ手|稼ぐ人|取る人|賄賂
halve	等分する|半減させる
desecration	(神聖の)冒涜|神聖冒涜
fibromyalgia	線維筋痛症|全身に激しい痛みが生じる病気
disaffection	(政府などへの)不満|不平|離反
cataclysm	大変革|(政治的社会的)大変動|大洪水|地殻変動
nonexistence	〈U〉実在しないこと;〈C〉実在しない物
unthinking	考えのない|軽率な|思考力のない|気がつかない
defilement	汚すこと|穢れ
phosphoric	リンの|リンを含む
pathogenicity	病原性
diatribe	痛烈な非難|酷評|こきおろし
gibberish	ちんぷんかんぷん
binocular	両眼用の|両眼を使う|双両鏡|双両望鏡
retroactively	遡及的に
lounger	なまけ者
catabolism	(生物)|カタボリズム|異化作用|物質分解代謝
enshrine	神殿に祭る|を祭る|安置する
defibrillator	除細動器|細動除去器(心臓疾患医療具)
superego	超自我|super-ego
monopolist	独占者
ejaculate	急に叫ぶ|射出する|射精する
indenture	契約書|証書|年季奉公をする
quadrangle	四角形|中庭|陸地区画
washcloth	洗面タオル(小型のタオル)(《英》face flannel)
tarpaulin	(タールなどを塗った)厚い防水布|防水シート
gunwale	舷(げん)の上縁|船べり
ennui	(仏語)倦怠|退屈|手持ちぶさた|アンニュイ
labyrinthine	迷路のような
beady	ビーズのような
glum	むっつりした|ふさぎ込んだ|浮かぬ顔の|陰気な
inchoate	始まったばかりの|初期の|不完全な|未完成の|組織化されていない|形の定まらない
sapling	苗(木)|若木|若者|青年
awestruck	打たれた
sagacious	賢明な(wise)
pushy	押しの強い
asperity	(気質・態度・語調などの)とげとげしさ|荒々しさ|(気候・生活などの)厳しさ|辛さ|困難
redolent	芳香のある|においが強くて
anarchic	無政府の
goer	(映画･コンサートなどに)よく行く人|常連客|(新しいことなどに)積極的な人|活動的な人|足の速い馬|高速に走る車
northernmost	最北
charioteer	chariotを駆る人(御者)
rubella	=German measles
hale	(老人)強壮な|かくしゃくとした
bimodal	二峰性の
pyrite	黄鉄鉱(fool's gold)
travesty	こっけい化|滑稽化
peony	牡丹|ボタン|シャクヤク
anabolic	同化作用の|(同化は小さな部品から分子を構成する代謝過程|大きな分子を分解して細胞呼吸に用いる「異化」から得られるエネルギーによって起こる)
zircon	ジルコン|風信子石(鉱物の一種)
displease	のきげんを損じる|不快にする
crisply	きびきびと|さわやかに|パリッとして|パリパリして
noonday	=noon 1|正午の|正午(真昼)に起こる
knightly	騎士の;騎士らしい;武勇の
conformist	遵法者
languor	(け)だるさ|倦怠|無気力|思い悩み|物思い
physiotherapy	=physical therapy
dally	ふざける|ぐずぐずとする
disrepair	荒廃|破損
sterilize	を不妊にする|を殺菌する|を不毛にする
cooperatively	協調的に
lollipop	棒付きキャンディー|ペロペロキャンディー
polluter	汚染者
portentous	もったいぶった|縁起の悪い|前兆の
belie	正しく伝えない|裏切る
turpentine	テレピン油(松科の木から採る精油
nativity	出生|誕生
tarnish	曇らせる|曇り
renege	約束を破る
homesickness	ホームシック
astringent	渋い|辛辣(しんらつ)な|アストリンゼン|収斂性の
foreplay	(性行為における)前戯
ilk	同類|家族|同地|種類|階級|同種
frontage	正面
appeasement	(əˈpɪiz|mənt)慰撫|鎮静|緩和|譲歩|宥和政策
endocytosis	エンドサイトーシス|飲食細胞運動|形質膜陥入
surrealism	(芸術)超現実主義|シュールリアリズム
weevil	ゾウムシ
realtor	不動産業者
metonymy	代喩|換喩(法)|あるものを密接な関係のある事物や属性で表現する修辞法|kingの代わりにcrownを|the Presidentの意でthe White Houseを用いるなど
adjectival	形容詞的語句|形容詞の･を作る
khan	汗(かん)(モンゴルなどの統治者の称号)|隊商の宿舎
dolor	悲しみ|嘆き
lysosomal	＜lysosome|リソソームの
ringleader	張本人|首謀者|発頭人
doable	することのできる|可能で
ignominious	不面目な|不名誉な|恥ずべき|卑しむべき|屈辱的な
petiole	(葉の)葉柄(ようへい)・(動物)柄部
presenter	司会者|申告者|推薦者|贈呈者
uptown	山の手へ
addendum	追加したもの|補遺|付録
interjection	不意の投入|不意の叫び|嘆声|(文法)感嘆詞|間投詞
foreskin	陰茎の包皮|(植)種子の包皮
