navicular	せん状骨|舟状
helichrysum	large genus of mostly African and Australian herbs and shrubs: everlasting flowers; in some classifications includes genus Ozothamnus|large genus of mostly African and Australian herbs and shrubs: everlasting flowers|in some classifications includes genus Ozothamnus
muramidase	リゾチーム
piecework	出来高払いの仕事
declamation	雄弁[術];〈C〉大げさな演説
miscarry	〈人・人の計画などが〉失敗する|しくじる(fail)|《英》〈手紙などが〉誤って配達される|不着になる|流産する
tangelo	タンジェロ(ミカンとグレープフルーツの交配種)
curtsy	お辞儀|お辞儀
pouf	お釜|ホモ
orrery	太陽系儀(太陽系の惑星・衛星の位置や動きを示す器具)|オーラリ
complacently	in a self-satisfied manner; "he complacently lived out his life as a village school teacher"|in a self-satisfied manner
buxus	type genus of the Buxaceae
mapmaking	製図
rockery	=rock garden
praseodymium	プラセオジム(希土類元素;化学記号はPr)
backslider	背教者|堕落者
untalented	不佞
busload	the quantity of cargo or the number of passengers that a bus can carry
setaria	annual or perennial grasses of warm regions: bristlegrasses
unmerited	not merited or deserved; "received an unmerited honorary degree"|not merited or deserved|not merited; "unmerited treatment of a potentially fine subject"|not merited
insubordinate	従順でない|反抗的|反抗的な;(〜に)従わない《+『to』+『名』》
whippoorwill	(北米産の)ヨタカの一種
lxiii	being three more than sixty
thallus	葉状体
overripe	too ripe and beginning to turn soft
chorister	聖歌隊員|(特に)少年聖歌隊員|《米》聖歌隊指揮者
lepidopteran	insect that in the adult state has four wings more or less covered with tiny scales
fulminate	声高に非難する|抗議する|爆発音を出す|電光のようにひらめく
nonproductive	(土壌・畑・鉱山などが)生産物を産出しない|生産能力のない|生産と直接関係のない
dukedom	〈U〉公爵の位|〈C〉公国|公爵領
dowitcher	オオハシシギ(くちばしの長い北米産のシギ)
passerine	スズメの目の|燕雀(えんじゃく)目に属する|スズメ目の鳥(ヒバリなどを含む)
ironworker	鉄工
directionless	当てのない|無目的|当ても無い
efface	(記憶)を消す|(文字など)を削除する|ぬぐい去る
anterograde	of amnesia; affecting time immediately following trauma|of amnesia|affecting time immediately following trauma
hemopoietic	造血性
bufflehead	ヒメハジロ
dazzlingly	in a manner or to a degree that dazzles the beholder
sneezy	inclined to sneeze
habanera	ハバネラ(キューバ起源の2拍子のスローダンス・その曲)
wouk	ウォーク
otosclerosis	hereditary disorder in which ossification of the labyrinth of the inner ear causes tinnitus and eventual deafness
bleakness	むき出し
hyperglycaemia	高血糖
retrotransposon	レトロトランスポゾン|トランスポゾン(可動遺伝因子)の一種|真核生物組織のゲノム内に普遍的に存在する
originalism	the belief that the United States Constitution should be interpreted in the way the authors originally intended it
stabber	someone who stabs another person
whalebone	鯨のひげ
malaprop	誤用
thimbleberry	shrubby raspberry of eastern North America having showy rose to purplish flowers and red or orange thimble-shaped fruit|white-flowered raspberry of western North America and northern Mexico with thimble-shaped orange berries|raspberry native to eastern North America having black thimble-shaped fruit
monopsony	(economics) a market in which goods or services are offered by several sellers but there is only one buyer|a market in which goods or services are offered by several sellers but there is only one buyer
protista	原生生物
aluminate	a compound of alumina and a metallic oxide
herpetologist	a zoologist who studies reptiles and amphibians
allylic	アリル
szell	セル
retrospection	回想|追想;回顧|思い出
ungovernable	統御できない|抑えきれない
procardia	ニフェジピン
laden	沢山抱えた
incise	〜‘に'切り込みを入れる;〜‘を'刻む
