hardware	ハードウェア|金物類|金属製品|機械設備
elephant	ゾウ|象|米共和党(Republican Party)の象徴
peptide	ペプチド|決まった順番で様々なアミノ酸がつながった分子
bitch	雌犬|(卑語)淫乱な女|意地悪で不愉快で身勝手な女|不平･不満を言う
vegetable	植物人間|野菜|植物|活気の無い人
amid	〜の真っ最中に
sect	教派|派閥|分派|学派
antigen	抗原
painter	画家|ペンキ屋|塗装工
honestly	いやはや|正直に|誠実に|正当に|正直に打ち明けて|まとも|実直|真面目
incomplete	不完全な
breakdown	突然の故障|機能停止|挫折|崩壊|内訳|分類
obedience	服従|従順
stool	丸椅子|腰掛け|足のせ台|2便器|大便(=excrement)
prosecution	起訴|告発|検察当局|遂行|実行|追求
disruption	分裂|崩壊|混乱
decisive	決定的な|断固とした
scholarly	学者らしい|学術的な|学問的な
exceptional	例外の|異常な|例外的な|異例の|特別に優れた
afterward	あとで|後に
mold	形作る|(に基づいて)作る|土|沃土|肥土|型|鋳型|流し型|骨組み|鋳物|性質|カビ
traumatic	衝撃的な
legislature	立法府
elder	年長者|年上の 2|ニワトコ
heavenly	すばらしい|天の
alloy	合金|合金に用いる安価な金属|まぜ物|品位|純度
median	中央の|正中の|メジアン|中点
distribute	配送する|分配する|分布している
urine	尿
societal	社会の|社会的な
quarrel	四角い鏃の付いた矢|紛争|口論|反目|不和|争う
ibid	同書に|同上
bless	を神聖にする|感謝する|祝福する|恩恵を与える|清める|恵む|賛美する|十字を切る|祈る
adhere	執着する|堅く守る|粘着する|支持する
reproduce	を生殖させる|を複製する|を模写する|を再生する
er	あー|あのー|えーと
consume	消費する
junction	連絡駅|連結|接合(部)|ジャンクション|はね橋|接合器|接点|多重ノード
reactive	(刺激に対して)敏感な|反応の早い|反作用的な
baseball	野球
courtesy	礼儀正しさ|礼儀
intuition	直観
idiot	まぬけ|ばか|あほう
induction	就任式|帰納法|誘発
calendar	カレンダー(calenderはミススペル)
cinema	映画館|映画
basement	地下室|基底部|地階
cooperate	協同する|協力する
tackle	取組む|タックル(する)|道具|ろくろ
organism	有機体|生物|人間|個々の小さな動･植物|有機的組織体(社会など)
batch	一揃い|(電算)バッチ(一度に処理するデータの束)|一群|(手紙の)一束|(パンなどの)一焼き(分)|一回分(のもの)|一団
math	数学|mathematics
trim	刈込む|整備(する)|削減する|を装飾する|(身体の)調子|気分|きちんとした
unclear	あいまいな
prescription	処方(箋|薬)|指示|規定|規範|法規|時効|おきて
surplus	黒字|剰余|余剰|余り|余った|過剰の|余剰の|黒字の
moreover	その上|なおその上に
suite	一続きの部屋|一式の家具|一組|スイート|スイートルーム(和製英語)
leisure	ひま|暇(な)|余暇|用事のない|有閑の|レジャー
harmful	害をおよぼす|有害な
tragic	悲劇の|悲劇的な|悲劇に関する|悲劇を演じる|悲惨な
slender	ほっそりした|不十分な|細長い|わずかな|薄弱な
conceive	考える|思い付く|想像する|妊娠する
specimen	見本の|標本|見本|試験片|試料
darling	いとしい人
flank	側面に立つ|横腹|脇腹|側面(に立つ)|側面を守る|わき腹
fossil	化石
reservoir	貯蔵所|宝庫
indirectly	間接に|二次的に|暗に|間接|それとなく|当て付ける|やんわりと
inhibition	抑制|禁止|禁制|防止|抑圧
instrumental	役に立つ|計測(計器)による|(文法)助格(の)
compliment	お世辞を言う|誉める|賛辞|お世辞|あいさつ
reinforcement	補強|強化
elastic	融通のきく|伸縮自在の|flexible|快活な
cargo	船荷
fury	憤慨|激怒|激しさ|憤激|怒る|激情
enhancement	強化
attendant	付添いの|係員|コンパニオン(和製英語)
convergence	一点に集まること|収束|輻輳
nonetheless	それにもかかわらず|やはり
inscription	刻むこと|銘刻|銘|碑文|the inscription on a gravestone墓碑銘
computation	計算(法)|評価
neighbourhood	近所の人々
knit	編んだ|組む|編む
aggression	攻撃|侵略
prone	の傾向がある|のくせがある|しがちな|うつぶせの
hum	ブンブン音をたてる|鼻唄をうたう|景気がよい|ぶんぶんいう音|buzz
sore	痛い
cylinder	シリンダー|円筒
reluctant	気乗りのしない|不承不承の|しぶしぶの|嫌がる
halfway	中途半端な|中途の|中間の|中間にある|中間で|途中で
discomfort	不快にする|不便
plantation	栽培場|大農場|大農園|植林地|植民地
civic	市民の|市の
amusement	楽しみ|娯楽
operative	働く|活動する|(法律が)効力のある|(薬が)ききめのある|有効な|職人|スパイ
architectural	建築の|建築学の
monkey	サル|いたずら小僧|遊び回る|いじくる
stride	大股で歩く|またぐ|一またぎ|進歩
proliferation	増殖|急増|拡散|(生物)分芽|分裂|増殖
thigh	もも|また|太腿(尻から膝まで)
selfish	わがままな|利己的な|自分勝手な
fare	料金|運賃|旅をする|暮らす|ごちそう
deed	行為|行い
dip	下落|落下|一汲み|をちょっと浸す|を汲み上げる|下降する|decline|decrease
enjoyment	楽しみ
limb	の手足(翼)を断つ|手足|大枝|縁|節
lawn	芝生
transparency	透明度|透明性
recommendation	推薦(状)
constraint	強制|圧迫|束縛
temporarily	仮りに|仮に|当座|一時的に
contempt	軽べつ|軽蔑|侮辱
producer	生産者|演出家|製作者|興行主|経営者
relieve	を救う|を和らげる
assay	含有量(率)を示す|試金(含有量の検査)する|評価する|検定する
gorgeous	華麗な|豪華な|見事な
rebuild	再建する
electoral	選挙の
awe	畏敬|畏怖
crude	天然のままの|粗野な|露骨な|粗い|加工していない|不遠慮な
fortunate	しあわせな|幸運の|運の良い
suspension	負債の返済不納|吊すこと|停止|宙吊り|未決定|停職
burial	葬式|埋葬|墓
deployment	展開
solidarity	団結|連帯|一致
tick	カチカチいう音|カチカチと音を立てる|時を刻む|ダニ|いやなやつ
satisfactory	満足な|十分な
fatty	脂肪質の|油っこい|脂肪性の|脂肪の|デブ
empathy	感情移入|共感
splash	ねる|をはねかける|バシャ|水のはねる音
brace	突っ張り|支柱|引き締める|支える|元気を出す|元気づける
pastor	牧師
extensively	広く|手広く|大々的
rider	ライダー
elicit	引き出す|導きだす
disk	円盤
ascertain	突止める|確かめる|突きとめる|確実にする
vegetation	(集合的に)植物|植生|植物の発育|無為の生活
realise	realizeの英式綴
bin	(ふた付の)大箱|(石炭, 穀物の)置き場
parish	教区(民)|郡|巡回区域|専門分野
abdominal	腹部|腹部の
dioxide	二酸化物
marker	マーカー|マークする物|目印|採点者|記念碑
liberation	解放
lively	active|生き生きした|泡立つ|新鮮な|陽気な|効果的な
statutory	法令の|法定の
murmur	つぶやき|不平の声|かすかな音|ささやく|ざわめく
stitch	を縫う|ステッチ|一針|綴じ|ひと針|縫い目|布地
downward	下向きに|下方へ
portal	入口|門脈|入り口|玄関|正門
announcement	発表|通知
nurture	滋養物|養育|養う|育てる
dominance	優越|支配|優勢
consultant	コンサルタント|顧問|相談役
missile	ミサイル|飛び道具
coherent	首尾一貫した|同位相の|密着した|筋の通った|一貫した
envy	うらやむ|うらやみ|羨望
reproductive	再生(再現)の|生殖の|多産の
dam	せき止める|ダム
wax	ろう|ろう状物質|ワックス|レコード|耳あか|激怒|大きくなる|かんしゃく|満ちる
junior	年少の|年少者
apology	弁解|言い訳|謝罪|(口)まにあわせのもの
conquest	占領地|征服
swift	迅速な|迅速に|敏速な|非常に速い
sediment	沈澱物|沈殿物|堆積物
conditional	条件付きの|条件的な|(文法)条件文|条件語句(節･文)
slap	非難(する)|平手打ち|をピシャリと打つ(こと)|ピシャ|ひっぱたく音
meantime	合い間|その間の時間
jam	混雑|ジャム|妨害する|詰め込む
canvas	研究調査する|遊説してまわる|選挙運動をする|カンバス|キャンバス|テント|麻布|帆布|ズック
blossom	(特に果実の)花が咲く|開花する|発展する
beneficiary	受取人|受給者|受益者|信託受益者
recognise	認識する
analyse	分析する
propaganda	宣伝|主義|主張|宣伝機関
lump	塊になっている|重そうに動く|たくさん|角砂糖|こぶ|塊
prophecy	予言的能力|予言|お告げ|天啓|預言
emotionally	感情的に
sincere	誠実な|偽りのない|正直な
bilateral	二国間の|両国間の|両側の|左右相称の|相互的な|双務的な|両側のある|双方の
confirmation	売買報告書|確認
incorrect	正しくない|間違った|無作法な
purity	清浄|混じり気のないこと|純粋|純度|清潔|純潔|清廉|正格
winner	勝利者|受賞者
distraction	精神錯乱|気晴らし
premium	割増価格|割増金|賞与金|賞|賞金|賞品|賞与|割り増し
ambitious	大望のある|野心的な|熱望して
tourist	観光客|旅行者
align	並べる|一直線にする|提携させる|一列に並べる
predominantly	優勢に|主に|大部分は|広く|支配的な
provoke	引き起こす|刺激する|を怒らせる|をじらす|挑発する
chap	男|あかぎれ|ひび(あかぎれ)を作る|(手などが)荒れる|(動物の)あご|ほお
affinity	類似性|親近感|魅力|attraction|婚姻(関係)
nephew	おい|甥
shrug	肩をすくめる(こと)
fundamentally	根本的に
unwilling	気が進まない|いやがる|不本意の|いやいやながらの|反抗的な
drought	日照り|かんばつ|旱魃|渇水
fibre	fiber(繊維)の英国式綴り
circumstance	ものものしさ|出来事|事情･環境|状況|境遇|身の上
rehabilitation	社会復帰|名誉回復|復権|復興
gel	ゲル|膠(こう)化体
spiral	らせん状に進む|らせん|螺旋状の|螺旋形のもの
countenance	に暗に賛成する|表情|外見
collision	衝突
motivate	に動機を与える|動機を与える|やる気にさせる
spoon	スプーン
landlord	家主|地主
fuzzy	ぼやけた|微毛のある|けばだった|縮れた|ファジー理論
scientist	科学者
immigrant	帰化植物|移住者|移住民|(外国からの)移民|外来動物
ml	ミリリットル(1cc)
fort	とりで|交易市場|要塞
warehouse	を倉庫に入れる|を保税倉庫に預ける|商品保管所|卸売り店|問屋|倉庫|大商店
restriction	制限(条件)|限定
periodic	定期的な|周期的な|断続的な
clash	衝突(する)|ガチャッ(音)|(色彩の点で)調和しない
atom	原子
righteousness	正義|正直|正しさ|実直
summit	首脳(陣)|山頂|頂点|首脳会談|首脳レベルの
transmit	伝える|convey|を送る|を伝達する|送信する|発信する
cute	かわいい
naval	海軍の
mum	黙る|無言の|黙っている|しっ!|奥様|おかあちゃん|強いビール|キク
costly	高価な|損失の大きい
sack	解雇(する)|袋(にいれる)|袋の中身|大袋
disagreement	不一致
accomplishment	達成|完成|才能
boot	長靴|解雇|クビ|(UK英)車のトランク
flush	ほおがぱっと赤らむ|(空が)ばら色になる|メモリをクリアする
irregular	でこぼこの|不揃いの|不同の|不規則な|変則的な|(文法)不規則変化の
worm	虫|寄生虫|虫けら|苦悩|徐々に進む|寄生虫を取り除く
evolve	展開する|発展させる|導きだす|発展する
outfit	したく|用具一式|一行|供給する
eagerly	熱心に
immunity	(税･責任･義務などの)免除|免疫性|免疫
longitudinal	経度の
sickness	病気
bud	つぼみ|芽
foam	泡|あぶく|泡を出す|あわ消化剤
negotiation	交渉|話し合い|(小切手など)譲渡|談判|流通
rub	こする|障害|摩擦
download	ダウンロード
laptop	ひざ置き型の|小型で携帯可能な|ラップトップの
compatible	両立できる|矛盾のない|(ソフトウェアなどで)互換性がある
feasible	実現可能な|可能な|適した|便利な
deformation	形をくずすこと
solemn	いかめしい|厳粛な|まじめな
viable	生存できる|実行可能な|生存能力のある
coincide	一致する|同時に起こる|性質が合う|同じくする
speculation	投機|思惑買い|思索|思弁|考察|空論|推測|やま
icon	聖像|像|肖像|イコン|偶像|アイコン
safeguard	予防手段|防護手段(対策)|緊急輸入制限
solitary	孤独の|ひとりの|一人だけの|孤独な|めったに人の訪れない
sculpture	彫刻をする|彫刻する|彫刻|彫刻作品
scarce	まれな|不足して
reliance	依存|信頼
unpleasant	不愉快な|いやな|気にさわる
summon	を招集する|を呼び出す|勧める|命令する|要求する
earnest	まじめな|熱心な|真剣な|重大な
streak	筋がつく|閃く|層|線|光線|一続き|兆候
dreadful	恐ろしい
proportional	比例した|釣り合った|比例項|比例の
plug	差し込み|消火栓|栓|プラグ|ソケット|点火栓|をふさぐ|宣伝(する)
coupling	男女のカップル
gradual	(勾配が)ゆるやかな|漸次の|徐じょの|徐々の|漸進的な|逐次の|昇階唱
abortion	人工中絶|堕胎|流産|早産|(器官の)発育不全
interactive	インタラクティブな|対話式の|実況の|最新の
individually	個々別々に
deity	神|神性
biomass	生物量|バイオマス|生態学で
murderer	人殺し|殺人者
sunshine	日向|日光
chromosome	染色体
republic	共和政体|共和国|～団体|～社会
colleague	同僚|仲間
coarse	粗野な|あらい|粗末な|粗い
suck	ひとすすり|吸う|しゃぶる|ひどくいやな|むかつくような|最低の
attendance	出席
advertisement	広告
contingent	依存する|付随する|偶然の|臨時の|不慮の出来事|分担|分艦隊|派遣団
signify	を意味する|を示す
teaching	教育|授業|教え|教義
imprint	強く印象づける|押印|感銘させる
captive	捕らわれた|人質(=hostage, pawn, pledge, captive)|とりこ(の)
ripple	波紋ができる|に波紋を起す|波状|細波が立つ|波紋|さざ波
viral	ウイルスの|ウイルス起因の
ethnicity	民族性
tech	技術の|科学技術|技術者
slaughter	大量殺戮|完敗|屠殺する|虐殺する|徹底的に打ち負かす
intimacy	仲の良い|親密|親しい|個人的な|私事の|精通した
retire	退職する|引退する
hood	ずきんをつける|ずきん|フード状のもの
overnight	夜通し|一晩中|前夜の|一夜のうちに
wreck	難破|難破船|破損|廃人|破壊する|難破させる
critically	きわどく|危うく|危なく|危篤状態に|酷評して|批判して|批評的に
culturally	文化的に
advancement	傷心|進歩|促進
scandal	スキャンダル|醜聞|恥ずべきこと
spur	を駆り立てる|に拍車をあてる|急行する|激励|刺激|拍車
paste	をのりではる|ねり物|ペースト|のり|練り粉
neat	さっぱりした|きちんとした|こぎれいな|趣味のよい
nonlinear	非線形の
affective	感情の
hurriedly	あわただしく|大急ぎで
revolt	暴動(を起こす)|反乱|背く|反抗する|暴動を起こす|不快に感じる|一揆|反感
intellect	知性
dismiss	解雇する|fire|立ち去らせる|追放する|解散する|(本来なら考慮すべきことを)忘れる
incredibly	信じられないほど|非常に
spoil	悪くなる|を台無しにする|駄目にする|を甘やかす|役に立たなくする
perish	を殺す|滅びる|死ぬ|消滅する|悪くなる|堕落する
transnational	多国籍企業|国家を越えた|国境を越えた|多国籍の|国という枠組みを超えた
bronze	青銅|ブロンズ
lust	切望する|強い色情をいだく|(通例好ましくない)欲望|強い性欲
waiter	給仕|ボーイ
audio	可聴周波数|音響部分|聴覚の
offend	怒らせる
policeman	警官
unfortunately	あいにく|不幸にも|不運にも
narrator	ナレーター
offspring	子孫|結果|成果
terminology	専門用語|術語|用語法|術語学
chapel	礼拝堂
rationale	理論的解釈|根本的理由|原理|理論的説明(根拠)
integer	(ínṭɪdʒɚ)完全なもの|完全体|(数学)整数|整数値
doll	人形
