chain	鎖
encourage	を励ます|を促進する
wife	妻
counter	カウンター|計算機
army	軍隊|陸軍
paperback	紙表紙本|ペーパーバック(版)
emergency	緊急事態
seek	を求める|得ようとする
justice	正当性|公正|正義|裁判|裁判官|司法|司法官
gene	遺伝子
respective	それぞれの
parent	親
refer	(refer to)に言及する|を指示する|を参照する
blow	鼻をかむ|風が吹く|とぶ|息を吹く|打撃|(不意の)精神的打撃|殴り合い|発表する|自慢する|笛が鳴る|(俗)コカイン
monthly	毎月の|月1回の|月経の|毎月|月間刊行物|月経|月刊誌
dictionary	辞書
brief	要点を伝える|概要を作る|簡潔な|摘要|訴訟事件|短時間の|簡単な声明
helpful	助けになる|役立った|有用な|役に立つ
critical	批判的な|重大な|危機的な|きわどい|臨界の
subscription	予約購読(料)|引受|申込|寄付(金)|署名|認可
prove	を証明する|とわかる
appeal	に訴える|に求める|を引きつける|魅力|訴え
religion	信条|宗教|宗旨|宗派|信仰|儀式|宗教学
height	高いところ|高さ|高地|絶頂
bridge	に橋をかける|橋をかける|空間を埋める|歯の矯正治具
palm	掌|手のひら(状の物)|手尺|あて革|ヤシ|シュロ|シュロの葉(勝利の象徴)
advantage	好都合|有利|利益|長所|便宜|利点|強み
mouse	ハツカネズミ(ratはドブネズミで大きい)|臆病物|かわいい子
employee	従業員
lee	残りかす|保護|物陰|風下の|風下
revenue	国家の歳入|都市|国税庁|利益|総収入|所得|財源|税務局|国税局
satellite	衛星|人工衛星|衛星国|衛星の|衛星中継する
tag	に下げ札をつける|決まり文句|荷札|金具|尾|巻き毛|ナンバープレート
quantity	量的な|分量|量|数量|額|多量|音量|期間
movement	動き|動くこと|動作|運動|成り行き|展開|変動
league	盟約を結ぶ(結ばせる)|同盟|連盟|仲間|同盟する(させる)
relevant	関連した|適切な
weekend	週末
weekly	毎週の|毎週|週刊誌
professor	教授|教師|先生|師匠
pain	苦痛|痛み
lock	に錠をかける|を動かなくする|を抱きしめる|を閉じこめる|水門|ドアロック|錠
virus	ウイルス|ビールス|病原体|病毒|害悪
newspaper	新聞|新聞紙
catch	をつかまえる|(病気)にかかる|を捕らえる
attention	注意|心遣い|世話|親切
ice	氷|氷原|氷菓子|氷る|を冷やす|を凍らせる|凍らす
pocket	ポケット|一袋|懐中|金銭|くぼみ|玉受け
architecture	建築術|建築|構造|建設|アーキテクチャ|基本設計概念|建築学
expect	期待する|を予期する|予想する
plate	めっきする|板金|皿|金属製食器類|板|表札|図版|義歯|(野球)ホームプレート
secret	秘密の|機密|内緒の(事)
disc	レコード|円盤
fuel	燃料|核燃料
bond	債券|保証証券|保釈金
fix	固定する|修理する|整える|元の状態に戻す|(口)麻薬の注射|(応急的)処置|八百長
guitar	ギター
context	前後関係|状況|文脈|背景
engineer	技術系社員|(陰謀など)をたくらむ|設計されている
draft	草案|為替手形|設計図|下書き|図面|徴兵(conscription)|ドラフト|通風
coverage	新聞報道|範囲|事件の報道|報道範囲|取材|保険
priority	優先|優先順位|前であること|より重要であること
species	種|人類|種類
volunteer	ボランティア|ボランティアの|有志の
documentation	書類の作成
facility	たやすさ|容易さ|設備|施設|腕前
random	でたらめな|手当たり次第の|無作為の|任意の
favourite	favoriteの英国綴り
attend	気をつける|に出席する|参会する|伴なう|随行する|看護する
reflect	反映する|反射する|よく考える
operator	(少し皮肉っぽく)敏腕な人|やり手|機械運転者|交換手|経営者|相場師|手術者|演算子|通信士
quarter	4分の1|15分|25セント|地区|地帯|寛大|街
coach	大型四輪馬車|客車|長距離バス
vendor	行商人|露店商人
partnership	協同経営|協力|提携|共同|協調
whose	その|だれの
cold	風邪|冷たい
joint	共同の|継ぎ目|関節|(俗)たまり場|レストラン|ナイトクラブなど
leather	なめし皮|皮革
template	テンプレート|定形書式|鋳型
confirm	確かめる|確実にする|強固にする|強化する
abuse	の悪口を言う|濫用(する)|悪用(する)|虐待(する)
automotive	自動の
corner	角|隅|窮地
cast	傾向|配役|外観|投げる|計算する|目を向ける|くじを引く|と別れる
naked	ありのままの|裸の|むき出しの|無防備の
beat	(続けざまに)打つ|負かす|巡回区域
fantasy	空想|ファンタジー|想像|気まぐれ|空想文学作品|空想の産物|荒唐無稽|幻
initial	頭文字|初の
tape	(平らな)ひも|テープ|接着テープ|粘着テープ|巻き尺
scene	シーン|現場|場面|舞台|眺め
successful	成功した
employer	雇用者|雇い主
clinical	診療所の|臨床の|臨床治療の|客観的な態度の
sit	すわる|すわっている
comparison	比較|たとえ
coffee	コーヒー
highly	高く|非常に|高度に|高貴に
premium	割増価格|割増金|賞与金|賞|賞金|賞品|賞与|割り増し
dynamic	動力の|動的な|力学の|動的
actual	事実上の|現在の|現実の
spot	スポット|地点|しみ|吹き出物|見つける|見抜く|しみがつく
configuration	形状|配列|認識|(天文)星座|(IT)機器構成
foot	足|フィート(1フィートは約305cm, 12inches)
rich	豊かな|お金持ちの
patient	がまん強い|忍耐強い|辛抱強い|根気よく働く|患者
lodge	泊まる|を預ける|提起する|を提供する|ゆだねる|観光地の旅館|山小屋|(弾が)入って止まる|(矢が)付き刺さる
wild	野蛮な|野生の|荒れ果てた|荒っぽい|でたらめに|荒野|未開地
historical	史実に基づく|歴史の|史学の|歴史上の|歴史に基づく
commerce	商業|貿易|交易|交際|商学|コマース
perhaps	たぶん|おそらく
difficult	難しい
scientific	系統だった|科学的な|(自然)科学の
colour	colorの英式綴り
therapy	治療|療法
ex	先夫|先妻|前任者|かつての|前の|から(from)|落ち
ski	スキーをする|スキーの|スキー(をする)
pink	(色)ピンク|桃色(の)|ピンク色
font	洗礼盤|聖水盤|油壷|フォント(書体)
particularly	特に|詳しく
oral	口頭の|会話の|口の|経口(の)
setting	セットする|背景|設定|配列
functional	機能の
advertisement	広告
cultural	文化的な|教養の|文化の|栽培の|培養の
forecast	予報|天気を予報する|を予想する|前兆を示す|を予定する|予測
easily	容易に
