cowshed	牛小屋|牛舎
scrapheap	ごみの山|くず鉄の山;《the~》ごみため|ごみ捨て場
ectodomain	細胞外ドメイン
carefulness	注意深いこと
astatine	アスタチン(放射性元素の一つ;化学記号は『At』)
escapology	脱出術(袋・鎖から抜け出る奇術)
vaporous	蒸気が充満した|蒸気を出す|霧のかかった|はかない|空想的な|妄想的な|誇大な|実質のない
prevarication	言いのがれ|ごまかし|うそ
somnolent	眠い
antipyretic	熱さましの|解熱の|解熱剤
sibilant	シューシュー音がする|歯擦音
mortify	くやしがらせる|恥をかかせる|抑制する|(肉欲･感情などを)抑える
unstudied	(行為などが)自然な|わざとらしくない
unhallowed	聖別(祝別)されない|あがめられない|《文》悪に染まった|邪悪な
popover	軽焼きマフィン・(軽い焼き菓子の一種)
overfly	(編隊飛行で)〜‘の'上空を飛行する
injudicious	無分別な|無思慮な
beriberi	脚気(かっけ)
unmanly	男らしくない|ひきょうな|めめしい|柔弱な
mazy	迷路のような
cookhouse	炊事場・(特に)船の調理室|(キャンプ・工事現場などの)仮設炊事場
phosphatic	リン酸塩の|リン酸塩を含む
satinwood	サテンの木(東インド産のマホガニーの一種)
unsheathe	〈刀など〉‘を'さやから抜く
digoxigenin	ジゴキシゲニン|ジギタリス属の植物Digitalis orientalis等の花や葉に存在するステロイド|生化学における研究ツールとして用いられる
confiscatory	没収の|押収の|(税などが)過重な
climatically	気候上;風土的に
sarcomere	筋節|サルコメア(骨格筋線維の収縮単位)
steepen	〜‘を'険しくする|急勾配(こうばい)にする|険しくなる|急勾配になる
scentless	かおりのない
impulsion	〈C〉衝動|推進力|刺激|〈U〉推進
pinprick	(ピンなどで刺した)小さい穴|いやがらせ|意地悪
microsome	ミクロソーム|細胞をホモジナイズ(すりつぶす)して遠心分離すると|最初に核が|次にミトコンドリアが沈殿し|最後に上澄みから得られる小胞体などを含む部分|タンパク質合成活性などがある
nebulosity	〈C〉星雲状の物|〈U〉ぼんやりした状態|あいまいさ
factious	派閥的な|党派心の強い
middlebrow	ある程度教養がある人|知識や教養が中位の人|知識が中くらいの
provincialism	地方気質|地方色|偏狭|田舎根性|いなか風|田舎くささ|訛り|方言
shabbily	みすぼらしく;卑しく
undersell	を控えめに売り込む|値引いて売る|より安く売る|不当に低く印象づける
pelmet	(カーテン上部の金具をかくす)上飾り(《米》valance)
shyster	いんちき弁護士
detractor	中傷者|けなす人
superinfection	重複感染
