overdraw	〈預金・割怒額など〉‘を'超過して借りる;〈小切手〉‘を'過振りする|〜‘を'誇張して描写する
espousal	(支持|主義･説などの)支持|擁護|結婚|婚約
pseudoobscura	ウスグロショウジョウバエ(ハエの一種)
heparinized	ヘパリン(抗凝結成分)化された cf|heparin
redound	(信用・利益などを)高める|増す《+『to』+『名』》
moodily	不機嫌に
solipsist	唯我論主義者|自己中心主義者
purgation	清めること|浄化;浄罪|便通[をつけること]
snick	(はさみなどで)〜‘を'ぱちんと切り取る|〜‘に'刻み目をつける|(クリケットで)〈球〉‘を'切って打つ|ぱちっと切ること;刻み目|(クリケットで)球を切って打つこと
deathblow	致命的打撃|(〜を)終結させるもの《+『to』+『名』》
pollywog	=polliwog
hollo	=hallo
quarterstaff	六尺棒(昔の英国の武器;両端に鉄の金具がついている)
redcap	《米》(駅の)赤帽(porter)|《英》憲兵
winepress	(ワインを作るための)ぶどうしぼり器(おけ)
closedown	(工場・商店などの)閉鎖|操業中止|《英》放送終了
forepart	(ある物の)前部;(ある期間の)初めの部分《+『of』+『名』》
amendable	修正可能な
hardheaded	がんこな|実際的な
ileitis	回腸炎
tidily	きちんと|整然と
seadog	《おどけて》年とった水夫|老練な水夫
odalisque	オダリスク|昔のイスラエル国の女奴隷
conferee	会議出席者|受領者|授与される人|相談相手|評議員
snappish	(犬など)かみつく癖のある|がみがみ言う|おこりっぽい
superannuate	〈人〉‘を'老齢(病弱)のため退職させる
gangplank	道板(みちいた)(船から桟橋へ渡して客の乗降に使う移動式の橋)
parquetry	寄せ木細工|(床の)寄せ木張り
tiredly	疲れて;飽きて
stalking	ストーキング|つけ回すこと(他人の意思を構わぬ異常な行為)
sniffy	鼻であしらう|高慢な|軽べつした|《英》悪臭を放つ|臭い
mesospheric	中間圏の
amiability	感じのよさ;気だての優しさ;温和;温厚
shortening	ショートニング(舌ざわりをよくするためのバターやラードなど)
incapability	できないこと|不能|無能|不適格
psalmody	〈U〉聖歌吟唱[法]|〈C〉(符面つきの)聖歌集|賛美歌集
casualness	偶然|むとんじゃくさ;さりげなさ
wickerwork	枝編み細工|柳細工
kynurenine	キヌレニン|トリプトファンからナイアシンを生合成する際の中間体のひとつで|アミノ酸のひとつ
gussy	〈物・自分〉‘を'飾りたてる《+『up』+『名』|+『名』+『up』》
ballclub	球団
mispronounce	発音を誤る
standoffish	冷淡な|よそよそしい(aloof)
punctilious	作法にやかましい|形式ばった|きちょうめんな
egotist	自己中心癖の人|自尊家|利己主義者
peregrination	旅行|遍歴
nuttiness	木の実が多いこと|木の実のような風味
curbstone	(歩道の)縁石(《英》kerbstone)
importunity	しつこさ;《複数形で》しつこい要求(嘆願)
heterochromatic	異色の
moil	あくせく働く
waxwork	ろう細工;ろう人形|《複数形で》《単数扱い》(特に有名人の)ろう人形博物館
ailanthus	ニワウルシ(羽状の葉と緑色の小さな花を咲かせる)
bewitch	に魔法をかける
sentimentalism	感傷(感情)主義;涙もろさ
ichor	イコル(ギリシア神話で神の体中を流れているとされる霊液)
almandine	アルマンディン;鉄礬柘榴石(てつばんざくろいし)
eaglet	ワシの子
tinsmith	ブリキ屋|錫(すず)細工師
privily	ひそかに|内密に
ungenerous	物惜しみをする|けちけちする|不当な|不正な
medlar	西洋カリン(野生のリンゴのような実をつける小木;その実)|臭い人
desideratum	必要な物|なくては困る物
spectrophotometrically	分光光度法で
outbred	異系交配の
excursus	(本の巻末につけた)詳説|補説
thermidor	テルミドール|フランス革命時|革命歴の11番目の月(7月と8月)を指す|熱月と呼称
endotoxemia	エンドトキシン中毒症|内毒素血症|エンドトキシン血症
flashgun	閃光(せんこう)装置(カメラのシャッターを切ると同時にflash bulbを発火させる装置)
castanet	カスタネット
cockatrice	コカトリス(伝説上の怪物;頭・足・翼は鶏|胴と尾は蛇)
eccentrically	風変わりに|偏心(離心)的に
rearmost	最後尾の
coffeecake	コーヒーケーキ(ナッツと干しぶどうを入れたケーキパン)
viscountess	子爵夫人;女子爵
conventionality	〈U〉型にはまっていること|月並み|〈C〉《しばしばthe conventionalitiesで》しきたり|風習|慣例
quicklime	生石灰|酸化カルシウム|化学式CaOで表される化合物
firebase	砲兵隊基地|発射基地
uncommunicative	打ち解けない|話したがらない|無口な
borstal	感化院|少年院
twelvemonth	1年(a year)
broadminded	(心が)寛大な|偏見のない|心の広い(liberal)
caecum	=cecum
wistfulness	あこがれの|ものほしそうな|物悲しいこと
catlike	猫のような|ゆだんのない;足音を忍ばせた
munificent	非常に気前のよい|物惜しみをしない
phut	ポン|パン(なにかが破裂するようなにぶい音)
dovish	ハトのような|ハト派的な|穏健派の|hawkish
cesspit	汚物だめ|(一般に)汚い場所
eglantine	イバラ
greenroom	出演者控室|楽屋
uncrowned	[まだ]王冠を戴かない（いただかない）|王位につかずに実権を持つ
faddish	一時的に熱中する(流行する)|気まぐれな
upregulate	上方制御する
threnody	哀歌|悲歌|挽歌
malefactor	悪人|犯人
dotage	もうろく|老いぼれ
palliate	〈罪・過失など〉‘を'軽く見せかける|弁解する|(一時的に)〈病気など〉‘を'和らげる
euphonious	響きのいい|耳に快い|口調のよい
oxyacetylene	酸素アセチレン
teenybopper	ティーニーボッパー(ロックやファッションに熱狂する少女)
hydrophobia	恐水病;狂犬病(rabies)
predetermination	宿命|運命づけられていること
unmethylated	非メチル化
vocative	呼格(の)|呼びかけの
venturesome	冒険的な|大胆な|冒険好きな
plodder	とぼとぼ歩く人|こつこつ働く(勉強する)人
muskmelon	マスクメロン(表面に網の目模様があり甘い果物)
suppuration	うみ|化膿
forcefulness	力強さ
incomprehensibly	不可解にも
fusillade	一斉射撃|一斉攻撃
shininess	輝かしさ|すばらしいこと
ropeway	(工場・鉱山などの重量物運搬用)ロープウエイ
hogback	けわしい尾根|(地質用語で)丘
underclothes	下着|肌着(underwear)
parve	(ユダヤ教で)精進料理の(原料に獣肉や乳を用いない)
transliterate	〜‘を'字訳(音訳)する
bareheaded	帽子をかぶらない|無帽の|(敬意を表して)脱帽して|帽子をかぶらないで
hemstitch	ヘムステッチ(横糸または縦糸を数本抜きその部分をかがって|ハンカチ|テーブル掛けのへりを飾るかがり方)|〈布など〉‘に'ヘムステッチをする
moneylender	金貸し|金融業者|高利貸し|質屋
phenacetin	フェナセチン(鎮痛・解熱剤)
sego	セゴユリ(米西部産のユリの一種|球根は食用;Utah州の州花)
baffler	挫折(ざせつ)させる人(もの);困らせる人(もの)
lightshow	ライトショー(エレキバンドの伴奏によるライトを使った光のショー)
dayflower	ツユクサ(小さい青色の花をつける1日咲きの植物)
peignoir	(婦人用)化粧着|部屋着;(水泳後・湯上りに着る)ガウン
astringency	収れん性(皮膚をひきしめる性質)|きびしさ|厳格
gunge	=gunk
insufferably	たまらなく|我慢できなてほどに
aviatrix	女流飛行家
draftee	調整された者|応召兵
safecracker	金庫破り(《英》safebreaker)
asepsis	無菌状態
parlous	(国際関係など)危険をはらんだ|不安定な
pallbearer	(葬式で)棺のそばに付き添う人;《米》棺をかつぐ人
foreleg	(動物の)前脚
lenity	慈悲|寛容
predestinate	=predestine
inkpot	インクつぼ|インクびん
muscleman	筋肉人間(特別な訓練により筋肉を発達させた人)|《米》暴力団員
imper	imperative
rewatch	再見する
cuspid	(人間の)犬歯
chasuble	上祭服(ミサで司祭が着る袖のないゆったりした祭服)
angularity	〈U〉かどのあること|〈U〉やせて骨ばっていること|〈U〉ぎこちなさ;がんこさ|《複数形で》かど|ぎざぎざ
shillelagh	(オーク製などの)こん棒
outvote	〜‘に'投票で勝つ
vituperative	ののしりの|痛烈な|毒舌を振るう
unsubstantial	がんじょうでない|もろい|弱い|実質(実体)のない;非現実的な|空想的な
inwardness	霊性|精神性|真意
proselyte	改宗者;転向者|=proselytize
authoress	女流作家
etiolate	(光をあてずに)〈植物〉‘を'白く生長させる
outmatch	(試合などで)〜‘を'負かす|〜‘より'まさる
pleasantry	冗談|おどけた言葉|礼儀上の言葉
squareness	方形|四角;直角であること|公正|正直;きちょうめん
syllogistic	三段論法の;演繹(えんえき)的な
denominate	に命名する
prizefight	懸賞のつきのプロボクシング試合
ultraconservative	極端に保守的な(人)|超保守的な(人)
dhoti	ドーティ(インドの男子が着用する腰布)
captivation	魅惑
redbreast	胸の毛が赤い鳥;(特に)コマドリ(robin)
longwinded	息の長く続く|(話・文章などが)長たらしい|冗漫な
archaebacterium	古細菌
kepi	ケピー帽(上が平らで筒型のフランスの陸軍帽)
pestilent	死をもたらす|致命的な|悪影響のある|《話》やっかいな|うるさい
companionway	(船の)甲板昇降口の階段
bafflement	挫折(ざせつ)|失敗
countrified	(人が)いなかじみた|やぼな|(けしきなどが)ひなびた
jollity	愉快|陽気
nugatory	無価値の|取るに足らない|効力のない
transformant	形質転換体(外部からDNAを取り込んだりすることにより形質が変化した個体や細胞)
kalends	=calends
porkpie	《主に英》豚肉パイ
nitrify	〜‘を'硝化する|亜硝酸に変える|〜‘に'窒素[化合物]をしみこませる
amanuensis	筆記者|筆耕|写字生
dreariness	わびしいこと|退屈させること
downhearted	落胆した|元気のない
velum	軟口蓋;(動物の)菌膜;(クラゲの)縁膜
chessman	チェスのこま
trireme	(古代の)三段オールのガリー船
exotically	異国ふうに
stalagmite	(鍾乳洞の床から上に成長していく)石筍
penetrable	貫ける;浸透できる;見抜ける;(〜を)貫く|(〜に)しみ込む《+『to』+『名』》
outguess	〜‘を'出し扱く|‘の'裏をかく
taproom	=barroom
mischance	不運|不幸|災難|不運な(不幸な)でき事
hospitably	あいそよく|手厚く
metaphysician	形而上学者
muumuu	ムームー(特にハワイの婦人が着るゆったりした服)
insouciance	(仏語)むとんじゃく|平気|気楽な|心配のない|無関心
chasten	懲らしめる|鍛える|抑制する
discourtesy	〈U〉失礼|無礼|無作法|〈C〉無礼な行為|失礼な言動
pantaloon	《複数形で》19世紀に男性が着たぴったりしたズボン;《話》だぶだぶのズボン(baggy trousers)|《P-》(パントマイムで|道化役(clown)にからかわれる)老いぼれ役
velocipede	(足で地面をけって進む)昔の自転車;《古》《時にふざけて》自転車|《米》子供用三輪車
handwrite	〜‘を'手書きする
palpitate	〈心臓が〉動悸(どうき)を打つ|どきどきする|《文》(〜で)〈人・体が〉震える《+『with』+『名』》
vagary	気まぐれ
foppish	(男･衣服など)おしゃれな|にやけた
extravascular	血管外の
reanimate	〜‘を'再び元気づける(勇気づける)|‘に'生気を与え直す
sunlamp	(医療などに用いる)太陽灯
scoffer	嘲笑する人
bioclean	有害な細菌が[ほとんど]ない
insanitary	非衛生的な|健康によくない(unhealthy)
ennoble	高尚にする
arrivederci	さようなら
panegyric	〈C〉(人・物に対する)賛辞《+『on(upon)』+『名』》|〈U〉高い賞賛|(時に)法外な賞賛
profanation	〈U〉神聖を汚すこと|冒瀆(ぼうとく)|〈C〉冒瀆行為
messuage	(法律用語で|付属の建物や庭園・土地を含む)家屋敷
jinn	(イスラム教)精霊|幽鬼
mistranslate	〜‘を'誤訳する|誤訳する
intermarry	(異なる人種･階級の人と)結婚する|近親結婚する
cantharis	=Spanish fly
imprecation	祈ること|呪い
disunite	〜‘を'分離させる|分裂させる|分離する|分裂する
bracero	(米国へ農作業に来る)メキシコ人季節労務者
highboy	脚付きの高い洋だんす
parky	(空気などが)ひんやりとした|冷たい
corncrake	ウズラクイナ(ヨーロッパ産のクイナ科の小鳥)
obscurantism	反啓蒙主義|教化(開化)反対|故意にあいまいにすること
astrodynamics	天体力学
lilliputian	リリパット島(Swift原作のGulliver's Travelsの中の小人の国)の|小人国の住民|小人|リリパット人|狭量な人|つまらない人
murderess	(女の)殺人者
emulsify	〜‘を'乳状(乳剤)にする
gallinule	ガリヌール(ガンの類の水鳥の一種;脚が長い)
whop	《話》〜‘を'強く打つ|《俗》(競技などで)〜‘を'完全に負かす|《米》ドシンと倒れる|強打|一撃
radicle	幼根|胚根
carminative	胃腸内のガスを排出する|駆風剤
downscale	ダウンスケール
lengthways	=lengthwise
atavism	隔世遺伝|先祖返り
counteraction	反作用|(計画などの)阻止|(薬の)中和作用
fruitfly	ショウジョウバエ
einsteinium	アインスタイニウム(放射性元素;化学記号は『Es』)
prepack	=prepackage
whinny	馬の鳴き声|ヒヒーン
fortuneteller	占い師
kneepad	ひざ当て
darkish	薄黒い|黒ずんだ|黒味がかった
bungler	へまをする人|不器用な人
autosome	常染色体
petrify	〈有機物など〉‘を'石化する|化石にする|(恐怖・驚きなどが)〈人〉‘の'体を石のようにする|すくませる|〈有機物などが〉石化する|〈人が〉身をすくませる
giddily	めまいがして|目が回って|軽薄に|うわついて
futurology	未来学
blastoderm	胚盤葉
allopatric	異所的な|異所的種分化(ギリシャ語allos=other|patris=fatherland)|同じ生物学的集団に発生する隔離的な種分化
glaucomatous	緑内障の
tumbledown	(建物など)今にも倒れそうな|荒廃した
dustbowl	(砂あらしの吹く)黄塵(じん)地帯
hauberk	(中世の戦士の)鎖かたびら
costimulation	同時刺激|共刺激の意
unspotted	《古》道徳的に潔白な|非の打ち所のない|はん点のない|まだらでない
rankle	苦しめる
unseal	〜‘の'封を切る|‘を'開封する;〜‘を'開く(open)
pratfall	尻もちをつく(こと)|ヘマ
sweetish	やや甘い
iamb	=iambus
antinomian	道徳律超越(廃棄)論者(キリスト教徒は福音書の中の神の恩寵によって道徳律に束縛されないと主張する人)
fiver	5ドル(ポンド)紙幣
misinform	に誤りを伝える|誤解させる
bounden	義務的な|必修の
unexampled	前例のない|空前の
interpenetrate	〜‘に'十分浸透(貫通)する|十分に(相互に)浸透(貫通)する
serape	セラーベ(ラテンアメリカで用いるはでな色彩肩掛けまたはひざ掛け)
tearless	涙を流さない|泣けない|目にしみない
accessary	=accessory
icily	氷のように冷たく|冷淡に
parallelepiped	平行六面体
acus	(acūs)|針(needle)|千枚通し
archimandrite	〈C〉修道院長|〈U〉独身のすぐれた聖職者に贈られる称号
vermiform	(形が)虫状の
tackiness	ねばっこさ
dishpan	洗いおけ
bookstall	[古]本の露店|《英》(駅の)新聞[雑誌]売店(《米》newsstand)
hipbone	座骨|無名骨《腸骨・坐骨・恥骨からなる》
adulterate	(粗悪なものを)〜‘に'混ぜて品質をおとす《+『名』+『with』+『名』》
tearsheet	(新聞･雑誌などの)はぎ取りページ
vamoose	急いで立ち去る
kleptomaniac	盗癖のある人
stoical	ストア派哲学の|禁欲の
tegument	おおい|外被(integument)
aptness	(〜の)適性|才能《+『for』+『名』》|(〜する)傾向|性向《+『to』 do》
malediction	《文》のろい|のろいの言葉(curse)
discreditable	不名誉な
unseeing	目で見ていない|気づいていない
bootee	婦人(子供)用の毛糸編みの靴
jellyroll	ゼリーロール(ゼリーを塗った渦巻き形のケーキ)
flyswatter	はえたたき
derisory	嘲笑すべき;取るに足りない|つまらない
mutualist	相互主義者
portraitist	肖像画家|人物写真家
clonus	(病)クローヌス|間代(かんたい)性けいれん(ある種の神経病のため筋肉の収縮と弛緩が急激に交互に起る症状)
everglade	沼沢地
fainthearted	気の弱い|臆病な
obsequy	葬式|埋葬式
fireboat	消防艇
trapshooting	クレー射撃|トラップ射撃
fishwife	魚売り女|がみがみ女
disconcertingly	面くらわせるほど|まごつかせるように
antipope	対立教皇(教会法に基づいて選挙された教皇に対立して教皇であると主張する人)
jaywalker	(交通ルールを無視した)不注意な(乱暴な)横断者
oversell	売りすぎる|から売りする
bastardization	低下|堕落
upstroke	(特に)上へ向けた筆使い|(運筆の)はね
implausibility	信じがたいこと|本当らしくないこと
peristyle	(建物･庭などを取り囲む)柱列|柱列に囲まれた空間
witchdoctor	(原始社会の)まじない師|祈とう師
twirler	(バトンなどを)くるくる回す人
idolater	偶像崇拝者|(一般に)崇拝者|心酔者
publishing	出版する|出版業
porphyritic	斑岩(はんがん)の|斑岩のような
soldierly	軍人らしい|勇ましい|きりっとした
handclap	拍手|手拍子
pongee	絹紬(けんちゅう)(生糸を使った薄茶色のややあらい絹織物)
intercalary	間に入りこんだ|間に挿入された|(日・月・年が)うるう(閏)の
hammerlock	(レスリングで)腕固め(相手の片腕を背中にねじ上げる技)
biotinylation	(生化学)ビオチン標識|ビオチン化
racialism	民族優越観|人種差別|人種差別主義 cf|racism
perquisite	《話》臨時収入;(合法的な)役得
concretion	〈U〉凝固;〈C〉凝固物|〈C〉腎臓結石
danseuse	女子のバレエダンサー
partitive	部分を表す|〈C〉(文法で)部分語(any|few|someなど)
aftereffect	後遺症|残効
forelock	前髪
gormless	愚かな|間抜けな
zingerman	ジンジャーマン(ショウガ入りの焼きクッキー)
jauntily	のんきそうに|陽気に;元気に;気どって|いきに
declivity	下り勾配(こうばい)
nursemaid	子守女
demister	=defroster
moppet	人形|おちびさん|お嬢ちゃん|女々しい男
quirt	編み皮の乗馬むち
paralogous	遺伝子が種分化でなく|重複によって生じた|パラロガスな
dizygotic	二卵性の
suburbanite	郊外居住者
churl	無作法者|いなか者
assonance	音の類似|(特に)母音の類音
furbish	〈剣など〉‘を'研ぐ|〈銀器など〉‘を'磨く《+『up』+『名|』+『名』+『up』》|〈長い間放置していたもの〉‘を'一新する|‘に'磨きをかける《+『up』+『名|』+『名』+『up』》
bridgework	《おもに米》(歯の)ブリッジ技工|橋義歯
forebear	祖先
cementum	(歯の)セメント質
abstainer	節制する人|(特に)禁酒する人
extravert	=extrovert
fussiness	小うるさいこと|口やかましさ
sarky	=sarcastic
distain	(〜を)差し押さえる《+『upon』+『名』》|〜‘を'差し押さえる
heartsick	悲嘆に暮れた|意気消沈した
alveolus	胞|肺胞|腺房|歯槽|小窩|歯ぐき
sherd	=shard　破片　かけら
archly	いたずらそうに|ちゃめっぽく|ずるそうに
statesmanlike	政治家らしい
bhang	インド大麻|(インド大麻から作る)麻薬|麻酔剤
commonness	普通[であること]|平凡さ
dunghill	(農場の)ふんの山|墜落した状態(場所)
distraint	動産の差し押さえ
coati	ハナグマ(熱帯アメリカに住むアライグマ類の肉食動物)
undersurface	下面|底面|水面下の|水中の
wardship	後見(保護)を受けている状態
barkeeper	バーの経営者|バーテン
epifluorescence	落射蛍光顕微鏡(蛍光物質で染色された試料などを観察するための顕微鏡)
liveried	お仕着せ(livery)を着た|そろいの服を着た
outwork	〈人〉‘より'よけいに働く|いい仕事をする|《複数形で》外塁|〈U〉屋外の仕事
crudity	〈U〉天然のままであること|なま[の状態]|〈U〉未熟;〈C〉未熟なもの|〈U〉粗雑|粗野;〈C〉粗雑(粗野)なもの
ablate	除去する
modish	流行を追う|現代風の
indention	〈U〉)節の第1行目の)字下げ|〈C〉字下げ分の空白|〈C〉《古》ぎざぎざ|刻み目
thenceforward	thenceforth
freethinking	(宗教について)自由思想を持った|(宗教的束縛を受けない)自由思想
trug	(庭園で)花・道具を入れるかご
honeymooner	新婚旅行者
sutler	(昔の)従軍商人|酒保商人(軍隊について歩いて品物を売る商人)
hempen	麻製の
inexcusably	言い訳のたたないほど
recalcitrance	手に負えないこと|強情|反抗
decrepitude	老衰
shoreward	岸のほうへ|岸(陸)へ向かう|岸(陸)に面した
suggestible	(人が)暗示にかかりやすい|影響を受けやすい|提案(暗示)できる
acquiescent	黙認の|甘受する
scatterbrained	散漫な|軽率な|うわついた
polymorphous	多形の|多様な
stinginess	けち|しみったれ|物惜しみ
sinecure	(実務はないが報酬のある)閑職
chordate	脊索動物|動物の分類群のひとつ|ヒトなど脊椎(背骨)をもつ脊椎動物と|近縁の原索動物(ナメクジウオなどの頭索動物とホヤ類などの尾索動物)を合わせたもの
enucleated	(生命科学)細胞から核を除去する|眼球除去する 他
hatpin	婦人帽の留め針
underrate	過小評価する
wiglet	(女性用)ヘアピース
extralegal	超法規的
merrymaking	浮かれ騒ぐこと|お祭り騒ぎ
pardonable	許せる
alongshore	海岸に沿った|磯(いそ)伝いの|海岸沿いに
choleric	怒りっぽい
incarnadine	〜‘を'赤くする|朱に染める
mewl	赤ん坊の泣き声|弱々しく泣く
beggary	貧困|赤貧|さもしさ|卑劣
doodad	(小さな|安っぽい)飾り|(何とかいう)代物|仕掛け|(～s)がらくた
fettle	(心身の)状態
poolroom	玉突き場;公開賭博場
exordium	(演説・論文などの)導入部|前置き
redcurrant	アカフサスグリ(低木に一種)|その赤い実
tocsin	ベルによる合図;(特に)ベルによる警報|警鐘
dimity	(ベッドカバー・カーテンに用いる)浮きじま綿布
palpate	〜‘を'触診する
sidesaddle	横くら(両足を同じ側に下げる婦人用くら)|(馬に)横乗りに
catarrhal	カタル性の
cobuild	コウビルド英英辞典|Collins社のCOBUILD Dictionary of American English|Cobuildは共に作る|の意
coevolutionary	共進化
broadness	広いこと|広大|寛大|露骨|あけすけ
creaminess	クリーム状(クリーム色)であること
bacchanalian	バッカス祭の|どんちゃん騒ぎの
syllabary	音節[文字]表(日本語の五十音図など)
paunchy	太鼓腹の|ほてい腹の
workshare	ワークシェア
despond	落胆する
pustule	膿疱(のうほう)(うみ(pus)をもったできもの)
suspensory	(ひも・筋肉・包帯などが)懸垂式の|中止の|停止の
lionize	(人を)かつぎあげる|名士扱いにする
forwardness	(季節の訪れ・作物のできなどの)早さ;(子供などの)早熟|出しゃばり|厚かましさ
testily	短気に|いらいらして
disapprovingly	不賛成の考え(立場)で|非難をこめて
pardoner	許す人|(中世の)免罪符売り
unfasten	〈結んだもの・締めたもの〉‘を'解く|緩める;開ける|〈自〉|〈結んだものなどが〉解ける|緩む
tatter	〈C〉(1片の)ぼろ|ぼろ切れ|《複数形で》ぼろ服|〜‘を'ぼろぼろに破る
windflower	アネモネ
precocity	早熟
underachieve	(特に学業で)水準以下の成績をとる
backstay	後方索(帆船のマストを両舷後方より支える綱)
denaturant	(物質の性質を変える)変性剤
difluoride	oxygen difluoride|二フッ化酸素(化学式OF2)|常温で異臭ある気体|ガラスを侵さずフッ化酸素中最も安定しているが|酸化力が強く水蒸気と混合し室温で爆発する
semipermeable	(膜などが)半透性の
spasmodically	けいれん的に|発作的に
collocate	〜'を'いっしょに置く|一まとめにする;〜'を'配列する|〈語が〉(他の語と)連語をなす《+『with』+『名』》
wingspread	(鳥・飛行機などの)全翼長|翼幅(翼を広げたときの両端の間の長さ)
goalmouth	(サッカーの)ゴールマウス(goal postで囲われた部分)
intermembrane	膜間(の)
varlet	ならず者|悪漢
prevision	〈U〉(〜の)予知|事前の知識《+『of』+『名』》|〈C〉(〜の)予感|虫の知らせ《+『of』+『名』》
