croon	低音の歌い声|小声で唄う|口ずさむ
puffin	ツノメドリ(はでなしま模様で三角の口ばしを持つ海鳥)
pulverize	(議論などを)粉砕する|粉にする|粉々に砕く|液体を霧状にする
barnacle	フジツボ (acorm barnacle|rock barnacleなどはフジツボ目の総称)
brioche	ブリオッシュ(小麦粉・卵・イースト・バターなどで作る軽くて甘い菓子パン)
icebox	冷蔵庫|アイスボックス
letdown	減少|(気の)ゆるみ|失望|(空)(着陸前の)下降
kamikaze	神風特攻隊のような|無茶な
meed	相応(当然の)報酬|正当な報い
poltergeist	騒がしいいたずら好きの妖精
thruster	(宇宙船の)高度制御ロケット|《英俗》(キツネ狩りで)猟犬に近づき過ぎる狩猟家|《話》でしゃばり屋
clef	音符記号
cumbrous	=cumbersome
idolize	偶像化する|偶像を崇拝する|溺愛する
avionics	航空電子工学
rearm	再軍備する
betoken	予示する
alluvium	沖積層|沖積土(河川によって運ばれてきた地層)
concertina	コンチェルティーナ|アコーディオンの一種|(アコーディオンのように)伸縮する|(蛇腹状に)ぺちゃんこになる
ladybug	テントウムシ(=ladybird)
intelligibly	分かりやすく・明りょうに
pooch	ふくらます|ふくれる|犬|雑種犬
pullback	〈U〉引き戻すこと|《複数形で》撤兵|撤退
permissiveness	寛容さ
digitalis	〈C〉ジギタリス(ゴマノハグサ科の植物)|〈U〉その葉からとった強心剤
rota	当番表|ロタ島(Rota Island)|ミクロネシアにある米国の自治領|人口約3000人
concessionaire	営業権所有者|(場内の)売店営業者
nonaligned	(国家が)非同盟の|中立の
coco	ココヤシ|ヤシ|黒人|頭|有色人種
phylogenetically	系統発生的に
fabricator	製作者|ほら吹き;(文書などの)偽造者
virtu	〈U〉(美術品などの)優秀性|よさ|値打ち|《集合的に》《複数扱い》美術品|骨とう品|〈U〉美術品(骨とう品)に対する造詣(知識) = vertu
stumpy	切り株の多い|切り株だらけの|太くて短い|ずんぐりした
hurtle	激しくぶつかる|突進する|音をたてて行く|急速に進行する|衝突する
alveolus	胞|肺胞|腺房|歯槽|小窩|歯ぐき
catatonia	緊張[型分裂]病(筋肉硬直や精神混迷を伴う)
intriguingly	興味深いことに
casuistry	決疑論(特定の行為を道徳的原理に照らしてその是非を解決しようとすること)|〈C〉詭弁(ぎべん)
packhorse	(荷物を運搬する)駄馬(だば)
pantheistic	汎神論の|自然崇拝の
bassinet	ほろ付きゆりかご;ほろ付きのうば車
botanic	植物の
lysate	ライセート|溶菌液|溶解質|溶解物|溶血物
parochialism	考えの狭さ|偏狭;地方根性
kinswoman	親類の女
quadrangular	四角(辺)形の
banns	結婚予告(教会での挙式前に新郎新婦の名前を公表し|その結婚に対する異議の有無を問う)
pansy	三色スミレ|パンジー|スミレ色|にやけた男|ホモ
