dramamine	ジメンヒドリナート
substitutable	(of words) interchangeable in a given context without changing the import of the expression|capable of being exchanged for another or for something else that is equivalent
polycarp	Greek bishop of Smyrna who refused to recant his Christian faith and was burned to death by pagans (circa 69-155)
deathtrap	危険な場所(老朽建造物，ぼろ船など)|死のわな(交通事故の起こりやすい場所や逃げ場のない炎上している建物のように非常に危険な場所・環境)
farfetched	こじつけの
paedophilia	小児性愛
ruggedly	in a rugged manner
axilla	腋の下|腋窩|腋|脇の下|腋下
insuperable	打ち勝ちがたい|克服できない
clubroom	部室
brainteaser	むずかしい問題(パズル)
agapanthus	アガパンサス|アガパンサス属
rester	a person who rests
chemiluminescent	化学発光
wariness	警戒|慎重さ
equisetum	horsetails; coextensive with the family Equisetaceae|horsetails|coextensive with the family Equisetaceae
starlit	星に照らされた|星あかりの
globalize	make world-wide in scope or application; "Markets are being increasingly globalized"|make world-wide in scope or application
acropora	coelenterate genus of order Madreporaria, including staghorn corals
unvaccinated	not vaccinated
inauspicious	不吉な|不運な|不幸な
cullin	カリン(細胞周期の制御に関与する酵素の名)
overhand	(野球・クリケットの)オーバーハンドの|上手からの(手を肩より上にあげて行う);(水泳の)抜き手の|(テニスで)オーバーハンドの(腰より上のボールを打つ)|(クリケット・テニス・野球などで)上手で|オーバーハンドで;(水泳で)抜き手で
prescience	先見|達識|洞察|予知(能力)
pepperidge	columnar tree of eastern North America having horizontal limbs and small leaves that emerge late in spring and have brilliant color in early fall
nightspot	ナイトスポット
narcosis	(麻酔剤による)昏睡(こんすい)状態
colicky	激しい腹痛の
aconite	トリカブト(有毒性植物)
novelette	感傷的な中編小説
coagulase	凝固酵素
hornblende	a green to black mineral of the amphibole group; consists of silicates of calcium and sodium and magnesium and iron|a green to black mineral of the amphibole group|consists of silicates of calcium and sodium and magnesium and iron
coccyx	尾骨
oenothera	chiefly North American herbs with usually nocturnal flowers
bubo	横痃(おうげん)(そけいリンパ腺の炎症によるはれ物)
monophyletic	単一系統の
davit	ダビット|救命ボートなどを吊って上げ下げするためのクレーン状の装置|a crane-like device for suspending or lowering equipment (as a lifeboat)
enzymatically	酵素的に cf|enzyme(酵素)
ploughman	農夫|いなか者|ploughは鋤(すき)
hokum	いんちき商品|おべんちゃら|でたらめ|安物のキャンディー|役にも立たない代物
valsartan	an angiotensin II inhibitor that is used to treat high blood pressure
opsin	オプシン
conscientiousness	律儀|念入れ|律義
ripcord	a cord that is pulled to open the gasbag of a balloon wide enough to release gas and so causes the balloon to descend|a cord that is pulled to open a parachute from its pack during a descent
roughage	粗い食物(飼料)(繊維を大量に含み腸の蠕動(ぜんどう)を刺激する)
ultracentrifugation	超遠心
servitor	(男性の)従者|従僕|召使い
axolotl	アホロートル(メキシコ産のサンショウウオ)
corregidor	コレヒドール島
distention	膨張|膨満|膨張
netminder	GK|ゴールキーパー|キーパー
goatskin	〈C〉ヤギの皮|〈U〉〈C〉なめしたヤギの革|〈C〉(酒を入れる)ヤギ革の袋
adrenalectomy	副腎摘出
unmoving	not in motion|not arousing emotions
cowrie	タカラガイ|コヤスガイ
jokey	愉快な|面白い|お調子者の
acceptation	(語句の)一般に認められた意味
chromosphere	彩層(太陽の周辺を取り巻いている白熱ガスの層)|恒星を取り巻くガス層
bryony	a vine of the genus Bryonia having large leaves and small flowers and yielding acrid juice with emetic and purgative properties
novitiate	見習期間
surveil	keep under surveillance; "The police had been following him for weeks but they could not prove his involvement in the bombing"|keep under surveillance
hardwearing	(衣類・靴など)長持ちのする
tappet	a lever that is moved in order to tap something else
henhouse	鶏小屋|鶏舎
liatris	リアトリス
bullfighter	闘牛士
pushcart	手押し車
caboodle	一群の人(物)|ひとかたまり|一団
mousey	臆病な|内気な
bunco	いかさま|ぺてん
antitank	designed for defense against armored vehicles
tieback	(カーテンを片側に寄せて止める)止め飾り
iodinate	ヨウ素化
rivulet	小川|細流
oarsman	(ボートの)こぎ手
proselytize	改宗させる|変節させる
scrapple	スクラップル(トウモロコシの粉を使った揚げ料理の一種)
tenderfoot	《米》(米西部の牧場などの荒い仕事に不貫れな)新参者|新前|(一般に)無経験者|初心者(novice)
requite	(〜で)〜‘に'報いる|返礼する(reward)|〜‘に'報復する《+『名』+『with』+『名』》
rudbeckia	North American perennial herbs with showy cone-shaped flower heads
embolic	of or relating to an embolism or embolus
crixivan	インジナビル
obiter	傍論|付随的意見　
saccadic	of or related to the rapid movement of the eyes between points of fixation
ratatouille	a vegetable stew; usually made with tomatoes, eggplant, zucchini, peppers, onion, and seasonings|a vegetable stew|usually made with tomatoes, eggplant, zucchini, peppers, onion, and seasonings
gingiva	歯肉|歯齦|歯ぐき|歯元|歯茎
belorussian	a native or inhabitant of Byelorussia
grizzle	〈特に小さな子供が〉しくしく泣く|(〜のことで|〜だと)だだをこねる|不平を言う《+『about』+『名』|+『that節』》
explainer	説明者
outrank	より高い地位を占める|重要性でに勝る|より上位にある
multiflora	ノイバラ
zealotry	《軽べつして》熱狂|狂信
chloral	クロラール(DDTに用いる)
depressingly	じめじめ
amenia	無月経
turp	removal of significant amounts of prostate tissue (as in cases of benign prostatic hyperplasia)
drunkenly	酒の上で|酔って
hydrilla	クロモ
entranceway	上がり口|エントランス|門口|木戸|出入り口|御錠口|入り|這入り口|入りぐち|上がりぐち
onomatopoeia	擬音|擬音語
digging	採掘
nanometre	ミリミクロン|マイクロミリメートル|ナノメートル
bellybutton	へそ
ignorantly	in ignorance; in an ignorant manner; "they lived ignorantly in their own small world"|in ignorance|in an ignorant manner
digitalization	デジタル化
radiobiology	放射線生物学
olfaction	嗅覚
ferryboat	連絡船
drafty	not airtight
weeny	ちっちゃな|ちっぽけな
jetlag	時差ぼけ
exoneration	免罪|罪を晴らすこと
intimal	血管内膜の
metamorphose	魔術などで違ったものに変身する|変える
motional	of or relating to or characterized by motion
myelinated	有髄
fruitfulness	生産性
illusionary	幻影の|幻想の
variola	裳瘡|痘瘡|天然痘|御厄|疱瘡
laminectomy	椎弓切除
ambo	朗読台|高座|立ち台|教壇|立台|説教台|論壇|演壇|講壇|街頭演説台
fretwork	雷文飾り
uprightness	垂直|律儀|廉直|真面|正直|正面|律義|清廉|方正
woodcutter	きこり
cytochalasin	サイトカラシン(がん研究用試薬|細胞分裂･アポトーシス関連の基礎研究用試薬)
apposite	適切な|きわめて適切な
gerontologist	a specialist in gerontology
emplace	provide a new emplacement for guns|put into place or position; "the box with the ancestors' ashes was emplaced on the top shelf of the house altar"|put into place or position
uncial	アンシアル書体の|アンシアル書体(4‐8世紀にギリシア・ラテンの写本に用いられた)
flooring	床|床張り(材料)
bilby	bandicoot with leathery ears like a rabbit
alterative	治癒的|治療的
sloppiness	だらしなさ|乱雑;いいかげんさ
arteria	動脈
limpid	透明な
kiloton	キロトン|キロトン
tuppence	=twopence
hypospadias	尿道下裂
forecastle	(船の)前甲板|船の前甲板下の船員部屋
calculable	計算できる|信頼できる;予想できる
undemanding	requiring little if any patience or effort or skill; "the pay was adequate and the job undemanding"; "simple undemanding affection"; "an undemanding boss"|requiring little if any patience or effort or skill
statuesque	彫像のような
unsatisfiable	not capable of being satisfied; "he knew the trap of unsatisfiable longing"|not capable of being satisfied
bracer	a protective covering for the wrist or arm that is used in archery and fencing and other sports|a tonic or restorative (especially a drink of liquor)
maladministration	やりそこない;悪政|失政
cogitation	〈U〉熟考|熟慮;思想力|〈C〉《しばしば複数形で》熟慮の結果;考案|着想
farsighted	先見の明のある|遠視の
digitalise	デジタル化
cholecalciferol	カルシフェロール|コレカルシフェロール|エルゴカルシフェロール
encouragingly	激励して
subcloned	サブクローンされた
salivate	つば(よだれ)を出す
maleficent	害をなす|有害な
evenness	the parity of even numbers (divisible by two)|a quality of uniformity and lack of variation|the quality of being balanced
bema	聖堂内陣|ユダヤ教の会堂内にある壇
anaphoric	relating to anaphora; "anaphoric reference"|relating to anaphora
struggler	a person who struggles with difficulties or with great effort
aril	仮種皮
reversionary	復帰権のある・復帰権のある，将来享有すべき.
shigellosis	細菌性赤痢
scriber	a sharp-pointed awl for marking wood or metal to be cut
shogunate	(日本の)幕府の
communally	by a group of people rather than an individual; "the mills were owned communally"|by a group of people rather than an individual
dolorous	悲しみを誘う|悲しそうな|悲しい|痛ましい
unenlightened	あることによく通じていない|無学の|無知の|偏見をもつ
handsewn	sewn by hand rather than machine
naphthol	ナフトール
wholesomeness	体によいこと|健全さ
capably	りっぱに|うまく
atriplex	アトリプレックス属
nosedive	急降下|～以上|～に勝るとも劣らない
symbolical	記号的|シンボリック|象徴的
magistracy	magistrateの職; （the ～） ((集合的)) 行政官; 治安判事・行政長官、判事の職(任期|管区)・《the ~》《集合的に》長官(判事)たち
foretaste	当て込み|予測|予想|前触れ|予知|(将来の苦楽を)前もって味わうこと|予期
incoherently	しどもど
ladylike	貴婦人らしい|淑女にふさわしい;上品な|しとやかな
ayin	the 16th letter of the Hebrew alphabet
kyanite	藍晶石
actinomycin	アクチノマイシン|放線菌が産生するポリペプチド系の抗生物質|20種以上が知られている|試薬や抗がん剤に使われる
panpipe	パンの笛(管を長さの順に並べた原始的な吹奏楽器;牧神Panが作ったとされる)
dentine	象牙質|象牙質
vagrancy	放浪|浮浪
pandanus	タコノキ科|タコノキ|タコノキ科
coterminous	=conterminous
segregationist	分離主義の
palpably	明らかに
softy	センチメンタルな人|情にもろい人|だまされやすい人|あほ|=softie
ophrys	a hardy genus of terrestrial orchids of Europe and northern Africa and western Asia
ganger	(労働者の)組がしら|人夫がしら
improbably	たぶんそうでもない
expressionless	無表情の|表情に乏しい
bowstring	弓のつる
satchmo	アームストロング
lubricity	欲情|好色
gastrulation	原腸形成
pumpernickel	ライ麦パン|黒パン
detrimentally	in a detrimental manner
hellhole	不快な(不潔な)場所
shipbuilder	造船技師(業者)
floatplane	a seaplane equipped with pontoons for landing or taking off from water
arteriography	動脈造影法
phycoerythrin	フィコエリトリン
intramuscularly	筋肉内
transcendentalism	(カントの)先験論;(エマソンの)超絶論
