facetious	冗談の|滑稽な|ひょうきんな|愉快な
perineum	(女性陰部の)会陰(えいん)
pittance	わずかな手当(収入)|少量|少数
snatcher	ひったくり
salacious	みだらな|わいせつな
sapient	賢い
recapitulation	要点の繰り返し|要約
hydrophobicity	疎水性
creaky	きしる|軋み音を立てる
titbit	=tidbit（うまい物の）ひと口; おもしろいニュース）
convalescence	病気の回復|回復期
lithic	石（質）の・(膀胱(ぼうこう)などにできた)結石の
hijacking	ハイジャック
unceasing	絶え間ない|連続した
disdainful	軽蔑的な|尊大な
martinet	(規則|命令に絶対服従の)厳格な人(軍人)
comity	礼譲|礼節|the comity of nations|国際礼譲(各国が他国の法律･制度を尊重する親交関係にあること)
plotline	プロットライン(あらすじ･構想の概略など)
dryly	乾燥して|冷淡に
ingratitude	忘恩の|恩知らずの|不義理の
pathophysiological	病態生理学的な
sportscaster	スポーツキャスター
dodecanese	ドデカネス諸島(Dodecanese)|エーゲ海南東部に点在するギリシア領の島々|そのうち26が有人島|面積・人口とも最大の島はロードス島
amnesiac	記憶喪失者|健忘症患者|記憶喪失症の
paean	勝利(感謝)の歌|賛歌
largesse	過分の祝儀|贈り物|祝儀|気前のいい援助
tumescent	腫れた
bleary	ぼやけた
pediment	ペディメント|古代建築の三角形の切妻壁(gable)
poppet	(かわいがっている)子供(動物);《呼びかけ》かわいい子ちゃん
creamer	クリームすくい取り皿|クリーム生成用冷蔵庫|クリーム入れ|クリーム分離器
restive	いらいらした|手に負えない|反抗的な
flagellum	(バクテリアなどの)鞭毛(べんもう)|むち
farad	ファラッド(静電気容量の実用単位)
naivete	素朴|単純
rambunctious	手に負えない|乱暴な|気ままな|やんちゃな|騒々しい|無軌道な|無法な|どたばたした|むちゃな
circuitous	遠回りの|遠回しの|回りくどい
dystrophin	ジストロフィン|細胞質タンパク質で|コスタメアと呼ばれるタンパク質複合体の一部|細胞膜を越えて筋繊維の細胞骨格とその周囲を接続する
seedbed	苗床;温床
clamber	骨折ってよじ登る|よじ登る|よじ登ること
scallion	ニラネギ|ワケギ|若玉葱|ラッキョウ
saccharine	サッカリン(砂糖)の(ような)|(態度･言葉･声)いやに甘ったるい
borscht	ボルシチ|牛肉をビーツ･タマネギ･にんじん･キャベツなどの野菜で煮込みサワークリームを添えて食するロシアの煮込み料理
holograph	自筆の|自筆の書類(文書)
roominess	間数の多いこと|広いこと
pastrami	パストラミ|香辛料で調味した肉の燻製食品
fundraise	資金集め
musicologist	音楽学の専門家
turning	回転|旋回|転向|曲がり角|構成|形成
freeboard	乾舷(水面と船の上甲板間の距離)|喫水標(水中に沈んでいる船体の最上部)
unblemished	きず(汚点)のない|潔白な
trenchant	痛烈な
parturition	分娩(ぶんべん)|出産
postmodernist	ポストモダニスト
cascara	カスカラ(米国太平洋岸産のとげのある低木)|その樹皮から採れる下剤
somite	体節(somite)|脊索動物全般に胚発生時に現れる分節構造
osteopath	整骨医
aversive	(人間の心理が)不快な(苦しい)ことを避けようとする
corpsman	(軍隊の)衛生兵
bloodletting	瀉血(しゃけつ)(静脈を切って血を流す高血圧などの治療法)|流血
corker	《俗》驚くべき人(物|事)|《英話》(議論などで)とどめの一言|決め手
girlhood	少女であること|少女時代|《集合的に》少女たち
annunciator	《米》呼び出し表示器(ブザーが鳴ってどの部屋が呼んでいるかを示す;ホテルなどで用いる)
corer	(リンゴの)しん抜き器
clumsiness	無器用|ぶかっこう
ascertainable	確かめられる
witless	知恵(思慮)のない|無分別な|愚かな
dweeb	つまらない人|変人|嫌な奴|うすのろ|ばか|ネクラ|マジメ学生|ガリ勉
unstuck	しっかり留められてない|くっついていない|うまくいかない
windup	終結|仕上げ|しめくくり
crus	下腿
entrenchment	ざんごう掘り;〈C〉ざんごう
pallor	青白さ|蒼白
filk	替え歌
exculpatory	言い訳の|弁解的な|無罪を証明する
unwholesome	健康によくない|不健全な|不健康な|病的な
triviality	些細な事
copra	コプラ(ココヤシの胚乳を乾燥したもの)
urokinase	(医)ウロキナーゼ|血栓溶解剤ほか|最初ヒトの尿から単離されて利用された
disciplinarian	厳格な(人)
necklet	小さな首飾り|毛のえり巻き
wog	《禁句》(特に黒色人種の)外国人|異人;くろんぼ
