indelibly	消えないように|永久に
aphelion	遠日点(月・遊星が太陽から最も離れる点)
expositor	説明者|解説者
ashy	灰の(ような)|灰まみれの|灰色の|蒼白な
goner	死者|死に体|落ちぶれた人|見込みのない人
submersion	=submergence
signifier	意味されているもの|表されているもの
picaresque	悪漢を題材とした
gourmand	大食家|美食家|食道楽|食通
slavish	独創性のない|卑屈な|卑劣な|奴隷の|奴隷のような|すっかり模倣する
awestruck	打たれた
felicitous	適切な|ぴったりの|うまい|表現の巧みな|幸運な
caravel	キャラベル(15-16世紀の軽快な帆船)
carboy	カーボイ|大きなガラス製の酒入れ|箱入り大型ガラスビン
necromancy	交霊による占い|いかがわしい魔術
plaudit	拍手かっさい|賞賛|拍手|喝采
benefice	(牧仕|特にvicar|rectorの)聖職禄;受禄職者の地位
trilobite	三葉虫(甲殻類に属する最古の化石動物)
marginalia	《複数形》(本の)欄外の注|傍注
jackdaw	=daw
snood	(女性が後ろの髪を束ねる)ヘアネット;ヘアネット式の帽子
hardboiled	(卵など)堅ゆでの|(人が)非情な|冷酷な;(物の見方などが)現実的な|ちゃっかりした;(文学の作風が)非情派の|ハードボイル派の
billow	大きく波うつ|大波|大きなうねり|もくもく|煙が上がる様子
cleft	裂け目|分裂|cleaveの過去･過去分詞|裂けた|割った
osseous	骨の|骨に似た
honorific	敬語
underhand	(野球などで)下手投げの|秘密の|ずるい|下手投げで|こそこそとずるく|陰険に
idolatrous	偶像崇拝の|偶像崇拝的|心酔する
translatable	翻訳可能な|言い換えられる
tradespeople	小売商人
polytheism	多神教;多神論・反対語の「一神教」は「monotheism」
ethnological	民族学[上]の
quitclaim	(不動産などの)権利放棄|〈財産・権利などの要求〉‘を'放棄する
stovepipe	ストーブの煙突
angsty	怒りを感じ|表示したりすること
cytokeratin	サイトケラチン|上皮性細胞の細胞骨格を成す蛋白群の総称
poultice	湿布|パップ
bombast	大言壮語|豪語|誇張
catbird	ネコマネドリ(北米産のツグミの一種)
hassock	(お祈りのときに使う)ひざ布団|草むら(tussock)
deregulate	規制を解除する
impulsively	衝動的に
giggly	クスクス笑う
tusker	(きばのある)象
gamekeeper	(密猟防止・鳥獣保護・飼育などのための)猟場管理人
cannibalize	(車･機械)分解･解体する|(人の)肉を食う|共食いする
milch	乳を出す
katydid	キリギリス科の昆虫の一種(米国産)
nonfunctional	機能しない
tortoiseshell	〈U〉べっ甲|〈C〉ヒオドシチョウ(タテハチョウの類の一つ)|〈C〉三毛ネコ
pedicle	=pedicel
temerity	向こう見ず|無鉄砲
collusive	なれ合いの|共謀の
ricer	ライサー(ゆでたジャガイモなどをつぶす台所用具)
adventitious	偶然の
horehound	ニガハッカ(ヨーロッパ原産のシソ科の多年草;苦い薬用の液が出る)|ハッカで風味をつけた薬(砂糖菓子)
fleecy	羊毛でできた;羊毛でおおわれた|羊毛のような
bigamy	二重結婚|重婚
impoverish	貧弱にする|貧乏にする|を貧しくする|低下させる
unanswerable	答えられない|反論できない|責任のない
holism	全体論(全体はその構成部分の総和よりも価値があるという哲学理論)
seaborne	海上[輸送]の
desiccate	〜‘を'からからに乾燥させる
forevermore	常に|絶えず
miserly	けちな|欲深い
troth	忠実|誠実|真実
contemptuously	見下げるように|軽蔑して
mercaptoethanol	メルカプトエタノール|劇物取締法による毒物|引火性で炎や酸化剤などに接触すると発火する|還元剤として働く
ideologue	イデオロギーの信奉者|空論家|夢想家
ironmonger	《英》鉄器商|金物屋
impugn	非難する|論難する|異議を唱える|反駁する|疑いを差し挟む
antipodean	(にとって)対蹠地の|(と)正反対の(to)
catchall	種々雑多なもの(がらくた)をなんでも含む(収める)もの|広範囲の
blase	歓楽に飽きた|無関心な|世慣れた
stamen	おしべ|雄ずい 
dissenter	反対者|国教反対者|非国教徒(Nonconformist)
pornographer	ポルノ製作者
metallurgist	冶金学者|冶金技術者
twitchy	引きつった
tangentially	接線方向に
malocclusion	不正咬合(こうごう)(歯がうまくかみ合わないこと)
imperishable	不滅の|不朽の
insolation	日光にさらすこと|日光浴|日謝病
fixate	固定する|定着する|凝視する|固定させる|定着させる
famish	〜‘を'飢えさせる|飢える
separateness	別々になっていること|分離
deponent	(法廷における)宣誓証人
