timepiece	計時器
osteoclast	破骨細胞|骨のリモデリング(再構築)において骨を破壊(骨吸収)する役割を担う細胞
paramour	情夫|情婦|愛人|恋人
impoverish	貧弱にする|貧乏にする|を貧しくする|低下させる
investiture	授与|任官|叙任
garrulous	おしゃべりの|口数の多い|饒舌な|多弁な|冗長な
marvelously	驚くばかりに|不思議なほど|素晴らしく
aerodynamics	空気力学
hermetically	密閉(密封)して
misclassification	誤判別
atelier	アトリエ|仕事場|製作室|画室
sacristy	聖具室
goody	(goodies複数形で)おいしいもの|キャンディー|菓子|アイスクリームなど|特別に魅力のあるもの|(間投詞|特に子供が)すごーい! うれしい! (人名|姓)グディ
amiability	感じのよさ;気だての優しさ;温和;温厚
malfeasance	違法行為
prophetess	(女性の)預言者|予言者
voyeur	詮索好き(な人)|ゴシップ好き(な人)|のぞき魔
lamination	〈U〉層板にする(なる)こと;〈C〉薄板
coffer	貴重品箱|金庫|財源|金庫に納める|塞き止める
suds	(またsoapsuds)石けんの泡;石けん水|(一般に)泡|《米》ビール
pepperoni	ペパロニ
exigency	緊急性|危急|緊急事態|急場|急迫(した事情)|切迫
bobbin	ボビン･糸巻き
photoreceptor	感光体
nucleate	核を持った|核になる|〜‘を'核にする
girlie	女の子らしい|性的な|(girlish|girlyより性的|蔑称的)
cuckold	《まれ》《おどけて》浮気な(不貞な)妻を持つ夫|《まれ》《おどけて》〈夫〉‘に'不義をする|不義をして恥をかかせる
architecturally	建築学的に
excretory	排出器官|排出の|排泄の
inwardness	霊性|精神性|真意
gryphon	=griffin
sartorial	仕立て屋の|裁縫(師)の|衣服に関する
croquet	(kroʊkéɪ)クロケット(芝生の上で木槌|mallet)で木製ボールを打って鉄の門(hoop)を通し|ゴールのポールにあてるゲーム
henceforward	=henceforth
spanner	スパナー|スパナ
outsmart	を打ちまかす
fluorophore	蛍光色素分子
gangplank	道板(みちいた)(船から桟橋へ渡して客の乗降に使う移動式の橋)
poignancy	辛辣さ|激しさ痛切さ
antiserum	抗血清(特定の抗原に対する抗体を含む血清)
angler	(特に趣味で)魚を釣る人|釣り師|太公望
earthworm	ミミズ
militarist	軍国主義者
orca	シャチ
colostrum	初乳
entomb	の墓場となる|葬る|墓となる|墓に入れる
chronometer	クロノメーター(科学的実験・航海・天文観測などに用いる精密な時計)
reasoner	論証者
apposition	同格
calorific	熱の|熱を生じる
debility	(病気による)衰弱
triumvirate	三人連合政治･政府|三人委員会
effrontery	厚かましい行為|あつかましさ|ずうずうしさ
theocracy	神権政治|神権政体|神政国家
gauche	いたらない|未熟な|気のきかない|不器用な|洗練されない|無骨な|粗雑な
poacher	密猟者|侵入者
epsilon	(第5ギリシア文字)エプシロン|Ε|ε|(電算)極微量
diorama	(博物館に展示した)動物の模型
woozy	頭がぼんやりして|頭がフラフラする|目まいがして|気分が優れない|気分が悪い|混乱した|酔った|酔っぱらった|不鮮明な
appointee	任命された人
gangly	ひょろ長い|のっぽの|ひょろひょろした
