sagamore	a chief of a North American tribe or confederation (especially an Algonquian chief)
unfiled	ファイルされていない
aimless	目的のない
understate	控え目に言う
quietness	おとなしさ|つつましさ|穏やかなこと|静寂
oaten	of or related to or derived from oats; "oaten bread"|of or related to or derived from oats
celecoxib	a Cox-2 inhibitor (trade name Celebrex) that relieves pain and inflammation without harming the digestive tract
measly	不十分な|たったの|ちっぽけな|価値のない|わずかな|つまらない|不満足な|けちな|貧弱な|はしかにかかった|包虫症にかかった|麻疹
catharsis	カタルシス(観客が悲劇を観ることにより心のわだかまりなどの感情を浄化させること)
balustrade	手摺子|てすりこ(baluster下膨れの円柱形が多い)に支えられた手すり|欄干(らんかん)
assignor	(law) the party who makes an assignment|the party who makes an assignment
protractor	分度器
flugelhorn	フリューゲルホルン
sangria	サングリア(赤ぶどう酒を薄めて甘味・香料を加えた清涼飲料)
antilock	アンチロック(anti-lock brake system)|自動車が急ブレーキをかけたとき|ロックを起こした車輪のブレーキの油圧を調節し|安全に止まれるようにした装置
kaon	an unstable meson produced as the result of a high-energy particle collision
topside	(特に牛の)腰肉の切り身|上側へ(に|で)|甲板上に(で)
anorak	アノラック(ずきんのついた防寒用のジャケット)
copperhead	カパーヘッド(アメリカマムシ)|豪州産コモチコブラの一種|南部に同情した北部人
blackbody	黒体(その表面に投射するすべての電磁波を吸収すると物理学的に仮定される物体)
kipper	に塩をして燻製にする
swampy	沼地の(ような)
procrastinate	ぐずぐずする|引き延ばす
cataloger	目録(カタログ)作製者
phon	a unit of subjective loudness
insinuate	遠回しに言う|ほのめかす|あてこする
wend	進む|行く|(古期英語「まわる」の意)
durum	デュラム小麦(マカロニ・スパゲティを作る原料)
sappho	the Greek lyric poet of Lesbos; much admired although only fragments of her poetry have been preserved (6th century BC)|the Greek lyric poet of Lesbos|much admired although only fragments of her poetry have been preserved (6th century BC)
viburnum	ガマズミ属の植物;樹皮は薬用
lustful	どん欲な|好色の
irrelevance	見当違い|無関係
guano	グアノ|鳥糞石|人工肥料
compar	comparative
grandad	=granddad
nonmember	員外
driveshaft	a rotating shaft that transmits power from the engine to the point of application
necrotic	壊死の
everyplace	=everywhere
presumptuous	でしゃばりの|厚かましい
