concretely	具体的に|具体的
allopurinol	アロプリノール
bursitis	滑液包炎
operatively	in a manner to produce an effect
shellac	セラック
superfine	(商品などが)極上の|最上の;
jambalaya	ジャンバライヤ
helluva	ひどい|すばらしい|とても|非常に|「hell of a ...」に由来する
peculiarity	風変わり|特性|変わった点|独特のもの
decrepit	使い古した|弱った|老いぼれの|古くなってガタガタの|老朽化した
microvascular	微小血管の
flintstone	pebbles of flint used in masonry construction
sinkhole	(流しなどの)排水口;《米》下水だめ|ドリーネ(石灰岩台地などにできたすりばち穴)
equivocal	疑わしい|両義にとれる|多義的な|曖昧な
bocce	Italian bowling played on a long narrow dirt court
handmaid	侍女|女中
speedboat	高速モーターボート|快速艇
bottlenose	ハンドウイルカ|トックリクジラ属
bestest	最高のもの
biomarker	バイオマーカー|生物指標化合物|ある疾病の存在や進行度を|その濃度に反映し血液中に測定されるタンパク質等の物質を指す
unofficially	ひそかに|私的に|非公式に|非公式
cyclooxygenase	シクロオキシゲナーゼ(特定の酸を生理活性物質に代謝する酵素)
meiotic	減数分裂の|(生殖細胞を作る際|通常の体細胞分裂とは異なり、染色体数が分裂前の細胞の半分になる事)
veneration	尊敬|崇拝
minim	ミニム(液量の最小単位)|《英》二分音符(《米》half note)
hoodoo	縁起の悪いもの|縁起の悪い人|岩柱|不運|不運を招く人|厄病神|不運にする
hypochlorite	次亜塩素酸塩
iliac	of or relating to the ilium
bihari	the Indic language spoken in Bihar (and by some people in Pakistan and Bangladesh)
scintillate	火花を発する|きらめく|(才気などで)ひらめく
magnetite	磁鉄鉱
wuss	弱虫
arete	鎌尾根
retell	再び語る
instar	(昆虫などの)齢|脱皮期の昆虫や他の節足動物|(an insect or other arthropod between molts)
dynamometer	(機械的力を計る)動力計|力量計
techy	短気|癇性|短慮|癇症|怒りっぽい|疳性
sardonic	皮肉な|冷笑的な|あざけりの
confectionary	菓子店|コンフェクショナリ|コンフェクショナリー|菓子屋
aghast	びっくりした|びっくりして
guestroom	(家庭の)来客用寝室|(ホテルなどの)来客室
stockmarket	株式市場|証券取引所|株式売買|株価
inflator	空気入れ|空気入
raiment	依服|依装
spiky	先端のとがった|くぎのような|くぎ付きの|くぎだらけの|とげとげしい|頑固な|気難しい|短気な|怒りっぽい (=spikey)
woodchuck	(北米産)マーモット
sumac	スーマック|中近東一帯に原生するウルシ科の灌木|赤い果実はフルーティーな酸っぱさがあり|乾燥させレモン汁のように利用される
dower	寡婦(かふ)産(亡夫の遺産のうち未亡人が受ける部分)|生まれつきの資質|天賦の才|=dowry|〜‘に'寡婦産を与える|(才能・資質などを)〜‘に'与える|賦与する(endow)
ricin	リシン
amiodarone	アミオダロン
wordy	ことばの|言葉数の多い
tailpipe	(自動車ジェット機などの)排気管
feudalism	封建制度
cather	キャザー
coir	ココヤシの実の外側の毛で作ったロープ・マット用のじょうぶな繊維
minuscule	極小の
landscaper	庭作
disentangle	のもつれを解く|解き放つ|ほぐれる
microorganism	微生物
crotchet	気まぐれな(とっぴな)孝え|奇想・小型の掛けかぎ|4分音符 (《米》 quarter note)
dally	ふざける|ぐずぐずとする
churchman	聖職者|牧師|国教徒
fourfold	4重の(に)|4倍の(に)
jovian	of or pertaining to or characteristic of or resembling the planet Jupiter; "Jovian satellites"|of or pertaining to or characteristic of or resembling the planet Jupiter|of or pertaining to or befitting the Roman deity Jupiter; "Jovian thunderbolts"; "Jovian wrath"|of or pertaining to or befitting the Roman deity Jupiter
biosynthetic	生合成の
populism	人民主義
spoilage	損傷
immemorial	遠い昔の
prescient	予知する|先見の明がある
bogie	ボギー(ゴルフ用語) (boggy|沼地は別語)
kibble	〈穀物など〉‘を'あらびきする
pilotage	回航|操縦|廻航|水先案内|操縦
jibe	一致する|調和する|(話が)合う|向きを変える|の向きを変えさせる
dogfight	空中戦|乱闘
pothole	(車などによる路面の)くぼみ
stenographer	速記者
spiritualist	心霊主義者;精神主義者
unabashed	臆面もない
meany	心の狭い人|卑しい人
guanosine	デオキシグアノシン|グアノシン
scuffle	乱闘する|取っ組み合う|もみ合い
grammatically	文法的に
cereus	ハシラサボテン(熱帯アメリカ及び米国西部産)|サクランボ色の|淡紅色の
subconsciously	無意識のうちに
aper	模倣者|亜流|猿
photochemistry	光化学
circumflex	曲折アクセント記号(音質・音量・アクセントなどを示すため母音字の上につける^などの記号;role)
freeborn	(奴隷(どれい)としてでなく)自由の身に生まれた
brunet	(男)ブルネットの(黒みがかった皮膚･頭髪･目を持つ)
diphenhydramine	ドリエル
dumbfound	当惑させる|悩ます|参らせる|焦らせる|焦らす|困らす|惑乱|惑わす
intergenic	遺伝子間の
tortious	of or pertaining to the nature of a tort; "tortious acts"|of or pertaining to the nature of a tort
righty	右利き(の人)|(野球)右腕投手
frothy	泡の
omnidirectional	全方向
ummah	ウンマ
kook	変人|ばか
thalassemia	サラセミア
patrolman	巡視人
augur	易者|占い者|占う|前兆となる|予測する
housemate	同居人
wolfhound	ウルフハウンド(大型の猟犬で昔オオカミ狩りに用いた)
easygoing	気楽な|暢気な
amphotericin	an antibiotic and antifungal agent
plunk	ポンと放り出す|ドシンと腰を据える|(弦楽器を)ポロンとかき鳴らす
flirtation	(男女の)ふざけ|いちゃつき|浮気
unbleached	not artificially colored or bleached; "unbleached blonde hair"; "her hair is uncolored"; "undyed cotton"|not artificially colored or bleached
unevenly	不同
folky	フォーキー|フォークソング的な
colonist	(海外)移住民|入植者|植民地開拓者
schoolwide	occurring or extending throughout a school; "schoolwide support for the team"|occurring or extending throughout a school
banister	手すり
relent	やわらぐ|気持ちが和らぐ
abdominoplasty	cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach
ivp	X-ray picture of the kidneys and ureters after injection of a radiopaque dye|performing pyelography with intravenous injection of a contrast medium
dwindle	だんだん小さくなる|減少する|衰える
throwaway	使い捨て
earthbound	地球から離れない|(宇宙船など)地球に向かう|俗事にとらわれた
unrequited	報酬のない|報いられない
utilitarianism	功利説(主義)(「最大多数の最大幸福」を主義とする倫理学説)
laze	怠ける
blubber	鯨の脂肪|泣きじゃくる
immunoreactive	免疫反応性
gingivitis	歯肉炎
precis	略筆|一通り|要覧|略叙|ひと通|大抵|ひと通り|概論|荒筋|概略
nanak	Indian religious leader who founded Sikhism in dissent from the caste system of Hinduism; he taught that all men had a right to search for knowledge of God and that spiritual liberation could be attained by meditating on the name of God (1469-1538)|Indian religious leader who founded Sikhism in dissent from the caste system of Hinduism|he taught that all men had a right to search for knowledge of God and that spiritual liberation could be attained by meditating on the name of God (1469-1538)
weightless	having little or no weight or apparent gravitational pull; light; "floating freely in a weightless condition"; "a baby bat...fluffy and weightless as a moth"; "jackets made of a weightless polyester fabric"|having little or no weight or apparent gravitational pull|light
plexiglas	a light transparent weather resistant thermoplastic
vibrancy	(色・光などの)輝き|活気|生き生きしていること
substratum	基体
saracen	サラセン人
biter	かむ人(年);かみつく動物(特に犬)
covertly	ひそかに|密かに|こっそりと
nucleoplasm	核質
cattail	ガマ(沼地に生える背の高いアシに似た植物)
medullary	延髄(の)|髄質(の)|髄(の)
nigella	any plant of the genus Nigella
forebode	の前兆となる
favoritism	偏愛|えこひいき
tailing	the act of following someone secretly
stoichiometry	化学量論
feeding	摂食
organochlorine	有機塩素系殺虫剤
imipramine	イミプラミン
fortuitous	偶然の|思いがけない|幸運な
shuck	(皮･殻･さや)を取る(むく)|さや
autumnal	秋の
hurray	フレー|万歳
caliphate	カリフ(caliph)の地位(統治[する国])
freon	フロン(冷媒・エアロゾールなどに用いる)
despotic	専制的な|独裁的な|横暴な
adoptable	suitable or eligible for adoption; "a shortage of adoptable babies"|suitable or eligible for adoption
crooner	低い声で感傷的に歌う歌手|クルーナー
intermolecular	分子間
militaristic	軍国主義の|軍国主義者の
beholden	恩義を受けて|世話になって
seawall	防波堤;岸壁
nimitz	ニミッツ
amoral	道徳性のない|道徳に関係のない
temptress	誘惑する女|妖婦
blacktop	アスファルト道路|アスファルト(で舗装する)
pharynx	咽頭
saddler	馬具屋
plf	a terrorist group formed in 1977 as the result of a split with the Popular Front for the Liberation of Palestine; became a satellite of al-Fatah; made terrorist attacks on Israel across the Lebanese border|a terrorist group formed in 1977 as the result of a split with the Popular Front for the Liberation of Palestine|became a satellite of al-Fatah|made terrorist attacks on Israel across the Lebanese border
smallish	小さめの
diffusive	spreading by diffusion
osteosarcoma	骨肉腫|骨原性肉腫
disablement	障碍|障害|身体障害|不具|障礙
portent	きざし|前兆|兆し
limbic	辺縁系
oedema	浮腫|水腫|水症
gorse	ハリエニシダ
wilfully	勝手に
bluster	怒号|荒れ狂う|猛り狂う|どなりちらす
organelle	細胞器官
polder	(特にオランダの)干拓地|低地帯
scylla	スキュラ
lobelia	ロベリア(キキョウ科の観賞用植物)
disavow	否認する|拒否する|(責任を)否認する|(for|of|With)
punctuate	に句読点を打つ|(言葉を仕草などで)中断する
kinesis	動性
pharyngeal	咽頭の
replant	植直す|植えなおす|植え直す
safflower	ベニバナ (サフラワー油がとれる)
hypercholesterolemia	高コレステロール血症
accredit	信任する。功績とする
stonework	石造物
deviousness	the quality of being oblique and rambling indirectly|the quality of being deceitful and underhanded
placemat	プレースマット(食卓で各人用食器類の下に敷く小型のマット)
dragnet	地引き網|底引き網(=trawlnet)|(警察の)捜索網
edutainment	entertainment that is intended to be educational
misbehave	不作法な行いをする|無作法に振る舞う|不正を働く
ineligibility	不適格|不適当
hedonic	devoted to pleasure; "a hedonic thrill"; "lives of unending hedonistic delight"; "epicurean pleasures"|devoted to pleasure
anthropomorphic	擬人観(神･動植物などあらゆるものがその形･性質において人間に似ている)
emulsifier	乳化剤
crankcase	(自動車などの内燃機関の)クランク室(《英》sump)
betcha	bet you (間違いない|賭けてみろ|口語)
extremal	極値
emanation	〈U〉発散|放射|〈C〉発散物
agrobacterium	土壌細菌|アグロバクテリウム|グラム陰性菌に属し植物に病原性を持つものの総称|植物細胞に感染しDNAを送り込む(形質転換)性質があり植物のバイオテクノロジーで利用される
xxxiv	being four more than thirty
herniate	脱腸する
obediently	従順に|すなおに
layover	旅行途中の一時的滞在
nevus	母斑
vivace	(音楽で)活発に|速く|(音楽が)活発な|速い
ruthenium	ルテニウム(金属元素;化学記号は『Ru』)
monomial	(数式で)一項から成る|単項式
vesuvius	ヴェスヴィオ
kameez	a long tunic worn by many people from the Indian subcontinent (usually with a salwar or churidars)
knockdown	ノックダウン|現地組立(製造用部品セット)|組み立て式|圧倒的な
disembody	〈霊魂・精神など〉‘を'肉体から分離(離脱)させる
hippodrome	バラエティーショー劇場|演芸場|競技場|曲馬場|馬術演技場
procurator	(古代ローマの)[皇帝の]代官|行政長官
paleolithic	旧石器時代の
nape	襟首|首筋|項(うなじ)
impolite	無礼な|失礼な
domine	a clergyman; especially a settled minister or parson|a clergyman|especially a settled minister or parson
enchilada	ボス|重要人物|大物|エンチラーダ|肉を詰めたトウモロコシパン(メキシコ料理)
rundle	横さん
involution	込み入っていること|複雑さ|もつれ|回旋(物)
imbue	にたっぷりしみ込ませる|(思想などを)吹き込む|に浸透させる
immunoblotting	免疫ブロット法
furor	熱狂|興奮|大騒ぎ|激情|激怒|激しい怒り(fury)|熱狂的賞賛|熱狂的流行
immunize	免疫にする
teleportation	瞬間移動
zoologist	動物学者
mannitol	マニトール
creditworthiness	trustworthiness with money as based on a person's credit history; a general qualification for borrowing|trustworthiness with money as based on a person's credit history|a general qualification for borrowing
grimly	厳格に|残忍に|気味悪く
pyrophosphate	ピロリン酸
patentee	専売特許権所有者
oomph	(俗)性的魅力|元気
tortellini	トルテッリーニ
spongy	海綿状の|吸収性の|スポンジのような
abracadabra	呪文|たわごと
monger	商人|～屋|売る|行商する
specious	見かけのよい
chequer	=checker
whiten	白くする|を白くする|白くなる
juxtapose	並列する
infliction	〈U〉(苦痛・打撃・罰などを)与えること|〈C〉苦痛|罰|やっかいなもの
atomizer	噴霧器|香水吹き
screwball	風変りな|シュート(変化球|和製英語)
stranglehold	締め付け
centerfield	(野球で)センター|中堅
brainiac	穎才|俊傑|秀才|俊邁|ジーニアス|俊豪|鬼才|俊英|英才|儁才
endangerment	生死にかかわる危険にさらすこと
medicago	a genus of herbs that resemble clover
sumpter	駄獣
dipstick	計深棒(内燃機関内の油の深さを測る棒)
wader	水(どろ|雪)の中を歩いて渡る人|=wading bird|《複数形で》(釣り人がはく腰まである)防水長靴
litigant	係争当事者
scimitar	偃月刀|三日月刀|彎曲刀
cavalcade	パレード|行列
indignity	軽蔑|侮辱|侮辱的言動|冷遇
hematocrit	ヘマトクリット|ヘマトクリット
arthroscopy	関節鏡検査
encase	包む|入れる
adulation	追従|お世辞
dastardly	卑劣な
fishbone	フィッシュボーン
expiratory	呼気の
avarice	どん欲|強欲|貪欲
pointedly	しんらつに
hanuman	in Hinduism, the monkey god and helper of Rama; god of devotion and courage|in Hinduism, the monkey god and helper of Rama|god of devotion and courage|langur of southern Asia; regarded as sacred in India|langur of southern Asia|regarded as sacred in India
hangup	こだわり|コンプレックス|悩みの種|(天井･壁などに吊るす)飾り
drawl	音を長く延ばして言う
suss	疑い|容疑(者)|疑わしい|見抜く|突き止める|調べる|犯罪の疑いをかける
excitable	興奮しやすい
zinger	元気(威勢)のいい人|気のきいた返答|あっといわせること
masseuse	女マッサージ師
airgun	空気銃|エアガン
thrip	アザミウマ
ecumenism	a movement promoting union between religions (especially between Christian churches)|(Christianity) the doctrine of the ecumenical movement that promotes cooperation and better understanding among different religious denominations: aimed at universal Christian unity|the doctrine of the ecumenical movement that promotes cooperation and better understanding among different religious denominations: aimed at universal Christian unity
personhood	being a person; "finding her own personhood as a campus activist"|being a person
autoimmunity	自己免疫
insipid	味のない|風味のない|無味乾燥な|おもしろみのない
reservist	予備(後備)兵|在郷軍人
dewberry	キイチゴ;その実
photometer	光度計;(写真の)露出計
unfathomable	深さが測れない
whitener	漂白剤
empiricism	経験論
jut	突き出る|突起|突出部
effeminate	男らしくない|優柔不断な|めめしい|柔弱な
claustrophobic	閉所恐怖症の
vainly	むなしく|むだに|うぬぼれて
exacta	a bet that you can pick the first and second finishers in the right order
lodgepole	shrubby two-needled pine of coastal northwestern United States; red to yellow-brown bark fissured into small squares|shrubby two-needled pine of coastal northwestern United States|red to yellow-brown bark fissured into small squares
venereal	(vəní(ə)riəl)|性交によって伝わる|性病の|venereal disease性病
mercifully	情け深く|寛大に
malcontent	不満の|不満な|不平家(分子)
centrepiece	センターピース|センターピース
schoolcraft	スクールクラフト
millage	(不動産などの)税率(1ドル当たりをミル(mill)という単位で計算する)|ドル当たりミル数
hydrogel	ヒドロゲル
chanter	reed pipe with finger holes on which the melody is played
merganser	アイサ(水に潜って細い口ばしで魚を捕る海ガモ)
truism	自明の理|わかりきったこと
romantically	ロマンチックに
turndown	(えりなどが)折り返しの
handcuff	手錠|(=manacleあまり使われない)|手錠をかける
coherently	in a coherent manner; "she could not talk coherently after the accident"|in a coherent manner
abortive	失敗に終わった|失敗に終わる|実を結ばない|むなしい
embarkation	搭乗|積載(物)
cronyism	縁故主義|(任命などで)知人を引き立てること
firefight	(軍隊の)前哨(ぜんしょう)戦|小ぜり合い(skirmish)
valent	(chemistry) having valence; usually used in combination|having valence
meningioma	髄膜腫
muggle	ハリー･ポッターシリーズの中で|いわゆる「普通の人間」
glioblastoma	グリア芽腫
scrutinise	吟味|品定|評価|品定め|品さだめ|精察|精査|じろじろ見る|検閲|検視|チェック|監査|監察|閲する|検見|精察|精査|穿鑿
ablution	《複数形で》(宗教上の儀式としての)沐浴(もくよく)
doldrums	沈滞状態
conformist	遵法者
angstrom	オングストローム|1000万分の1mm
premeditate	〜‘を'前もって考える(計画する)
topically	局所的
neomycin	ネオマイシン
upwardly	上方へ|上向きに
poliomyelitis	小児麻痺
backplate	後板
bikeway	自転車専用道路|サイクリングコース
proteinuria	蛋白尿
grozny	the capital of Chechnya in southwestern Russia; center of extensive oil fields|the capital of Chechnya in southwestern Russia|center of extensive oil fields
sentimentality	感傷的なこと|感傷的な考え|感傷癖
tenable	持続できる
chaplet	頭飾りの花輪|小さなじゅず|(一般に)ビーズ飾り|玉飾り
triumphantly	勝ち誇って
perpetuation	(〜を)不朽にすること|永続させること《+『of』+『名』》
subdivider	someone who divides parts into smaller parts (especially a divider of land into building sites)
infantryman	歩兵
frig	冷蔵庫|ダラダラと時を過ごす|急いで去る|出て行く|せんずりをかく|オナニーをする
scrim	スクリム(綿または麻の目のあらい織物;旗・カーテン用)
shiitake	シイタケ
jubilant	喜ぶ|歓呼する
tup	雄羊
bludgeon	こん棒(でなぐる)
calorimetry	熱量測定
transfix	釘付けになる|立ちすくませる|を突き刺す
readymade	既製[品]の|(思想・意見などが)独創性のない|受け売りの
discernable	識別可能
backgrounder	a press conference or interview in which a government official explains to reporters the background of an action or policy; "the secretary gave us a backgrounder on public health issues"|a press conference or interview in which a government official explains to reporters the background of an action or policy
windbreaker	防風林|風避け|(商品名)ウインドブレーカー
tercel	雄のハヤブサ
hydrogenation	水素化
minoxidil	ミノキシジル
dyad	二人組|ペヤ|ペア|対|ペアー
syphon	=siphon
espy	見つける|発見する|偵察する
ruffian	悪党|ごろつき|やくざ者
snog	キスする|愛撫する|キス|愛撫
alarmingly	驚くほどに
hoagland	ホーグランド
bloodless	血の気のない|無血の
scammer	山師|詐欺師|ぺてん師|不徳漢
carcinoid	カルチノイド
foxglove	ジギタリス(釣り鐘状の紅紫色または白色の花をつける;葉は強心剤に用いる)
definitional	定義の
sapling	苗(木)|若木|若者|青年
rumbling	ガラガラ(ごろごろ)なる音|不平不満の声
ribonucleoprotein	リボ核タンパク質
bronchodilator	気管支拡張剤
biome	a major biotic community characterized by the dominant forms of plant life and the prevailing climate
nightmarish	悪夢のような
unbeknownst	without someone's knowledge; "unbeknownst to me, she made all the arrangements"|without someone's knowledge|(usually used with `to') occurring or existing without the knowledge of; "a crisis unbeknown to me"; "she had been ill for months, unbeknownst to the family"|occurring or existing without the knowledge of
suppressive	抑圧(抑制)する|隠蔽(いんぺい)する|発禁にする
auxin	オーキシン|成長を促す作用を持つ植物ホルモン|天然に存在するオーキシンとしてはインドールが知られている
matterhorn	a mountain in the Alps on the border between Switzerland and Italy (14,780 feet high); noted for its distinctive shape|a mountain in the Alps on the border between Switzerland and Italy (14,780 feet high)|noted for its distinctive shape
transmittance	変速機|伝導|伝達|透過率|透過|伝承|伝搬|伝播|送信|トランスミッション
nepotism	(就職の際などの)縁者びいき|縁故採用
icbm	ICBM|大陸間弾道弾|大陸間弾道ミサイル|ＩＣＢＭ
feeler	触手|さわってみる人|触知者|探り|打診|(動物の)触角
industrialist	産業主義者|実業家|資本家
expressionist	表現主義
sepharose	セファロースはアガロース(agorose)の商品名
tortuous	曲がりくねった|曲りくねった
buccal	舌下錠|頬側|頬の|頬側の|口の|口内の
polycrystalline	多結晶性の|多結晶の
learning	学問|学識学習
seafaring	海と深くかかわる|海に生きる|船乗りの|(またseagoing)海上旅行の|船乗り業|海上旅行
showboat	ショーボート|(俗)自己宣伝家
jittery	神経過敏の
rootstock	根茎
aspirate	気息音の|帯気音の|気音で発音する
selfishly	身勝手に
dray	(4輪で台の低い)荷[馬]車|〜‘を'荷[馬]車で運ぶ
coulda	could haveの縮約形
drudgery	苦役|退屈な骨折れ仕事|単調でつまらない仕事
blastocyst	胚盤胞|卵割腔形成後から着床前の胚形成初期に形成される構造のこと
jangle	けんか|じゃんじゃん鳴る
impartially	偏らずに|公正に|平等に
imperfectly	不完全に|不十分に
ultramarine	群青(ぐんじょう)(明るい空色をした顔料)|群青色|群青色の
phosphatidylcholine	ホスファチジルコリン|細胞膜で最も多いリン脂質で|脳や神経細胞に必要とされる|大豆|卵黄|レバーなどに微量に含まれる
slanderous	中傷的な
interminable	果てしのない|限りのない|長たらしい|だらだらと続く
grosbeak	any of various finches of Europe or America having a massive and powerful bill
izzard	ゼロ
indomitable	不屈の
unseemly	無作法な
peon	労働者|日雇い人
lytic	溶解性の|溶菌性の|溶解薬|溶菌
godlike	神のような
prosodic	韻律的
pmol	ピコモル|濃度を表す方式|溶液1L中の溶質をモル数を使って表した単位1mol/L|その10(-12乗)mol=1pmol 
ovulate	(生物学)排卵する|卵を産出し|放出する
pogrom	組織的･計画的虐殺|ユダヤ人虐殺
thermography	サーモグラフィー
ubiquinone	ユビキノン
doge	総督
meadowlark	マキバドリ属の鳴鳥;北米産
topcoat	〈C〉軽い外とう|合いオーバー|〈C〉〈U〉仕上げ塗り
merriment	浮かれ騒ぎ|陽気な賑わい|歓楽
retinitis	網膜炎
nonvolatile	不揮発性
thetis	(Greek mythology) one of the 50 Nereids; mother of Achilles by Peleus|one of the 50 Nereids|mother of Achilles by Peleus
naturopath	自然療法医
