wonder	(～かと)疑問に思う|に驚く|を不思議に思う|驚き|不思議なもの
separate	切り離す|を引き離す|を区分する|別個の|個々の
officer	役員|将校|警官|船長|役人
manner	方法|態度|行儀|風習|様式|礼儀作法
fit	合う|に適合する|健康な|ひきつけ|けいれん(cramp)
police	警察
oil	石油|油|油を注す|お世辞|賄賂
enjoy	を楽しむ
dog	犬
capital	大文字|資本|首都|資源|元金|主要な|資本の
wear	身につけている
variable	変わりやすい|気まぐれな|可変の|変化するもの
send	送る
earth	地球|土
race	レース|競争|人種
series	シリーズ|連続|一組
onto	〜の上へ
indeed	本当に|実に|全く|実際は|なるほど|いかにも
religious	宗教心のある|宗教上の|宗教に関する|敬謙な|信心深い|神聖な
blue	青い
argument	議論|主張|引き数(=parameter)
phase	局面|相|段階|1つの姿|面|位相|を段階的に計画する
limit	を制限する|限定する|制限|限定
original	独創的な|最初の|原文の|原型|本人
indicate	指し示す|表す
reality	実態|迫真|現実
green	緑の|青々とした
identify	何･誰なのかを確認する|の正体をつきとめる|共感する
completely	完全に
edge	刃先じりじりと追いやる
