loony	頭がおかしい
repressor	抑制物質|抑制因子|阻止物質|リプレッサー|抑制遺伝子
discoideum	キイロタマホコリカビ|細胞性粘菌の一種|分子生物学|遺伝学のモデル生物として|細胞間連絡|分化|アポトーシスの例として研究されている
falsify	反証をあげる|偽る
promulgation	発布|公表|普及
fistful	ひとつかみ|一握り|多額の金|多数
incognito	お忍びで|匿名で|変名で
silliness	ばかなこと
macaw	(動物)金剛インコ|(植物)オニトゲココヤシ
redevelop	再開発する|再現像する|最発展する
gerbera	ガーベラ(キク科の多年草)
barnyard	納屋の前庭|農家の庭
crier	クライヤー|叫ぶ人|泣き虫|廷吏|廷丁
hepatocellular	肝細胞の
styrofoam	スタイロフォーム(発砲スチロールの一種)
pillage	略奪(する)|戦利品
cwm	(ウェールズ語)圏谷(けんこく)(氷河の浸食によって山頂などにできた円形のくぼ地)
forceps	ピンセット(=tweezers)
ccw	counterclockwise
argumentation	議論|討論|立論|論証
passively	受動的に|受け身に
multifaceted	多面
wahoo	ニレの木
derange	〜‘を'錯乱させる|狂わせる
savour	風味
touchy	気難しい|微妙な|気を使わねばいけないような
unintelligible	理解できない|聞き取れない
infantile	幼時の
unspeakable	言いようのない|言うに言われない|口にするのも恐ろしい|口では言えない|お話にならない
sorbet	シャーベットsherbet
hemodialysis	血液透析
guildhall	(中世の)ギルド集会所;同業者集会所・市公会堂|市ホール;《the G-》ロンドン市庁
piney	piny|松の(茂った)|松のような
disgraceful	不面目な
houseware	家庭用品
disburse	(金)を支払う|(金･費用を)支払う|支出する
fractionation	分割|分画法|フラクショネーション|分別作用|分割放射線療法
dandruff	(頭の)ふけ
proximate	近似の|最も近い|直前の
idem	同上|前述の部分|同上の|前述の
exemplify	範例となる|例示する|典型的に示す|体現する
quiche	キッシュ|キシュ(パイの一種)
pitchfork	熊手
animosity	敵意|憎悪|憎しみ|恨み
hairpin	ヘヤピン|ヘアピン|U字形の
unprofessional	専門外の
corroborate	確証する|確認する
paediatrics	=pediatrics
flaunt	見栄を張る|誇示(する)|見せびらかす|(旗など)が翻る
idealist	理想家
relativism	相対論(主義)
noose	(引くと輪が締まるようになっている)輪なわ|引き結び|(縄を結んだ)輪
tripwire	わなや仕掛けを動かすため地面に張った針金
differentially	差別的|異なって
encephalopathy	脳症
debatable	議論の余地のある
loading	荷積み|船荷|装填|ディスクの挿入
marcasite	白鉄鉱(宝石類似の装飾品を作るのに用いられる)
reroute	新ルートで送る|別の経路に切り替える|旅程変更する
decisively	断固として
heyday	全盛期|(若さ･元気･繁栄などの)盛り|絶頂
undeniably	紛れもなく
spasm	痙攣|けいれん|発作(=sudden attack)|ひきつけ(=fit)
eminently	大いに|著しく|抜きんでて
mercilessly	無情に|容赦なく
churchyard	教会所属の墓地|教会の境内
toke	マリファナたばこの一服|〈マリファナたばこ〉‘を'吸う|‘に'火をつける
boggle	しりごみする|英単語をつくるゲーム
sanctum	私室|書斎|神聖な場所
heinous	極悪の|凶悪な|憎むべき
dusky	薄暗い
tabasco	メキシコ・タバスコ州原産のキダチトウガラシの一種チレ･タバスコ(タバスコペッパー)を使った辛味調味料
masochism	マゾヒズム|自己虐待|被虐的傾向
infallible	全く誤りのない|絶対確実な|信頼できる|必ず起こる
swordsman	剣士|剣術家
prosthetics	《単数・複数扱い》(外科・歯科の)補綴(ほてい)術
pasty	ねり粉のような|のりのような|しまりのない|顔色が青白い
phosphor	燐|(蛍)燐光体|蛍光体
incessant	絶え間なく続く
adjudicate	(計画など)を決定する|宣告する|裁く|判決をくだす
neoplastic	腫瘍性の
overburden	〜‘に'荷を積み過ぎる|《受動態で》(仕事などを)〜‘に'負わせ過ぎる《+『名』+『with』+『名』》
applesauce	リンゴソース|(俗)たわごと
realign	再編成する
cheery	明るい
harshly	耳障りな
feisty	怒りっぽい|短気な|高慢な|元気のいい|攻撃的な
nonverbal	非言語的な
slush	ぬかるみ|雪解け|廃油
mutton	羊肉|マトン|ヒツジ
revisionist	見直し論者|異質論者|リビジョニスト
congruent	一致する|(図形が)合同の
eyeshadow	アイシャドウ
aphis	=aphid
lough	湖|入江
wigwam	(小枝・アシ・こさなどで作った)アメリカインディアンの小屋
yardstick	基準|ヤード尺(ものさし)
midge	蚊|ブヨ|小さい人
merrily	楽しく|陽気に|愉快に
blackness	黒度|黒いこと|黒さ|暗黒|凶悪|肚黒さ|陰険|陰鬱|険悪
transitory	一時的な|つかの間の|はかない
encampment	野営すること|野営地|陣地
larynx	喉頭|咽頭
thresh	(からざおで)〈穀物〉‘を'打つ|(脱穀機で)〈もみがら〉‘を'取る《+名+with+名》|《まれ》〜‘を'打つ(thrash)|脱穀する|激しく打つ
tartar	酒石(ワイン製造時の沈殿物)|歯石
slither	ずるずる滑る
reefer	マリファナ|マリファナタバコ|(鉄道の)冷凍車|冷蔵トラック|冷蔵船|リーファー(丈夫な通例青い布製のダブルの上着)
pragmatism	実用主義|道具主義
rct	receipt|recruit
mortgagee	抵当権者
altruism	利他主義|博愛主義|(類)philanthropy(博愛主義|慈善)|(反)misanthropy(人間嫌い|厭世|人間不信)
capricious	気まぐれな
antifreeze	不凍液
juxtaposition	並置|並列|(比較対照のために)並べること
hemodynamic	血行動態
gradation	段階的変化|等級付け|階級別にすること|順序|次第|等級|段階
annulment	取り消し
bedstead	寝台の骨組み
ruddy	血色のいい|赤い
academe	大学(学究)生活|学界|教育の場(特に大学)
stirrup	あぶみ|かすがい
gosling	ガチョウの子
icebreaker	砕氷船
weighty	重い|重荷となる|重大な|有力な
subsidence	沈下・減退|鎮静
afterglow	夕焼け|夕映え|(成功後の)楽しい快感
promiscuous	ごたまぜの|乱交の|無差別の
slouch	不精者|ぐうたら|だらりとたれる|前屈みになる|猫背になる|不格好に歩く
hyena	ハイエナ
sago	サゴ(サゴヤシの幹から製するでんぷん)|=sago palm
freshen	いきいきとする|新鮮にする
parentage	生まれ|家系|家柄|親であること
walkabout	放浪旅行|徒歩旅行
proprietorship	所有権|個人事業
waistcoat	チョッキ|ベスト
outlandish	外国風の
chitty	Chitty Chitty Bang Bang|イギリスの映画
beautify	美しくする
ataxia	運動失調
camaraderie	友情
bullhead	北米産の頭が大きいカジカの一種
abysmal	底知れぬ
bourse	(特に欧州の)株式(証券)取引所|金融市場
camber	上反(うわぞり)(道路や船のデッキなどの|雨水などを端に流すための傾斜)|(自動車の|ふつう前輪の)上開き傾斜|上反になる|〜'を'上反にする
tilde	スペイン語で n の上につける記号.ñの上の記号（「ニャ」とか「ニョ」といった音を表す）・波形符号、波形ダッシュ・= swung dash
tenacity	固執|粘り強さ|頑強|不屈
